Product code,Product label,"Taipei, Chinese's imports from United States of America-Value in 2012","Taipei, Chinese's imports from United States of America-Value in 2013","Taipei, Chinese's imports from United States of America-Value in 2014","Taipei, Chinese's imports from United States of America-Value in 2015","Taipei, Chinese's imports from United States of America-Value in 2016","Taipei, Chinese's imports from United States of America-Value in 2017","Taipei, Chinese's imports from United States of America-Value in 2018","Taipei, Chinese's imports from United States of America-Value in 2019","Taipei, Chinese's imports from United States of America-Value in 2020","Taipei, Chinese's imports from United States of America-Value in 2021",United States of America's exports to world- ,United States of America's exports to world-Value in 2012,United States of America's exports to world-Value in 2013,United States of America's exports to world-Value in 2014,United States of America's exports to world-Value in 2015,United States of America's exports to world-Value in 2016,United States of America's exports to world-Value in 2017,United States of America's exports to world-Value in 2018,United States of America's exports to world-Value in 2019,United States of America's exports to world-Value in 2020,United States of America's exports to world-Value in 2021,"Taipei, Chinese's imports from world- ","Taipei, Chinese's imports from world-Value in 2012","Taipei, Chinese's imports from world-Value in 2013","Taipei, Chinese's imports from world-Value in 2014","Taipei, Chinese's imports from world-Value in 2015","Taipei, Chinese's imports from world-Value in 2016","Taipei, Chinese's imports from world-Value in 2017","Taipei, Chinese's imports from world-Value in 2018","Taipei, Chinese's imports from world-Value in 2019","Taipei, Chinese's imports from world-Value in 2020","Taipei, Chinese's imports from world-Value in 2021"
480459,"Kraft paper and paperboard, uncoated, in rolls of a width > 36 cm or in square or rectangular ...",171,43,159,192,204,93,180,226,198,175,,24244,23166,25722,24776,33250,36319,28414,28040,24987,29723,,1812,2267,1816,1756,2212,3478,3707,2825,2791,1958
730451,"Tubes, pipes and hollow profiles, seamless, of circular cross-section, of alloy steel other ...""",151,373,100,114,328,242,105,422,233,174,,90780,60748,81171,65454,62050,46657,55208,33598,25675,22056,,13011,12865,14520,10113,9183,11351,15473,12115,13810,18886
320412,"Synthetic organic acid dyes, whether or not metallised, and synthetic organic mordant dyes; ...",236,103,138,229,177,169,247,267,267,174,,42289,41820,43155,41876,42297,39430,43073,45465,43497,52791,,30355,37527,47822,36593,29727,32982,40463,35474,26649,38512
820810,"Knives and cutting blades, of base metal, for machines or for mechanical appliances, for m ...",1334,1153,859,843,861,478,288,217,185,174,,42517,39404,40292,31720,29653,31588,32008,28297,24125,30460,,13826,11910,14940,12327,10624,9878,11138,10410,6908,9884
480525,"Testliner """"recycled liner board"""", uncoated, in rolls of a width > 36 cm or in square or ...""",0,0,18,0,0,0,0,171,0,174,,76148,160538,202199,182825,162772,266694,246845,239063,222231,294277,,7712,3199,1885,3042,1084,2132,1438,2706,3740,2735
482361,"Trays, dishes, plates, cups and the like, of bamboo paper or bamboo paperboard",239,184,222,256,184,185,225,193,218,173,,2946,2047,1439,1286,1068,758,1029,796,1059,1433,,1875,3121,1907,1313,1692,1878,1431,714,1185,914
790390,"Zinc powders and flakes (excluding grains of zinc, and spangles of heading 8308, and zinc dust)",2,2,6,13,8,7,2,4,73,173,,6674,2758,7717,17010,20435,17149,28572,23487,26785,16168,,5472,5823,5697,4711,5088,6438,5918,8618,8533,13457
640319,"Sports footwear, with outer soles of rubber, plastics, leather or composition leather and uppers ...",351,241,143,259,270,222,190,234,124,172,,33678,27259,30638,25519,24591,20737,14734,12958,10062,16903,,6392,4797,4688,4999,5303,5323,6167,4671,3611,4454
190420,Prepared foods obtained from unroasted cereal flakes or from mixtures of unroasted cereal flakes ...,6307,4922,5592,5718,1341,158,18,24,0,172,,53095,61381,68528,84970,74720,76834,82215,61443,51862,41355,,6475,5192,5837,6050,1863,738,794,1051,1009,1451
830260,Automatic door closers of base metal,49,10,283,222,159,278,148,140,251,172,,63799,65028,76058,74818,70186,54684,52305,51293,39622,44921,,9853,7921,9763,10846,10095,8438,8548,8545,9055,9743
722240,"Angles, shapes and sections of stainless steel, n.e.s.",308,157,471,506,250,143,184,240,339,171,,40219,35236,35229,34975,28297,28185,24861,23649,19805,26186,,11499,8069,5443,6493,5386,6705,9640,6151,7174,7054
650500,"Hats and other headgear, knitted or crocheted, or made up from lace, felt or other textile ...",0,14,234,223,211,264,206,259,171,170,,66588,73857,84119,85089,86349,89297,99293,101983,96176,113731,,0,371,8264,9373,10153,11892,16117,15592,16839,22112
701912,Rovings of glass fibres,56,97,469,242,77,41,30,3,4,170,,80302,84749,108651,109815,90617,87244,74702,72128,67559,93659,,6181,5704,7044,6353,5958,6809,6427,5039,5667,7243
120929,"Seeds of forage plants for sowing (excluding of cereals and of sugar beet, alfalfa, clover ...""",346,134,262,324,203,113,156,47,144,170,,124160,155279,125983,124595,93204,78506,92447,90151,90804,116509,,439,232,395,386,375,252,400,226,382,228
130239,"Mucilages and thickeners derived from vegetable products, whether or not modified (excluding ...",194,179,137,115,107,140,108,133,145,169,,91867,83374,80469,75345,70996,69132,73184,68628,63229,76470,,4878,5060,5226,5169,5230,5743,6752,7887,6845,7561
640590,"Footwear with outer soles of rubber or plastics, with uppers other than rubber, plastics, leather ...",69,73,42,86,77,79,74,135,100,169,,83674,73946,76749,72204,77027,75918,86467,86604,75651,97990,,1170,1093,1396,1837,2072,1631,2673,4725,1568,1827
401490,"Hygienic or pharmaceutical articles, incl. teats, of vulcanised rubber (excluding hard rubber), ...",367,86,182,253,525,273,446,722,1045,169,,91169,83182,55805,38822,38543,37982,33281,31082,27429,24598,,3450,3276,2023,1567,1743,1565,2026,2553,2619,2037
844240,"Parts of machinery, apparatus and equipment for preparing or making printing blocks, plates, ...",123,84,108,73,70,56,46,73,264,168,,78716,58250,55355,47564,33380,28833,30870,23465,15315,21900,,1208,1103,971,883,571,989,633,546,633,711
681389,"Friction material and articles thereof, e.g. sheets, rolls, strips, segments, discs, washers ...",194,572,345,313,458,722,372,492,616,168,,125770,145979,173645,190622,194073,210961,174846,131787,97164,119123,,2398,1801,2135,1490,1819,2328,1877,2028,2188,1655
380300,"Tall oil, whether or not refined",60,52,186,277,148,95,158,86,70,168,,164570,155643,122944,100817,120022,132212,143602,151715,176141,183442,,111,106,186,290,174,115,165,97,75,175
481099,"Paper and paperboard, coated on one or both sides with kaolin """"China clay"""" or other inorganic ...""",47,74,173,1488,429,883,1435,1122,2146,167,,38502,41683,41505,47395,53965,43490,66888,91934,96894,113870,,6775,7029,11682,11486,11412,7825,9620,11161,11878,13528
392510,"Reservoirs, tanks, vats and similar containers, of plastics, with a capacity of > 300 l",36,24,63,43,33,14,76,55,54,167,,84045,76821,113007,112640,66918,93057,91396,71325,82523,62775,,1682,2183,2398,1570,1761,2137,2846,1973,2824,4591
850980,"Electromechanical domestic appliances, with self-contained electric motor (excluding vacuum ...",344,1035,4425,1525,785,1011,344,435,152,167,,134643,174485,172517,172563,191889,187638,188165,226856,273617,262821,,39403,34565,49348,43522,60944,70379,100612,83519,112135,148924
291815,Salts and esters of citric acid (excluding inorganic or organic compounds of mercury),144,181,341,196,230,138,124,105,119,166,,31899,29903,28184,29584,28511,38615,30473,30491,30252,29540,,4365,5369,4250,3011,3504,3871,4038,3825,4248,5379
110510,"Flour, meal and powder of potatoes",64,32,69,93,136,182,115,169,118,166,,17272,17845,21225,17165,9907,9051,8083,12102,10604,12038,,178,120,75,119,192,183,118,171,125,185
741521,"Washers, """"incl. spring washers and spring lock washers"""", of copper""""",923,559,149,453,785,864,1249,451,221,166,,9368,9852,9790,9019,7989,10481,11324,10496,9143,10334,,1223,828,298,564,879,950,3527,1203,465,619
30821,"Live, fresh or chilled, sea urchins """"Strongylocentrotus spp., Paracentrotus lividus, Loxechinus ...""",0,8,461,133,0,69,71,6,99,166,,32250,33119,29733,26227,27530,26939,19058,19374,15196,16773,,0,39,1990,2120,3450,3686,4643,5335,5637,6038
30711,"Oysters, even in shell, live, fresh or chilled",0,11,217,210,202,180,201,304,250,166,,20920,20372,24827,24112,21679,21614,22883,21491,14277,16181,,0,91,1651,1823,1922,2021,2159,2507,4413,5737
440326,"Coniferous wood in the rough, of which the smallest cross-sectional dimension is <15 cm, whether ...",0,0,0,0,0,739,223,20,37,165,,0,0,0,0,0,0,5957,11767,6428,7428,,0,0,0,0,0,8951,8708,8913,9127,10574
820830,"Knives and cutting blades, of base metal, for kitchen appliances or for machines used by the ...",96,67,120,118,119,107,159,310,203,165,,19509,20119,20630,29925,31499,31934,31464,35592,29741,36406,,1117,1151,929,787,903,1036,1015,1179,1174,1353
291242,"Ethylvanillin """"3-ethoxy-4-hydroxybenzaldehyde""""""""",61,75,36,90,68,105,112,74,104,165,,21335,19476,21754,20399,20025,27775,33244,22882,29852,41906,,245,281,668,426,520,684,454,113,194,335
200971,"Apple juice, unfermented, Brix value <= 20 at 20¡ÆC, whether or not containing added sugar or ...",200,179,260,189,14,23,127,93,139,164,,23758,22942,19762,25410,28473,27733,27322,20518,22099,17705,,699,789,1005,873,1039,1293,1388,1512,1713,2649
843850,Machinery for the industrial preparation of meat or poultry (excluding cooking and other heating ...,478,1475,120,216,213,1295,1191,464,1139,164,,187305,164964,185469,157277,145808,156944,156137,188253,165837,156869,,10703,8822,11594,19040,11202,18486,14726,12304,27333,15011
920994,"Parts and accessories for musical instruments, the sound of which is produced, or must be amplified, ...",151,141,78,152,65,55,64,55,114,164,,54700,55550,49842,47335,40148,47070,48440,49069,50292,74491,,689,679,674,834,892,926,988,911,1421,1428
390521,"Vinyl acetate copolymers, in aqueous dispersion",209,179,123,157,177,146,164,213,142,164,,44671,45846,53246,45094,36260,35997,40324,40110,45343,41758,,1146,1519,1229,1376,1375,1851,1770,1849,1103,1163
291619,"Unsaturated acyclic monocarboxylic acids, their anhydrides, halides, peroxides, peroxyacids ...",22,22,40,144,70,140,140,147,162,163,,13616,14750,21060,24354,27001,33320,26630,37521,39211,37265,,4141,4325,5355,4370,3812,3751,4304,4211,4684,4868
90111,Coffee (excluding roasted and decaffeinated),84,93,130,452,223,128,111,22,25,163,,172167,121498,169283,179886,186238,159873,152219,129630,145363,158188,,70319,66706,83436,98059,97474,114827,108568,111821,132953,139741
30614,"Frozen crabs, even smoked, whether in shell or not, incl. crabs in shell, cooked by steaming ...",370,633,656,967,551,558,746,479,431,162,,216833,174857,197404,184114,158810,138449,142064,131973,122033,140340,,24810,25388,23986,31992,40105,43241,33633,19819,21118,18964
710700,"Base metals clad with silver, not further worked than semi-manufactured",493,276,342,184,171,198,250,157,44,162,,48969,55762,50866,26591,30553,27551,29312,25500,20385,30026,,4939,6575,2947,1783,1915,1668,1724,823,4721,17540
844180,"Machinery for making up paper pulp, paper or paperboard, n.e.s.",22,71,1539,2872,3411,179,22,408,165,161,,66790,65988,57875,70411,73312,47855,101095,92524,73613,103714,,8583,11343,11276,6959,14617,20414,5464,17463,24887,17505
853310,"Fixed carbon resistors, composition or film types (excluding heating resistors)",221,421,269,242,302,237,335,408,128,161,,54166,59131,55650,60601,52966,62861,68304,80799,120699,177051,,12967,11993,11488,9838,11266,16021,11992,1873,2478,5458
320420,"Synthetic organic products of a kind used as fluorescent brightening agents, whether or not ...",299,569,100,230,195,328,284,174,109,161,,39382,32014,24908,26151,29163,28937,30774,34737,31468,32374,,5052,6362,5630,4667,5085,5418,6511,6075,5303,7722
330720,Personal deodorants and antiperspirants,272,350,268,296,317,247,195,195,158,160,,223952,227042,242536,243590,221436,220601,234823,243611,242671,219946,,3871,4721,4839,4423,4944,4996,4939,4451,4131,3708
293430,"Heterocyclic compounds containing in the structure a phenothiazine ring-system, whether or ...",0,222,381,893,763,715,185,1275,553,160,,10201,17968,15157,16082,18073,16654,12907,16411,12315,15471,,1994,2875,2886,2114,1742,2185,2233,2328,1570,2080
290543,Mannitol,8,13,5,116,142,67,101,112,115,160,,11073,18066,18820,15548,15340,22470,20463,19178,23074,26788,,1237,1384,1279,1394,1199,1233,1451,1204,1295,1139
441193,"Fibreboard of wood or other ligneous materials, whether or not agglomerated with resins or ...""",106,182,410,256,215,159,108,268,128,160,,27577,36578,38812,36633,29865,20396,27968,28887,26830,38453,,7981,4767,4651,3714,3399,3391,2354,1948,2127,3088
392091,"Plates, sheets, film, foil and strip, of non-cellular poly""""vinyl butyral"""", not reinforced, ...""",1605,2079,1998,834,680,613,270,277,203,160,,170404,138878,215140,178414,186580,145077,143710,128152,80934,88647,,14304,15133,17847,13909,12103,11083,11674,10320,9403,11094
870919,"Works trucks, self-propelled, not fitted with lifting or handling equipment, of the type used ...",0,2,116,10,0,0,420,8,115,159,,285315,234014,206171,171799,168731,162371,185857,197208,146820,157002,,465,1486,2688,195,614,1339,2563,86,4417,1874
293627,"Vitamin C and its derivatives, used primarily as vitamins",115,30,44,109,95,127,97,161,169,158,,67680,83772,67354,65031,60993,64544,82632,68785,103905,122214,,3713,3778,4085,4534,4377,7980,7656,4461,6073,7743
842519,"Pulley tackle and hoists (other than skip hoists or hoists of a kind used for raising vehicles), ...",306,133,219,197,577,193,190,141,290,158,,81376,84290,88163,72696,61884,51557,51831,51051,39255,45940,,3910,4458,7500,3994,3462,3924,4054,4071,4379,4786
871000,"Tanks and other armoured fighting vehicles, motorised, whether or not fitted with weapons, ...",3,279,103,133,159,72,0,18,424,158,,920647,1035528,875291,1182772,1736218,1785103,1487422,914352,913280,1099171,,6,295,188,140,259,1082,431,152,603,532
252520,Mica powder,66,228,127,59,6,15,27,56,19,158,,9135,9550,13051,10903,9549,10177,10499,9954,7203,10484,,2802,2678,2582,3243,3655,3493,3121,2039,2885,3405
900850,"Image projectors, and photographic enlargers and reducers (excluding cinematographic and parts)",0,0,130,154,138,161,102,134,143,157,,27124,23388,27109,27967,19838,22991,19162,15941,11576,14663,,0,154,153,208,191,202,187,256,706,3092
701337,Drinking glasses (excluding glasses of glass ceramics or of lead crystal and stemware),668,674,354,397,340,304,260,260,184,155,,45415,43432,45728,43453,44031,44547,40323,37119,27728,30691,,6128,5721,7638,7056,5787,5848,8183,7751,8312,7195
551229,"Woven fabrics containing >= 85% acrylic or modacrylic staple fibres by weight, dyed, made of ...",648,2388,1959,379,191,263,847,355,104,155,,52342,63474,55466,62249,65767,67109,66800,64184,56031,80468,,959,2677,2774,890,677,1024,3776,1291,1428,2404
590900,"Textile hosepiping and similar textile tubing, whether or not impregnated or coated, with or ...",1122,184,246,25,27,52,11,28,14,154,,50867,57288,73363,68171,66782,62957,52073,33822,26628,26161,,3771,2799,3732,3138,3495,3240,3845,14382,7431,5097
940550,"Non-electrical lamps and lighting fittings, n.e.s.",39,100,91,164,47,54,61,38,28,154,,39728,37929,38923,39329,38975,40882,39720,36222,33924,36735,,867,1671,1086,1260,1059,1330,1049,860,902,1169
480269,"Uncoated paper and paperboard, of a kind used for writing, printing or other graphic purposes, ...",642,752,542,572,544,370,310,146,199,154,,70281,82432,70889,49770,16835,15101,11274,13227,8696,5997,,59235,33749,41318,24505,26309,26364,11882,18494,13909,30942
721990,"Flat-rolled products of stainless steel, of a width of >= 600 mm, hot-rolled or cold-rolled ...""",411,64,884,366,508,489,548,381,430,153,,341935,298215,295262,200615,79434,109603,112578,65732,53470,57097,,9318,13496,9606,8077,7074,7220,11115,7686,9109,8798
760519,"Wire of non-alloy aluminium, with a maximum cross-sectional dimension of <= 7 mm (other than ...",262,517,187,152,106,314,174,142,27,153,,31623,26701,28044,19605,12371,11507,13281,11001,14944,21494,,1728,1845,1325,1200,824,1298,1685,853,662,1060
540247,"Filament yarn of polyester, incl. monofilament of < 67 decitex, single, untwisted or with a ...",95,79,97,96,88,105,504,123,197,153,,12877,11070,16040,9494,17602,12222,17927,14188,11304,15384,,8504,9251,8821,8962,7443,7553,7234,8328,5073,10098
940410,Mattress supports for bed frames (excluding spring interiors for seats),114,98,168,194,187,252,55,87,60,152,,9963,9112,12383,14930,7397,8799,10565,9727,7932,9185,,2481,3819,2129,1646,1767,1990,1682,2428,2730,6122
711420,"Articles of goldsmiths' or silversmiths' wares and parts thereof, of base metal clad with precious ...",22,63,26,16,16,12,202,113,62,151,,3758,2079,2581,2707,2069,1396,1385,2022,854,723,,1843,2208,4556,869,843,891,2039,973,551,813
470610,Pulp of cotton linters,211,221,89,218,134,195,199,248,152,151,,165788,121644,123460,105500,111484,137247,127865,102724,99861,82324,,211,221,89,221,134,443,202,248,152,151
481029,"Paper and paperboard used for writing, printing or other graphic purposes, of which > 10% by ...",17,317,363,0,0,26,0,0,26,151,,295227,241943,244508,260436,261385,255138,228514,251991,255833,281068,,14822,17098,18867,18495,21248,21137,21496,21619,18612,19856
293321,Hydantoin and its derivatives,391,253,237,310,243,252,223,246,193,150,,19582,19963,22694,13062,12025,13050,14185,11840,9110,11698,,1081,707,720,674,862,762,913,972,916,409
853990,"Parts of electric filament or discharge lamps, sealed beam lamp units, ultraviolet or infra-red ...",357,200,205,792,203,220,176,162,160,150,,115318,118017,88401,64992,57353,53131,47184,31898,20899,28493,,14846,10821,10893,9768,6006,4510,5656,4917,5201,4824
550510,"Waste of synthetic staple fibres, incl. noils, yarn waste and garnetted stock",1757,1154,177,182,237,446,465,48,0,150,,28182,28890,27630,19423,19389,23206,31938,28968,17197,26930,,9297,6288,4432,3722,3562,3515,3782,2850,1598,1674
441820,"Doors and their frames and thresholds, of wood",134,240,50,226,223,170,105,6,17,150,,113192,127147,132054,106632,96400,88606,93474,91444,84325,105153,,1651,2030,1836,2856,3016,2875,2858,2909,2429,3019
722011,"Flat-rolled products of stainless steel, of a width of < 600 mm, not further worked than hot-rolled, ...",70,0,89,31,9,76,34,13,17,149,,18211,16153,16683,13898,14492,15250,16243,18070,12359,12588,,553,529,529,408,360,460,646,292,557,915
392640,"Statuettes and other ornamental articles, of plastics",269,68,159,66,47,21,50,111,47,149,,48440,51856,44103,39552,34892,39333,49053,49009,39064,41569,,13650,13839,17336,22075,17818,11983,9341,8950,11010,11935
731940,"Safety pins and other pins of iron or steel, n.e.s.",0,11,60,67,267,265,509,194,109,149,,13209,10178,8389,8220,9469,8196,10956,12061,9707,12153,,0,73,619,527,1084,1157,930,542,385,778
251611,"Granite, crude or roughly trimmed (excluding already with the characteristics of setts, curbstones ...",704,634,313,121,52,610,572,63,501,149,,23714,21384,24308,21199,13961,14186,12893,10992,7692,5014,,96541,33927,41933,65549,61432,54707,54597,44925,26754,17149
731590,"Parts of skid chain, stud-link chain and other chains of heading 7315 (excluding articulated ...",43,342,268,256,25,8,12,25,179,149,,38402,42170,43216,32877,26742,30696,27163,25539,19582,26334,,1091,1477,1288,1212,1162,796,1213,1449,1441,2494
80231,"Fresh or dried walnuts, in shell",33,129,258,112,376,325,385,310,213,149,,469912,683526,578175,469508,590838,511224,422906,497568,416190,382498,,33,129,269,143,494,487,465,342,254,327
391211,"Non-plasticised cellulose acetates, in primary forms",269,14,33,100,244,256,55,54,639,149,,440008,538526,524032,391100,385006,376597,382270,385624,421131,529538,,280,134,42,911,1826,2451,2255,2449,2031,2412
831000,"Sign-plates, nameplates, address-plates and similar plates, numbers, letters and other symbols, ...",119,143,87,92,112,302,106,130,233,148,,73516,79373,85486,80983,74017,65718,68866,66524,54678,67740,,4563,5216,3124,3424,3050,3345,3218,4043,4351,5220
850710,"Lead-acid accumulators of a kind used for starting piston engine """"starter batteries"""" (excluding ...""",979,1801,1588,1395,1398,589,289,392,431,148,,668987,718120,772823,642852,601789,713443,852212,830453,649969,700870,,23790,27060,28938,28195,32304,41804,45327,45418,51782,63232
842219,Dishwashing machines (excluding those of the household type),468,815,520,223,231,362,187,30,198,148,,38030,42463,41109,45876,37902,35152,38158,41031,25996,30894,,3872,4792,4948,4977,4351,6996,5397,5453,5611,5978
810110,Tungsten powders,1471,266,396,405,339,254,373,254,161,148,,51181,41272,35008,24193,19095,22989,18711,16416,13842,27757,,2783,1855,1589,5832,1469,736,1013,3247,5176,1456
151610,"Animal fats and oils and their fractions, partly or wholly hydrogenated, inter-esterified, ...",16,13,14,0,0,0,21,34,121,148,,5096,3828,4606,3508,2371,3327,3754,4050,10644,12411,,94,175,606,667,607,722,667,1060,2299,4710
900490,"Spectacles, goggles and the like, corrective, protective or other (excluding spectacles for ...",370,332,185,95,163,127,166,167,138,148,,208850,203376,264165,287616,229273,210018,215579,209801,189501,156215,,8825,6629,6797,5850,9689,7691,6300,6235,6320,5597
310490,"Carnallite, sylvite and other crude natural potassium salts, potassium magnesium sulphate and ...",11,40,12,134,160,153,187,66,241,148,,161515,148069,91791,132552,95130,87565,87675,94707,101290,105783,,333,267,341,464,510,522,463,608,1000,1040
350520,"Glues based on starches, dextrins or other modified starches (excluding those put up for retail ...",18,23,64,79,176,59,177,118,119,148,,11730,11967,11929,8288,5839,4535,6809,5914,6191,13111,,192,240,254,280,376,331,546,528,589,581
690310,"Retorts, crucibles, mufflers, nozzles, plugs, supports, cupels, tubes, pipes, sheaths, rods ...",256,122,341,234,257,213,198,246,35,147,,21151,23169,20180,22224,21029,27033,34932,34844,26632,29899,,14000,8541,8802,7881,7073,7905,9111,7328,8686,4826
843991,"Parts of machinery for making pulp of fibrous cellulosic material, n.e.s.",222,252,219,82,82,168,468,192,102,146,,95640,95049,100471,92961,86993,90679,98907,102217,94096,93348,,2370,3175,1755,1986,1616,2325,4448,2970,3297,2589
732619,"Articles of iron or steel, forged or stamped, but not further worked, n.e.s. (excluding grinding ...",344,298,163,64,66,41,21,33,50,146,,501358,448770,461076,440335,420797,408145,453462,439897,347859,385711,,9511,7545,3964,3039,8431,3921,2353,4878,3521,4268
841382,Liquid elevators (excluding pumps),224,124,378,475,83,232,1498,170,270,145,,8488,26948,12482,7370,9657,9742,6645,9013,6355,2871,,2397,2662,3186,1622,1417,1588,2808,1083,1840,1420
540233,Textured filament yarn of polyester (excluding that put up for retail sale),3707,2066,45,0,53,73,48,13,0,145,,115707,127035,139400,138252,119081,143498,124387,117433,92449,129854,,6212,6615,4638,8999,4490,3272,5089,6208,8756,39229
710691,"Silver, incl. silver plated with gold or platinum, unwrought (excluding silver in powder form)",1892,1026,710,522,739,198,50,101,153,143,,1354526,496401,408070,725028,399182,194410,521179,365827,964905,1539826,,1956374,709248,572611,76403,71809,89874,86222,77735,150365,513560
441192,"Fibreboard of wood or other ligneous materials, whether or not agglomerated with resins or ...""",107,199,223,191,98,158,179,323,377,143,,76581,68253,53233,39852,40851,62810,59794,62198,71808,94419,,16894,15610,17599,16288,16470,19376,20572,17878,20148,29147
391723,"Rigid tubes, pipes and hoses, of polymers of vinyl chloride",143,135,355,455,204,217,52,177,198,143,,138708,140936,135542,126439,115374,123399,127688,133322,125614,166804,,626,607,622,1225,873,904,882,666,919,1139
750210,"Nickel, not alloyed, unwrought",222,453,198,240,236,259,235,310,284,143,,47766,43150,60144,51637,51920,34576,44815,43748,37998,54576,,168889,90328,187741,129950,347873,521606,351529,550234,330745,312543
730490,"Tubes, pipes and hollow profiles, seamless, of non-circular cross-section, of iron or steel ...",327,637,866,466,975,156,218,351,437,143,,52423,67488,59505,162741,28929,49208,94543,32265,22321,20453,,32595,17084,18753,12692,14890,17973,25982,24284,21388,26594
550610,"Staple fibres of nylon or other polyamides, carded, combed or otherwise processed for spinning",628,1022,1748,1345,875,43,136,85,68,142,,1442,1009,1353,1275,5604,6459,11843,5812,5396,4587,,1742,1421,1832,1419,931,125,200,153,123,253
30312,"Frozen Pacific salmon (excluding sockeye salmon """"red salmon"""")""""",0,109,793,925,225,366,154,204,104,142,,210961,373359,306549,364738,220849,427882,256135,286258,158825,281093,,0,403,10244,9268,5782,12147,17184,27089,28628,12870
961390,"Parts of lighters, n.e.s.",13,8,5,22,16,20,28,15,27,142,,11426,12527,12750,10914,9883,9081,13221,20347,22792,29587,,792,587,741,587,783,1364,1188,891,2345,1697
420232,"Wallets, purses, key-pouches, cigarette-cases, tobacco-pouches and similar articles carried ...",91,96,52,272,96,59,69,113,91,142,,43226,42023,36388,36374,45149,51751,77591,95710,81107,97054,,41193,32812,32841,30180,33627,38121,40466,43894,48358,54875
400922,"Tubes, pipes and hoses, of vulcanised rubber (excluding hard rubber), reinforced or otherwise ...",241,282,261,173,172,320,145,233,144,141,,112407,116141,94306,79562,58878,69754,72519,68326,60835,69517,,8648,3846,5394,4516,4600,3182,2961,3063,3278,3872
920120,Grand pianos,65,176,181,11,19,150,87,48,56,141,,16989,21129,19055,19208,15931,18765,16657,19935,21158,25254,,5383,6458,6948,4629,4938,4660,4589,4582,5308,6372
741533,"Screws, bolts, nuts and similar articles, threaded, of copper (other than screw hooks, ring- ...",75,96,170,29,48,94,127,89,69,140,,31659,37030,36519,32285,31993,34771,37562,40002,31167,39519,,1345,1838,1626,1133,960,962,723,689,964,1309
284150,Chromates and dichromates; peroxochromates (excluding sodium dichromate and  inorganic or organic ...,83,168,143,111,127,95,134,134,129,140,,1914,2522,2388,2060,2028,5141,4080,3408,2271,1807,,2867,3206,3164,3301,3887,4564,3187,3447,3599,5235
940310,Metal furniture for offices (excluding seats),182,293,377,192,390,1456,835,172,456,140,,256117,224319,222192,202779,203940,210553,214786,214066,150369,160840,,5025,3348,3555,5795,4778,5567,7637,7060,5640,8615
847971,"Passenger boarding bridges, of a kind used in airports",0,0,0,0,0,0,0,0,0,139,,6189,6660,16646,23770,15395,9466,4176,1426,1911,5000,,0,0,0,8857,5458,0,115,0,18,142
820740,"Tools for tapping or threading, interchangeable",15,21,37,21,38,29,52,43,48,139,,48634,50221,47839,45162,39383,43413,47481,44659,34624,41162,,20630,16195,13873,11495,10951,12789,16429,16452,11484,17075
902820,"Liquid meters, incl. calibrating meters therefor",415,363,327,268,157,372,114,229,112,138,,109832,75347,81041,70109,76803,74064,96776,91488,87763,77190,,3395,1532,2422,4702,8626,6134,1007,910,620,998
150190,"Poultry fat, rendered or otherwise extracted",0,0,62,67,101,38,36,61,78,138,,16970,17144,19110,16097,16554,15853,14816,13154,18163,18697,,0,0,78,79,131,50,76,75,412,205
846591,"Sawing machines for working wood, cork, bone, hard rubber, hard plastics or similar hard materials ...",397,331,69,18,110,116,131,195,152,138,,70334,77048,80919,70245,63174,54556,66613,54649,47043,67854,,3765,5405,6436,6889,2261,1493,2384,2470,3160,6166
950670,"Ice skates and roller skates, incl. skating boots with skates or rollers attached",92,119,56,39,58,101,187,195,191,138,,22530,21315,23977,18223,34642,41089,27656,16721,16530,29154,,1059,1878,1802,1623,1375,1717,1949,1663,1504,1367
621600,"Gloves, mittens and mitts, of all types of textile materials (excluding knitted or crocheted ...",199,94,79,108,154,181,192,118,127,138,,37158,40957,42303,35187,30415,29856,32816,33475,27507,33346,,3813,3646,5205,4756,6621,4857,4630,4203,4438,5683
821192,"Knives with fixed blades of base metal (excluding straw knives, machetes, knives and cutting ...",316,105,88,85,100,124,78,86,234,137,,29512,30987,32131,29264,29490,29586,32536,30480,37071,37803,,1886,1623,1796,8557,8027,2605,4628,2414,2797,3135
400932,"Tubes, pipes and hoses, of vulcanised rubber (excluding hard rubber), reinforced or otherwise ...",35,41,89,142,139,158,125,149,132,137,,104494,109501,125198,113319,122992,137275,130897,140097,112229,122275,,2503,2111,2822,2375,5030,4713,4018,2732,2878,3668
910119,"Wrist-watches of precious metal or of metal clad with precious metal, whether or not incorporating ...",63,93,225,11,39,81,102,172,214,137,,15796,63039,25731,15734,6155,4220,3823,6034,5075,4606,,1573,2450,2109,7127,4994,4455,3874,3170,2031,1759
480519,"Fluting paper, uncoated, in rolls of a width > 36 cm or in square or rectangular sheets with ...",1229,735,862,1000,411,1403,1610,964,2103,137,,83520,92787,77398,59076,79489,107118,131500,128291,123873,191447,,22656,21618,15099,11879,9682,21512,13740,24476,25586,35449
291816,"Gluconic acid, its salts and esters",51,24,22,28,19,127,174,142,147,137,,6278,6414,6601,5814,6148,6970,8692,9170,9467,10374,,7695,7225,8241,6730,4866,5612,6570,6430,7906,7951
