Product code,Product label,"Singapore's imports from Korea, Republic of-Value in 2012","Singapore's imports from Korea, Republic of-Value in 2013","Singapore's imports from Korea, Republic of-Value in 2014","Singapore's imports from Korea, Republic of-Value in 2015","Singapore's imports from Korea, Republic of-Value in 2016","Singapore's imports from Korea, Republic of-Value in 2017","Singapore's imports from Korea, Republic of-Value in 2018","Singapore's imports from Korea, Republic of-Value in 2019","Singapore's imports from Korea, Republic of-Value in 2020","Singapore's imports from Korea, Republic of-Value in 2021","Korea, Republic of's exports to world- ","Korea, Republic of's exports to world-Value in 2012","Korea, Republic of's exports to world-Value in 2013","Korea, Republic of's exports to world-Value in 2014","Korea, Republic of's exports to world-Value in 2015","Korea, Republic of's exports to world-Value in 2016","Korea, Republic of's exports to world-Value in 2017","Korea, Republic of's exports to world-Value in 2018","Korea, Republic of's exports to world-Value in 2019","Korea, Republic of's exports to world-Value in 2020","Korea, Republic of's exports to world-Value in 2021",Singapore's imports from world- ,Singapore's imports from world-Value in 2012,Singapore's imports from world-Value in 2013,Singapore's imports from world-Value in 2014,Singapore's imports from world-Value in 2015,Singapore's imports from world-Value in 2016,Singapore's imports from world-Value in 2017,Singapore's imports from world-Value in 2018,Singapore's imports from world-Value in 2019,Singapore's imports from world-Value in 2020,Singapore's imports from world-Value in 2021
830621,"Statuettes and other ornaments, of base metal, plated with precious metal (excluding works ...",1,2,1,0,0,1,0,0,0,9,,48,21,4,0,0,0,0,36,95,15,,1412,2936,3940,3272,2996,3533,5294,1877,808,883
842330,Constant weight scales and scales for discharging a pre-determined weight of material into ...,0,0,44,10,4,17,18,0,0,9,,2370,2039,2567,2053,2231,2567,3936,9338,3786,7403,,1259,3051,1890,3113,3749,3631,1965,2552,2354,2358
100620,Husked or brown rice,1,1,7,0,2,2,1,1,16,8,,329,244,333,475,383,264,287,310,668,645,,4753,5699,7205,7352,9419,11281,12965,14886,15385,13956
481810,Toilet paper in rolls of a width of <= 36 cm,6,6,9,0,2,0,0,0,31,8,,2890,3512,4472,3546,4335,4442,6275,9825,10890,6283,,15737,15913,16942,18274,22124,24555,25922,27871,45481,29218
960910,"Pencils and crayons, with leads encased in a rigid sheath",37,29,28,273,44,24,21,23,13,8,,9105,10797,12069,13943,15056,11365,11645,12692,11741,12490,,3284,3363,2831,3385,2981,3004,2439,2539,2039,2419
610442,"Women's or girls' dresses of cotton, knitted or crocheted (excluding petticoats)",12,56,34,15,6,3,6,3,5,8,,5874,6842,6141,4615,4143,4767,6035,6299,3833,6032,,15788,17975,12425,10491,10311,10761,11311,26650,15345,23308
210420,"Food preparations consisting of finely homogenised mixtures of two or more basic ingredients, ...",0,0,0,6,0,1,2,4,4,8,,464,606,389,299,345,1027,750,468,904,801,,2205,2011,2080,1681,2240,2169,2456,2055,2437,2183
854011,"Cathode ray television picture tubes, incl. video monitor cathode ray tubes, colour",16,3,7,31,6,9,6,7,0,8,,971,861,787,1106,887,255,125,98,11,50,,1457,2474,725,121,150,187,1488,135,157,552
840212,Watertube boilers with a steam production <= 45 t/hour (excluding central heating hot water ...,2685,9,0,8,1131,0,5,6,16,8,,32179,16806,27209,21620,23501,12404,30759,15813,12636,12093,,8043,1114,1664,757,1688,1326,2072,584,1215,1037
820411,"Hand-operated spanners and wrenches, incl. torque meter wrenches, of base metal, non-adjustable",2,11,36,74,50,85,24,6,1,8,,2134,2610,1957,2210,2430,2849,2778,2627,1827,1704,,5252,7196,8190,6939,6503,6538,9229,7584,6023,9058
30359,"Frozen anchovies """"Engraulis spp."""", Indian mackerels """"Rastrelliger spp."""", seerfishes """"Scomberomorus ...""",0,0,0,0,0,0,106,109,3,8,,0,0,0,0,0,42908,44147,70617,43356,51258,,0,0,0,0,0,0,1708,3545,4520,3270
271500,"Bituminous mastics, cut-backs and other bituminous mixtures based on natural asphalt, on natural ...",12,100,167,110,45,21,109,84,7,8,,4641,4787,6820,6022,6066,4561,5010,4064,3960,22323,,6529,7436,5750,5045,4196,3015,6013,3750,1679,2590
252020,"Plasters consisting of calcined gypsum or calcium sulphate, whether or not coloured, with or ...",6,6,3,6,16,7,6,5,7,8,,2611,3519,3644,3868,4178,4096,4536,4912,3775,4737,,1504,1653,2562,1953,1369,1405,1347,1524,621,734
200791,"Citrus fruit jams, jellies, marmalades, pur?es or pastes, obtained by cooking, whether or not ...",289,274,205,278,266,209,95,7,16,8,,164,54,38,25,361,610,1766,678,108,134,,1257,1451,1053,1128,986,1027,865,943,610,821
80550,"Fresh or dried lemons """"Citrus limon, Citrus limonum"""" and limes """"Citrus aurantifolia, Citrus ...""",190,0,0,0,1,1,1,0,2,8,,37,0,14,0,10,31,0,13,48,56,,8923,13095,22523,25347,21604,17550,16400,15645,15886,14671
731813,"Screw hooks and screw rings, of iron or steel",22,98,46,2,3,19,14,7,3,8,,795,706,788,411,604,930,1232,1479,1198,1176,,8722,9176,12935,13217,9842,10793,11586,8911,10375,12195
840731,"Spark-ignition reciprocating piston engine, of a kind used for the propulsion of vehicles of ...",62,36,40,0,0,0,0,0,8,8,,145,60,33,6,0,6,44,36,59,313,,162,153,121,41,19,71,10,9,19,248
621040,"Men's or boys' garments of textile fabrics, rubberised or impregnated, coated, covered or laminated ...",7,16,13,4,8,10,7,8,2,8,,4069,2680,2812,3080,1969,2300,2271,2662,3467,3008,,1891,3327,3188,6256,5878,7653,4925,4703,3596,4332
640620,"Outer soles and heels, of rubber or plastics",14,11,8,4,6,6,13,14,7,8,,46688,55558,53355,49859,27469,24981,37102,18950,6980,9214,,5913,728,713,739,771,463,717,645,222,209
870895,"Safety airbags with inflator system and parts thereof, for tractors, motor vehicles for the ...",8,6,9,3,14,9,8,8,19,8,,166239,203575,232942,163881,173148,178523,169814,169968,127509,142592,,2222,4560,2554,4789,6389,4822,8893,3600,5432,9634
851440,Equipment for the heat treatment of materials by induction or dielectric loss (excluding ovens ...,99,98,94,60,12,1,0,16,4,8,,17095,30191,30706,34087,16667,13353,15225,13270,13250,18592,,8002,14387,7475,8395,9443,8117,10535,10795,8858,10391
750512,"Bars, rods, profiles and wire, of nickel alloys, n.e.s. (excluding electrically insulated products)",0,0,60,14,22,1,1,0,52,8,,3449,272,126,1676,5092,2577,3914,4644,8654,797,,36749,30585,36021,34558,30775,28772,46701,66875,43107,47083
843860,"Machinery for the industrial preparation of fruits, nuts or vegetables (excluding cooking and ...",16,11,30,11,62,10,5,0,0,8,,716,637,456,1394,751,918,2354,2658,1290,1156,,1846,1123,2709,2605,2804,4585,2075,2983,1544,1667
600535,"Warp knit fabrics of synthetic fibres, antimalarial, of a width of > 30 cm",0,0,0,0,0,0,0,0,0,8,,0,0,0,0,0,69002,63160,53125,40076,41594,,0,0,0,0,0,0,866,28,36,25
731512,Articulated link chain of iron or steel (excluding roller chain),17,1,6,76,23,6,0,0,43,8,,21772,29440,35127,31637,33237,27187,21416,20127,14440,15591,,3076,3326,4902,2636,1987,1406,2081,3930,1697,3009
911490,"Clock or watch parts, n.e.s.",72,12,63,14,17,21,89,8,25,8,,18723,15683,31382,19828,10830,10518,12231,13495,10354,17400,,398449,353086,266418,193970,172314,173172,168410,130779,107869,98585
81310,Dried apricots,0,0,0,0,0,0,0,18,14,8,,0,0,0,0,27,28,28,21,19,9,,1081,1038,1371,1158,838,1017,846,766,684,1079
81330,Dried apples,0,0,1,1,0,0,1,0,5,8,,20,19,8,86,254,69,85,67,120,142,,87,99,102,103,109,162,109,120,77,138
391390,"Natural polymers and modified natural polymers, e.g. hardened proteins, chemical derivatives ...",66,15,15,28,14,5,3,1,1,8,,9534,9007,10112,9453,10408,15065,10487,10304,8066,10275,,15755,20853,20319,14357,7965,15624,24059,45998,53777,108252
350520,"Glues based on starches, dextrins or other modified starches (excluding those put up for retail ...",15,12,64,1,0,0,0,23,6,8,,287,317,354,379,437,560,648,1136,989,1058,,798,955,1275,985,1204,1569,1145,1183,3036,3723
731811,Coach screws of iron or steel,40,42,2,5,18,3,77,77,188,8,,353,252,572,498,753,1064,898,751,709,527,,10887,12922,12390,7459,5975,7107,13140,13585,12481,13868
821490,"Hair clippers, butchers' or kitchen cleavers and other articles of cutlery of base metal, n.e.s.",3,0,55,0,29,18,21,15,8,8,,1009,1176,1144,1499,2568,3848,3803,2059,993,1225,,1730,929,2295,843,669,939,661,733,745,745
600330,"Knitted or crocheted fabrics of synthetic fibres, of a width of <= 30 cm (excluding those ...""",0,4,0,0,0,0,0,0,8,8,,1307,670,549,1590,1826,3047,2045,1777,4868,5252,,594,402,309,398,236,506,777,745,733,939
551614,"Woven fabrics containing >= 85% artificial staple fibres by weight, printed",10,8,15,1,1,0,0,0,2,8,,12431,17388,16952,12953,7557,8648,9147,4966,3400,4010,,748,887,796,262,428,325,59,72,14,71
490290,"Newspapers, journals and periodicals, whether or not illustrated or containing advertising ...",8,10,47,2,1,9,4,71,29,8,,5787,6505,5573,4842,3491,2634,2447,3593,4951,12151,,17503,14214,16269,11289,9447,8306,7057,5609,3241,1808
960310,"Brooms and brushes, consisting of twigs or other vegetable materials bound together, with or ...",15,2,0,0,1,0,1,9,17,8,,117,539,421,350,275,191,174,219,362,692,,1625,1271,1417,1155,1079,1168,1004,796,761,753
30449,"Fresh or chilled fillets of fish, n.e.s.",10,42,0,9,3,2,1,1,1,7,,27284,24106,20034,18156,20278,18880,18273,16551,12366,11650,,4140,4102,4876,4331,4610,5574,5996,5147,4770,6478
731812,Wood screws of iron or steel (excluding coach screws),8,3,0,2,3,10,1,0,1,7,,309,552,203,152,243,103,106,187,257,228,,2014,3121,2219,2174,1889,3230,2892,1511,1801,1324
490191,"Dictionaries and encyclopaedias, and serial instalments thereof",2,8,2,2,0,17,1,4,4,7,,292,828,737,728,647,559,1243,1012,2672,645,,3410,2367,876,1431,1406,1573,1114,1749,1298,1190
700910,"Rear-view mirrors, whether or not framed, for vehicles",56,65,100,95,103,126,84,0,1,7,,27137,30746,36912,64506,86944,79369,80386,76667,67923,75798,,27459,30072,28399,26272,33223,16600,1348,1011,1346,2592
810197,Tungsten waste and scrap (excluding ash and residues containing tungsten),0,252,1397,0,0,0,66,505,381,7,,9730,10302,12325,4400,3919,9496,6673,4977,4447,5359,,331,369,2875,283,205,961,1121,1568,1968,10656
780199,Unwrought lead (excluding refined lead and lead containing by weight antimony as the principal ...,1032,0,185,42,0,0,0,0,0,7,,106101,136740,119436,71786,129701,135394,133898,142033,114217,146461,,1479,2266,1170,104,66,305,71,6,27,37
851640,Electric smoothing irons,71,19,6,8,1,5,57,9,23,7,,1800,1437,1361,869,1098,749,711,1290,673,621,,210934,31234,25441,20057,23077,18669,20923,16799,11794,12487
30779,"Smoked, frozen, dried, salted or in brine, even in shell, clams, cockles and ark shells """"families ...""",4,23,34,5,1,1,2,5,12,7,,5376,5484,9577,2110,3706,179,13,35,4422,338,,1498,1016,986,1361,2206,2906,219,159,114,242
30342,"Frozen yellowfin tunas """"Thunnus albacares""""""""",314,0,0,0,0,0,0,0,0,7,,128830,71114,98567,65700,89994,106802,66523,64412,86880,81277,,4907,3637,3232,3695,852,1443,2231,3734,4843,1584
253090,"Arsenic sulfides, alunite, pozzuolana, earth colours and other mineral substances, n.e.s.",0,0,0,1,0,0,0,0,5,7,,18944,10863,14126,15282,11738,13732,15162,14166,13113,13304,,949,3166,2987,3140,3586,622,837,778,520,1260
961800,"Tailors' dummies and other lay figures, automata and other animated displays used for shop ...",26,34,58,74,2,29,19,28,42,7,,1479,2857,1311,1383,3851,2676,2374,3232,3030,2414,,8578,8350,6414,4494,7545,5854,4449,3594,1893,2514
680291,"Marble, travertine and alabaster, in any form (excluding tiles, cubes and similar articles ...",262,18,898,155,35,27,14,81,1,7,,315,393,73,423,212,88,70,343,232,246,,15868,30607,31317,23508,24497,11602,24701,15955,8056,14610
610342,"Men's or boys' trousers, bib and brace overalls, breeches and shorts of cotton, knitted or ...",4,2,28,5,13,12,4,10,4,7,,267,541,891,618,780,578,1279,2353,2679,3600,,17489,23220,31227,44179,47060,51865,44322,21807,13506,20282
820560,Blowlamps and the like (excluding gas-powered blowlamps),0,8,504,21,26,18,3,22,11,7,,541,2377,2684,1537,2516,1905,2066,1966,2203,2617,,138,217,801,229,293,412,347,286,226,156
81400,"Peel of citrus fruit or melons, incl. watermelons, fresh, frozen, dried or provisionally preserved ...",0,0,0,1,0,0,0,2,0,7,,359,139,40,58,1,138,28,51,16,40,,64,53,63,52,56,69,66,91,76,104
30351,"Frozen herrings """"Clupea harengus, Clupea pallasii""""""""",0,0,0,0,0,0,0,0,0,7,,7895,15772,11814,4086,2865,2412,2444,8037,11510,9211,,80,44,77,81,109,113,66,103,37,122
30510,"Flours, meals and pellets of fish, fit for human consumption",0,0,0,0,0,0,0,0,0,7,,5,40,7,18,11,26,8,34,31,40,,228,240,209,213,375,278,419,415,549,338
441113,"Medium density fibreboard """"MDF"""" of wood, of a thickness >?5?mm but <=?9?mm""""",18,10,10,7,22,12,15,26,2,7,,2565,1866,2996,1089,1209,1200,1459,1139,788,1615,,1076,1427,1303,1682,1445,1214,912,399,125,348
620829,Women's or girls' nightdresses and pyjamas of textile materials (excluding cotton and man-made ...,0,0,0,0,0,0,0,0,0,7,,1,12,742,930,703,1330,1421,1409,1800,2219,,1699,937,1414,1457,1539,1935,1069,572,1426,1402
860721,"Air brakes and parts thereof for railway or tramway locomotives or rolling stock, n.e.s.",21,64,50,39,30,5,0,3,6,7,,2612,2851,1062,1795,2761,4239,4951,4839,2779,2360,,2558,1716,1478,2991,6388,9034,6615,2546,1404,2945
847590,"Parts of machines for assembling electric or electronic lamps, tubes or valves or flashbulbs, ...",2296,1,97,1352,41,1411,2,13,0,7,,22050,14936,7069,20714,18045,29231,14333,44148,11965,7245,,35020,34181,23447,28523,82051,101992,137038,164764,365037,614000
846721,"Drills of all kinds for working in the hand, with self-contained electric motor",23,16,28,1,4,262,42,142,186,7,,9199,13583,5095,4011,3722,2932,4039,2202,1655,8320,,24684,23154,21283,21786,18295,12684,10057,11070,7166,9145
610520,"Men's or boys' shirts of man-made fibres, knitted or crocheted (excluding nightshirts, T-shirts, ...",26,34,7,10,8,43,16,6,4,7,,5712,28674,20615,4794,6414,8563,14602,12938,12635,28008,,9847,8822,6471,10232,8835,6922,9743,12324,6684,8957
610610,"Women's or girls' blouses, shirts and shirt-blouses of cotton, knitted or crocheted (excluding ...",10,4,0,9,9,4,24,5,5,7,,13702,13963,13472,11448,9622,9982,8875,7257,7848,10443,,38350,34819,28047,25908,15554,16096,17905,12269,11509,11651
520851,"Plain woven fabrics of cotton, containing >= 85% cotton by weight and weighing <= 100 g/m©÷, ...",0,0,0,0,9,7,8,0,1,7,,1989,1659,1698,1558,1217,1562,976,768,961,1146,,4282,1250,205,490,122,242,152,406,325,302
841382,Liquid elevators (excluding pumps),0,80,0,43,8,6,7,14,0,7,,2,41,58,57,48,94,112,125,68,34,,1288,1039,610,1792,1895,1248,2083,2302,1987,9267
852873,"Reception apparatus for television, black and white or other monochrome, whether or not incorporating ...",0,0,0,0,1,2,20,43,9,7,,459,179,46,235,245,242,36,16,46,285,,164,1464,505,200,424,735,2707,1375,874,3782
251741,"Marble granules, chippings and powder, whether or not heat-treated",0,0,0,0,0,0,0,0,0,7,,0,33,1,709,11,15,0,5,1,20,,453,386,327,291,281,152,121,272,95,204
490591,"Maps and hydrographic or similar charts of all kinds, incl. atlases and topographical plans, ...",0,0,1,4,1,7,3,2,0,7,,35,29,79,152,166,23,26,39,61,36,,1524,1227,693,721,346,270,349,275,112,180
840910,"Parts suitable for use solely or principally with internal combustion piston engine for aircraft, ...",273,81,19,392,585,4335,89,340,36,7,,2168,88,904,405,1075,6579,2754,1320,1613,4706,,155693,80284,57611,29945,38104,76251,83835,148708,47292,50745
851672,"Electric toasters, for domestic use",0,2,6,2,0,1,10,7,11,7,,33,66,41,63,15,85,42,153,232,630,,2646,2665,3020,2981,2463,2417,2473,1880,2095,2894
730629,"Casing and tubing of a kind used in drilling for oil or gas, welded, of flat-rolled products ...",61,129,195,147,124,1239,251,585,0,7,,804474,789448,1320098,235009,258825,790936,329789,322472,214186,572221,,13755,9947,24670,7768,9030,6263,6503,4167,1207,4578
281830,Aluminium hydroxide,3,3,2,3,2,2,3,3,7,7,,19577,20056,22315,32644,34465,33039,41843,34850,31009,34656,,2175,2120,1219,722,961,1096,778,552,606,541
250610,Quartz (excluding quartz sands),73,3,181,209,349,67,107,16,11,7,,1175,1511,2964,4837,5687,7981,7537,8090,5623,10525,,1185,2020,1730,2469,2722,2635,2487,1872,1718,3186
381900,Hydraulic brake fluids and other prepared liquids for hydraulic transmission not containing ...,28,92,230,11,21,8,6,63,0,7,,6102,6190,6840,6624,6224,6976,6404,7018,6955,7803,,12842,15103,13389,13891,12188,15229,13489,13773,10745,15350
841829,"Household refrigerators, absorption-type",6177,2583,2088,7181,16570,7763,179,292,34,7,,1422,1944,4466,2411,1913,3218,1853,1354,1253,1303,,39218,23325,24861,30559,55157,29385,8748,10166,4844,3689
320416,Synthetic organic reactive dyes; preparations based on synthetic organic reactive dyes of a ...,170,252,37,62,568,54,148,57,50,7,,118243,155994,179653,157931,158217,161205,193819,194515,186888,240135,,62755,39626,55503,42616,44291,82483,84859,80731,59417,62429
854071,Magnetrons,18,23,36,33,35,19,1,8,21,7,,20362,13711,10629,2934,646,593,794,975,707,559,,5281,5737,5658,5001,4745,5003,5550,6499,6365,7840
880390,"Parts of aircraft and spacecraft, n.e.s.",2648,2221,2873,1219,57,1,37,62,243,7,,22984,29759,12315,35515,53805,98155,56586,40980,19881,24068,,121939,202244,313625,170923,34609,19184,27472,18457,97142,46915
710510,"Dust and powder of diamonds, incl. synthetic diamonds",0,0,0,0,0,7,35,28,10,6,,34997,25908,22242,22837,22635,25983,24824,16727,12877,19759,,1423,234,286,288,1280,468,4287,2921,3855,6781
732394,"Table, kitchen or other household articles, and parts thereof, of iron other than cast iron ...",1960,261,375,28,46,62,1,1,119,6,,242,1386,1520,1843,2078,1962,2160,1571,1710,1790,,3520,2503,5857,5705,7449,3941,5312,3793,2874,4132
611300,"Garments, knitted or crocheted, rubberised or impregnated, coated or covered with plastics ...",10,2,0,12,58,178,15,37,2,6,,2488,210,184,497,302,287,1359,1210,1888,2284,,4458,8000,6129,4290,6411,9224,7681,2532,7318,1626
610120,"Overcoats, car coats, capes, cloaks, anoraks, incl. ski jackets, windcheaters, wind-jackets ...",8,0,1,11,1,5,6,4,3,6,,245,249,220,422,1449,711,1289,1213,2406,2998,,7677,2314,5792,9812,7541,5524,5885,6524,4462,12853
620444,Women's or girls' dresses of artificial fibres (excluding knitted or crocheted and petticoats),19,1,12,7,0,0,7,7,3,6,,2738,3046,2942,3309,2292,1871,1871,1601,1297,1662,,3278,4670,7008,6937,6762,10178,12039,11504,8083,7364
310559,"Mineral or chemical fertilisers containing the two fertilising elements nitrogen (excluding ...""",0,0,0,0,2,5,8,4,4,6,,197708,157025,116093,103393,93196,97590,100404,97857,74498,103429,,1250,475,557,715,317,232,187,112,502,268
901790,"Parts and accessories for drawing, marking-out or mathematical calculating instruments and ...",12,14,25,1,5,7,2,4,24,6,,5127,1468,1833,1537,1466,1455,1442,895,531,988,,121396,108630,80302,30064,3141,2376,2705,2238,1449,1179
842940,Self-propelled tamping machines and roadrollers,859,1279,0,79,4,0,0,0,0,6,,3447,2961,3395,2872,1770,2050,1590,2907,568,1107,,18989,26245,22396,21252,18260,20161,19839,11828,6020,7973
844859,"Parts and accessories of machines of heading 8447, n.e.s.",59,86,44,11,60,1,5,9,3,6,,18911,14494,13591,11187,15049,16092,19358,16593,11043,19750,,4609,5368,5957,2751,1768,3766,4361,4554,4698,7344
610444,"Women's or girls' dresses of artificial fibres, knitted or crocheted (excluding petticoats)",5,21,3,3,28,1,4,8,1,6,,4768,5492,4741,1198,2661,1036,1137,1472,436,569,,4698,6000,6555,5737,4263,5703,6225,4254,2340,3694
610690,"Women's or girls' blouses, shirts and shirt-blouses of textile materials, knitted or crocheted ...",23,8,14,2,53,44,18,15,2,6,,1460,1347,704,985,1383,1382,1081,1748,1384,1041,,27098,24823,20852,11772,11132,11079,18795,24175,13955,11155
580790,"Labels, badges and similar articles, of textile materials, in the piece, in strips or cut to ...",4,1,8,4,2,4,3,7,27,6,,14638,17050,24840,22118,22162,16805,19052,21946,17082,13460,,1738,1500,1448,1617,1085,612,825,1034,515,779
660199,"Umbrellas and sun umbrellas, incl. walking-stick umbrellas (excluding umbrellas having a telescopic ...",12,7,6,22,23,9,11,51,5,6,,635,611,590,1509,937,948,648,672,568,858,,6615,5857,6584,6595,5008,6211,6195,4460,2578,3503
292511,Saccharin and its salts,0,5,0,0,33,37,20,8,8,6,,19464,16837,22254,20042,26258,30985,25248,24004,29967,26330,,264,354,389,411,340,429,310,329,194,223
180632,"Chocolate and other preparations containing cocoa, in blocks, slabs or bars of <= 2 kg (excluding ...",42,44,29,15,53,27,42,20,11,6,,1635,2157,2182,2554,5113,5331,5399,5059,5245,7023,,42403,45457,40959,40696,39604,47975,46167,45085,21603,26016
200880,"Strawberries, prepared or preserved, whether or not containing added sugar or other sweetening ...",0,1,0,0,0,3,0,1,1,6,,944,12,46,15,12,33,63,171,73,109,,187,244,449,123,196,178,310,545,507,534
30539,"Fish fillets, dried, salted or in brine, but not smoked (excluding tilapia, catfish, carp, ...",1,0,1,1,0,0,0,0,4,6,,106,121,211,234,123,117,147,379,317,120,,169,131,115,129,191,102,3448,4357,83,123
700711,"Toughened """"tempered"""" safety glass, of size and shape suitable for incorporation in motor ...""",228,215,196,163,160,166,158,51,62,6,,21790,30679,23503,18816,24597,20769,18794,13156,11139,7739,,2488,1820,2345,1864,2147,1737,2337,1517,1146,1544
630510,"Sacks and bags, for the packing of goods, of jute or other textile bast fibres of heading 5303",0,0,0,0,0,0,0,0,0,6,,5,36,6,6,1,35,14,50,7,6,,709,692,817,809,481,512,543,488,338,507
620112,"Men's or boys' overcoats, raincoats, car coats, capes, cloaks and similar articles, of cotton ...",9,0,0,0,0,4,6,1,2,6,,850,4528,1009,2132,1694,1336,2571,1584,1306,1376,,1283,1227,1020,784,965,1004,1883,2109,1618,1671
851711,Line telephone sets with cordless handsets,1078,112,107,34,67,15,10,50,10,6,,349,514,551,132,198,1185,1057,1131,514,882,,52009,31796,52503,29131,18432,39964,18601,12822,30203,23305
821210,Non-electric razors of base metal,246,59,17,21,40,37,52,51,27,6,,18855,18546,13689,13538,12370,12387,12259,9478,5496,4963,,11835,9325,10926,12588,17955,17534,17560,19398,23505,26564
380290,"Activated kieselguhr and other activated natural mineral products; animal black, whether or ...",11,0,1,3,2,9,0,0,47,6,,871,664,481,561,372,408,434,759,1410,1821,,6565,5165,6063,7184,8550,10654,9774,10221,9892,10528
920290,"Guitars, harps and other string musical instruments (excluding with keyboard and those played ...",194,191,72,29,74,28,2,16,37,6,,14698,10461,7577,7046,5417,4375,3926,2438,1726,2242,,6975,6156,3065,2862,3248,4459,5832,5256,4683,6156
900890,"Parts and accessories for image projectors, photographic enlargers and reducers, n.e.s.",217,182,133,18,310,24,4,14,4,6,,645,445,261,590,432,217,163,220,163,73,,14288,13402,7834,4743,4431,3719,3111,3640,1814,1096
842831,"Continuous-action elevators and conveyors for goods or materials, for underground use (excluding ...",335,0,0,95,0,0,8,0,0,6,,1474,2487,42,813,16,836,651,5034,1924,1184,,2736,691,1419,498,525,349,44,38,399,2229
441193,"Fibreboard of wood or other ligneous materials, whether or not agglomerated with resins or ...""",0,0,0,0,29,0,17,0,6,6,,82,106,48,21,99,48,5,27,37,1,,1154,856,504,895,516,598,428,222,162,234
962000,"Monopods, bipods, tripods and similar articles",0,0,0,0,0,0,6,10,5,6,,0,0,0,0,0,230,1060,626,771,4143,,0,0,0,0,0,0,2222,4972,4094,7083
871491,"Frames and forks, and parts thereof, for cycles, n.e.s. (excluding for motorcycles)",0,0,0,23,8,4,11,5,1,6,,576,231,159,671,415,630,559,988,682,930,,8000,8151,6405,5835,5043,5813,6210,7138,7555,12682
70940,Fresh or chilled celery (excluding celeriac),0,0,0,0,0,0,0,7,4,6,,0,0,1,1,0,12,3,79,0,0,,5763,6643,6268,6467,6134,6821,6483,6658,6955,7820
961519,"Combs, hair-slides and the like (excluding of hard rubber or plastics)",17,129,22,64,30,18,19,15,20,6,,1736,1648,1661,1811,1934,1464,1695,1452,1304,1737,,977,1227,1526,1605,1805,1398,1203,2103,1582,2065
960500,"Travel sets for personal toilet, sewing or shoe or clothes cleaning (excluding manicure sets)",7,1,1,8,0,2,50,165,115,6,,61,213,371,493,196,193,601,57,133,67,,3533,4043,4020,3460,3706,4802,4168,3869,1584,1315
160411,"Prepared or preserved salmon, whole or in pieces (excluding minced)",7,0,1,0,4,15,1,1,0,6,,42,155,390,303,1100,134,52,82,97,95,,1162,1367,1856,1876,1707,2411,3122,2460,3119,2613
841919,"Instantaneous or storage water heaters, non-electric (excl. instantaneous gas water heaters, ...",63,76,8,58,13,5,30,0,7,6,,27373,10450,3428,1300,3350,3031,5430,4720,2022,1660,,6516,9560,4156,3359,4221,3790,6177,4204,3100,13062
848030,Moulding patterns (excluding moulds of graphite or other carbons and ceramic or glass moulds),289,0,8,0,188,256,119,32,151,6,,43822,7096,7087,4587,3982,3133,3764,3356,2513,2115,,2787,609,490,3323,3351,4722,1998,2142,3376,2172
630419,"Bedspreads of all types of textile materials (excluding knitted or crocheted, bedlinen, quilts ...",6,6,2,5,0,1,0,34,12,6,,7025,9173,7824,4366,2448,1851,1291,947,754,330,,1775,1714,1895,1240,2293,1847,2227,2419,2708,2790
620339,"Men's or boys' jackets and blazers of textile materials (excluding of wool, fine animal hair, ...",15,31,12,27,0,7,54,7,20,6,,1471,1673,1285,2198,1466,856,551,559,962,1201,,7377,6288,7930,6040,6568,5041,5782,6527,3285,3490
710691,"Silver, incl. silver plated with gold or platinum, unwrought (excluding silver in powder form)",69747,19132,12,2,1,0,2,6,15,6,,2308729,1633965,1729466,1296941,1579533,1262091,1173496,1175432,1522601,2001367,,114209,90828,74569,74458,83880,102622,101497,87216,80942,104136
960850,"Sets of articles from two or more of the following: ball-point pens, felt or fibre-tipped pens ...",0,0,57,6,2,0,1,71,71,6,,215,184,212,42,161,429,326,4553,3539,73,,2714,2500,1335,987,1099,749,706,652,541,998
910221,"Wrist-watches, whether or not incorporating a stop-watch facility, with automatic winding (excluding ...",3,94,16,0,0,4,1,2,5,6,,3567,3533,2482,5245,5566,7357,8425,3206,5610,4893,,63456,70534,101920,122974,96415,270743,297594,293160,230044,343002
903220,"Manostats (excluding taps, cocks and valves of heading 8481)",3,0,1,0,0,1,0,1,1,6,,256,343,326,231,315,1200,1434,600,844,2242,,4649,3787,2436,7454,3607,5311,5360,6485,4745,6427
271220,"Paraffin wax containing < 0,75% by weight of oil",0,0,0,0,0,1,0,0,0,6,,1288,1371,1196,2108,1556,753,904,872,510,610,,1427,1506,2595,2963,4764,3057,1986,1906,1381,2519
30636,"Shrimps and prawns, whether in shell or not, live, fresh or chilled (excl. cold-water shrimps ...""",0,0,0,0,0,0,12,5,6,6,,0,0,0,0,0,60,61,13,82,204,,0,0,0,0,0,0,28734,26661,25802,25390
30392,Frozen shark fins,0,0,0,0,0,0,0,20,4,6,,0,0,0,0,0,0,0,0,181,0,,0,0,0,0,0,0,22580,51104,37218,43772
850421,"Liquid dielectric transformers, having a power handling capacity <= 650 kVA",103,22,0,0,24,2,10,136,348,6,,34385,38432,32722,25492,27472,26233,30122,35162,32821,38118,,15672,18429,14105,9621,7300,5358,15030,4711,10609,9965
711810,"Coin (excluding legal tender, gold coins, medals, jewellery made from coins, collectors' items ...",6634,6,0,2,4,0,2,0,1,6,,579,476,536,423,345,283,1178,5914,270,85,,20517,37237,17925,19815,20027,15212,19561,12971,24870,21292
