Product code,Product label,India's imports from Singapore-Value in 2012,India's imports from Singapore-Value in 2013,India's imports from Singapore-Value in 2014,India's imports from Singapore-Value in 2015,India's imports from Singapore-Value in 2016,India's imports from Singapore-Value in 2017,India's imports from Singapore-Value in 2018,India's imports from Singapore-Value in 2019,India's imports from Singapore-Value in 2020,India's imports from Singapore-Value in 2021,Singapore's exports to world- ,Singapore's exports to world-Value in 2012,Singapore's exports to world-Value in 2013,Singapore's exports to world-Value in 2014,Singapore's exports to world-Value in 2015,Singapore's exports to world-Value in 2016,Singapore's exports to world-Value in 2017,Singapore's exports to world-Value in 2018,Singapore's exports to world-Value in 2019,Singapore's exports to world-Value in 2020,Singapore's exports to world-Value in 2021,India's imports from world- ,India's imports from world-Value in 2012,India's imports from world-Value in 2013,India's imports from world-Value in 2014,India's imports from world-Value in 2015,India's imports from world-Value in 2016,India's imports from world-Value in 2017,India's imports from world-Value in 2018,India's imports from world-Value in 2019,India's imports from world-Value in 2020,India's imports from world-Value in 2021
960310,"Brooms and brushes, consisting of twigs or other vegetable materials bound together, with or ...",1,0,0,0,0,0,117,272,150,14,,170,240,151,181,168,168,175,100,73,81,,2491,2162,2952,3714,3886,4862,5197,3994,11710,17550
600624,"Printed cotton fabrics, knitted or crocheted, of a width of > 30 cm (excluding warp knit fabrics ...""",9,12,0,0,0,0,0,0,0,14,,3059,2727,2619,1913,2457,2598,1926,1509,676,651,,1544,1177,925,388,231,843,4766,1930,1241,2142
621143,"Women's or girls' tracksuits and other garments, n.e.s. of man-made fibres (excluding knitted ...",6,14,18,6,7,0,5,39,0,14,,1118,977,957,1696,2812,5431,4247,3877,5113,2972,,1099,360,673,1404,1636,2574,5154,4207,4082,5017
200190,"Vegetables, fruit, nuts and other edible parts of plants, prepared or preserved by vinegar ...",29,12,11,26,13,28,25,2,4,14,,952,934,821,875,813,838,1235,849,552,713,,817,806,536,506,607,524,1208,674,350,995
701391,"Glassware, of lead crystal, of a kind used for toilet, office, indoor decoration or similar ...",0,0,0,297,19,93,570,425,53,14,,1568,9426,2846,2022,1377,2068,1787,571,327,454,,1892,1384,1236,1294,1097,1153,1592,773,386,251
961800,"Tailors' dummies and other lay figures, automata and other animated displays used for shop ...",68,1,15,4,1,1,71,57,133,14,,3108,2108,1989,1397,2441,1406,2691,1728,1236,1204,,7025,5746,5727,5047,5892,6223,6049,5723,2313,3270
846792,"Parts of pneumatic tools for working in the hand, n.e.s.",23,1,32,37,81,7,75,24,10,13,,52658,48475,53807,58974,57220,58957,53503,39385,41706,52600,,7079,7753,8584,6454,6074,6694,9200,8003,4399,6294
620441,Women's or girls' dresses of wool or fine animal hair (excluding knitted or crocheted and  ...,21,0,0,0,0,0,21,42,24,13,,341,370,460,651,586,811,665,580,918,2351,,335,129,231,122,98,152,255,328,104,138
392112,"Plates, sheets, film, foil and strip, of cellular polymers of vinyl chloride, unworked or merely ...",51,24,10,32,13,11,12,1,6,13,,6122,4936,2876,3295,1598,1983,20547,29498,6705,1439,,7048,7503,6715,7439,8087,12109,20549,29802,29755,61959
620341,"Men's or boys' trousers, bib and brace overalls, breeches and shorts, of wool or fine animal ...",4,0,0,2,1,2,7,4,9,13,,265,1798,1283,1282,704,818,1151,998,401,873,,868,1215,1512,1135,1139,1054,1549,1169,507,777
851981,"Sound recording or sound reproducing apparatus, using magnetic, optical or semiconductor media ...",0,0,19,0,0,0,11,6,0,13,,38965,21864,17863,22733,17130,8831,6666,5790,5013,4450,,162,3336,10501,10223,14170,17358,26556,6160,1949,1918
701959,"Woven fabrics, incl. narrow fabrics, of glass fibres, of a width of > 30 cm (excluding plain ...",38,6,14,2,0,1,18,26,19,13,,4382,4178,2889,2097,1458,917,878,796,1022,953,,10316,9738,12734,12988,12392,20285,23051,24625,18289,25751
847810,"Machinery for preparing or making up tobacco (excluding dryers and other heating equipment, ...",0,0,20,0,0,0,0,0,51,13,,12479,15491,15992,10798,30987,19079,10665,14334,9895,11678,,17568,31882,13535,9197,4111,3333,3766,2805,5500,3953
700729,Laminated safety glass (excluding glass of size and shape suitable for incorporation in motor ...,64,110,3,4,19,6,35,29,66,13,,6924,3793,8605,3329,3179,2636,5286,5553,2098,2197,,7301,8820,5052,3599,3577,7162,9451,8849,4049,6866
722850,"Bars and rods of alloy steel other than stainless, not further worked than cold-formed or cold-finished ...",485,61,4,5,5,6,10,22,14,13,,362,812,2020,2662,4206,3952,4012,5050,1400,2412,,27492,22859,16044,16499,20083,26390,40349,40915,23997,38261
901510,Rangefinders,1,0,0,55,0,0,24,5,26,13,,4033,3137,7780,8155,16895,16288,33260,22451,26554,32039,,890,1013,970,1139,940,1645,3114,3730,2762,4547
400690,"Rods, bars, tubes, profiles and other forms of unvulcanised rubber, incl. mixed rubber, and ...",12,5,2,18,54,77,21,26,9,13,,2686,1950,1626,1637,2144,2361,2740,2139,2233,1538,,2939,2597,2349,1975,1342,1386,2136,1975,1502,2234
720916,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, in coils, simply ...""",672,64,123,262,309,0,0,0,0,13,,4072,6757,7697,6853,4897,8254,7718,6405,5575,9739,,213102,223038,219828,201116,114803,85540,101484,111997,41103,83998
482050,"Albums for samples or collections, of paper or paperboard",0,0,0,0,3,0,0,1,1,12,,442,569,206,83,130,33,92,277,167,278,,123,346,260,174,215,166,151,187,122,91
252020,"Plasters consisting of calcined gypsum or calcium sulphate, whether or not coloured, with or ...",19,0,0,0,0,0,39,14,0,12,,182,383,549,224,183,144,234,184,264,280,,4124,8856,7296,7856,9514,9541,12121,15884,14877,30079
551299,"Woven fabrics containing >= 85% synthetic staple fibres by weight, dyed, made of yarn of different ...",0,2,0,0,0,0,0,1,0,12,,839,319,1241,198,865,522,1907,1571,916,1700,,1324,250,731,917,820,1009,1295,1647,1419,2621
711590,"Articles of precious metal or of metal clad with precious metal, n.e.s.",251,69,39,45,21,66,88,2011,161,12,,97324,75422,83848,84030,101710,93341,118628,54081,52094,72297,,21678,17218,7669,4704,4213,4684,2221,7004,3290,4599
820291,"Straight saw blades, of base metal, for working metal",21,0,0,0,5,0,4,14,5,12,,5185,5308,4036,4199,3873,3867,5167,3470,1930,1605,,3249,2146,2125,2018,1717,1278,1498,1543,1821,1847
844130,"Machines for making cartons, boxes, cases, tubes, drums or similar containers (other than by ...",0,24,52,0,31,0,0,4,7,12,,586,241,468,1443,857,426,469,3235,246,162,,20448,20590,11864,26485,35215,38953,43376,43233,39635,52923
621490,"Shawls, scarves, mufflers, mantillas, veils and similar articles of textile materials (excluding ...",4,4,0,5,5,8,16,18,11,12,,4699,7988,11921,17124,23916,28322,33616,23635,13794,9899,,472,641,818,584,522,722,428,3036,7098,3442
420340,"Clothing accessories of leather or composition leather (excluding gloves, mittens and mitts, ...",108,2,1,3,5,0,31,18,5,12,,2143,8591,8023,7178,3015,2314,2150,2129,1939,1787,,4733,3326,2747,3050,3119,13308,14284,13888,7047,9111
284690,"Compounds, inorganic or organic, of rare-earth metals, of yttrium or of scandium or of mixtures ...",6,0,0,1,1,0,20,27,17,12,,14109,15868,1755,565,4192,9443,527,444,378,454,,5102,7383,6668,5513,3590,6840,9555,10459,6698,10065
900590,"Parts and accessories, incl. mountings, for binoculars, monoculars, astronomical and other ...",2791,196,596,172,61,5,38,4,2,12,,5778,9006,5104,7823,4401,3827,3580,4459,3302,3503,,29271,22374,19714,4714,2865,537,1072,5287,3237,1211
350290,"Albumins, albuminates and other albumin derivatives (excluding egg albumin and milk albumin ...",0,0,0,0,0,0,1,33,1,12,,8,30,40,431,65,84,193,332,255,148,,3533,2163,4351,2648,2932,1381,1179,2251,1356,1974
300410,"Medicaments containing penicillins or derivatives thereof with a penicillanic acid structure, ...""",43,215,1,0,0,0,99,460,201,12,,1725,3914,3113,1416,2319,1160,8352,6916,9346,13771,,411469,184011,19322,21643,18513,16631,16612,16198,14703,3402
100630,"Semi-milled or wholly milled rice, whether or not polished or glazed",0,0,0,0,0,5,0,30,60,12,,56090,68351,82443,62094,24808,35158,23629,35526,46105,65922,,575,1302,1430,1138,929,1617,4179,10775,2743,2455
842122,Machinery and apparatus for filtering or purifying beverages (excludingwater),6,0,4,2,13,6,3,0,11,12,,2610,8235,3833,5611,2167,17623,3520,6700,1525,2073,,956,4028,1841,3394,4443,6719,3897,6067,2939,3924
680221,"Marble, travertine and alabaster articles thereof, simply cut or sawn, with a flat or even ...",326,405,104,227,41,6,540,57,5,12,,5749,808,2594,2023,1323,369,2251,1195,985,2386,,143553,140490,145231,168609,168431,103382,84594,61207,21473,30913
540419,Synthetic monofilament of >= 67 decitex and with a cross sectional dimension of <= 1 mm (excluding ...,0,2,4,7,8,1,0,0,16,12,,2837,3039,4197,3333,3428,3095,7782,3589,3197,3974,,14187,14319,14671,14547,15250,19362,24059,27130,20796,31678
842381,Weighing machinery having a maximum weighing capacity <= 30 kg (excluding balances of a sensitivity ...,18,0,0,6,0,1,16,13,2,12,,10598,28012,35257,29860,34290,32093,33642,35526,24873,31838,,4764,5331,5183,4956,6637,4739,5071,5343,4164,8128
560313,"Nonwovens, whether or not impregnated, coated, covered or laminated, n.e.s., of man-made filaments, ...",72,17,28,53,21,25,59,41,27,12,,3183,3617,5519,7858,5668,1598,1102,350,244,666,,8977,10113,8858,7348,7359,10394,12729,14886,14069,22183
330124,"Oils of peppermint """"Mentha piperita"""", whether or not terpeneless, incl. concretes and absolutes""""",0,6,15,0,0,1,23,7,57,12,,4926,804,1826,12000,1606,861,984,549,399,439,,522,1124,959,1220,1761,4003,4212,6585,5409,7160
200899,"Fruit and other edible parts of plants, prepared or preserved, whether or not containing added ...",3,8,0,3,0,0,62,52,7,12,,10090,8922,8500,7362,7246,7828,8388,8871,7450,7356,,3439,2755,2402,2936,3629,4070,5192,5430,4935,6740
291440,Ketone-alcohols and ketone-aldehydes,0,0,1,1,0,0,23,11,15,12,,420,661,454,413,421,246,407,318,384,517,,1089,4965,6184,5401,6872,4728,5178,5133,8568,7057
860721,"Air brakes and parts thereof for railway or tramway locomotives or rolling stock, n.e.s.",0,0,0,0,37,0,0,3,0,12,,83,1597,4956,1044,1131,307,2242,1058,425,199,,810,5127,4368,4102,6825,8096,7088,7607,10333,23480
610443,"Women's or girls' dresses of synthetic fibres, knitted or crocheted (excluding petticoats)",2,7,0,4,4,1,12,14,13,12,,2337,3687,4471,4446,3707,4149,3679,3949,2369,2225,,1811,2531,3463,4127,4912,7142,7896,7449,4384,6220
292529,Imines and their derivatives; salts thereof (excluding chlordimeform [ISO]),12,3,2,5,3,0,205,23,213,12,,3007,525,307,838,764,4209,4855,2760,2242,2738,,5437,6826,7006,11464,6935,6688,11218,14667,15293,24205
610220,"Women's or girls' overcoats, car coats, capes, cloaks, anoraks, incl. ski jackets, windcheaters, ...",0,4,2,0,0,1,4,2,0,12,,23761,14533,8324,5996,3292,6756,5530,3613,2947,5086,,102,150,195,393,725,673,704,1133,1243,1206
940550,"Non-electrical lamps and lighting fittings, n.e.s.",58,76,22,240,106,53,633,1453,167,12,,6550,4998,4934,3443,3908,1873,1866,4460,900,684,,10708,19654,26687,30924,43862,31918,34544,29426,11644,13751
910310,"Clocks with watch movements, electrically operated (excluding wrist-watches, pocket-watches ...",0,0,0,0,0,0,25,3,2,11,,68,80,334,487,76,245,222,151,625,816,,24,15,2,1,8,22,69,19,17,33
611012,"Jerseys, pullovers, cardigans, waistcoats and similar articles, of hair of Kashmir """"cashmere"""" ...""",1,0,0,0,0,0,30,33,17,11,,594,705,281,277,1355,606,1042,1146,3636,2420,,128,263,430,571,414,282,400,740,674,935
401190,"New pneumatic tyres, of rubber (excl. of a kind used on agricultural, forestry, construction, ...",0,0,0,0,0,2,2,1,0,11,,0,0,0,0,0,0,53185,37139,28453,22092,,0,0,0,0,0,8487,6270,7497,7217,7406
90230,"Black fermented tea and partly fermented tea, whether or not flavoured, in immediate packings ...",0,3,1,0,0,49,189,390,63,11,,3186,4847,7772,8323,10601,12259,11082,11510,9560,11654,,1669,1374,1688,761,709,551,456,584,199,371
282560,Germanium oxides and zirconium dioxide,2,32,0,1,0,0,0,0,93,11,,71,502,975,142,82,197,321,241,299,311,,16104,18690,17554,14846,15729,17537,22340,18389,19177,26403
560121,"Wadding of cotton and articles thereof (excluding sanitary towels and tampons, napkins and ...",1,0,0,0,0,1,32,9,4,11,,3416,1359,779,934,972,1987,891,2870,14253,3238,,1063,848,813,990,2898,6638,1727,2283,1528,2131
620829,Women's or girls' nightdresses and pyjamas of textile materials (excluding cotton and man-made ...,0,0,0,0,0,0,0,0,8,11,,904,263,324,134,84,477,90,29,149,193,,377,475,477,687,885,1111,510,473,219,238
847730,Blow-moulding machines for working rubber or plastics,0,0,0,0,0,0,0,282,0,11,,4983,2923,3650,1170,2369,1351,431,556,4082,2089,,32123,18153,32434,33775,30682,29699,46713,55796,42817,35837
401700,"Hard rubber, e.g. ebonite, in all forms, incl. waste and scrap; articles of hard rubber, n.e.s.",31,15,17,13,6,4,19,8,10,11,,2964,4125,5614,3946,6416,2250,1013,1180,1503,932,,6805,7001,4219,4185,3038,3458,4207,3055,3214,3409
611212,"Track-suits of synthetic fibres, knitted or crocheted",2,9,7,0,0,0,0,9,13,11,,524,795,621,371,592,930,394,471,542,697,,142,234,208,200,358,680,1240,1340,1256,1746
420329,"Gloves, mittens and mitts, of leather or composition leather (excluding special sports gloves)",62,94,75,3,16,25,40,29,12,11,,2144,2993,3880,4160,3573,3192,4243,2876,3900,4168,,2048,1121,1090,2308,1652,1147,1791,732,780,1464
620452,Women's or girls' skirts and divided skirts of cotton (excluding knitted or crocheted and  ...,2,1,0,0,3,0,3,17,3,11,,1630,4438,7146,2998,2446,2566,1959,2964,1972,2558,,606,737,689,706,875,1364,1209,1652,1109,1471
960910,"Pencils and crayons, with leads encased in a rigid sheath",0,0,0,1,0,0,16,152,17,11,,1569,1994,1617,1678,950,1336,834,1044,891,2170,,3509,2846,2936,3834,2883,3223,2915,2950,2120,2365
620432,"Women's or girls' jackets and blazers of cotton (excluding knitted or crocheted, wind-jackets ...",6,2,1,0,0,0,8,16,1,11,,1489,784,1054,1250,1112,2292,1736,2352,2150,2106,,967,1244,1190,1193,1293,1254,1926,3504,2740,4554
30119,Live ornamental fish (excluding freshwater),0,12,6,6,9,26,13,25,18,11,,3104,1840,1450,1217,1230,1154,972,449,198,218,,0,40,42,194,133,222,167,1149,1067,1010
262099,"Slag, ash and residues, containing metals or metal compounds (excluding those from the manufacture ...",0,0,0,0,0,4,0,0,0,11,,723,1261,341,3431,7951,0,14849,18102,0,0,,359,183,384,350,344,1051,3538,291,975,905
281121,Carbon dioxide,1,301,10,0,0,0,0,0,0,11,,8443,8367,14831,10583,5092,3518,7258,6812,8176,9592,,46,416,121,254,460,779,1106,1056,308,905
640620,"Outer soles and heels, of rubber or plastics",36,0,5,0,0,6,0,1,3,11,,5115,1036,12480,726,1410,1390,1962,1074,1124,1001,,15533,17994,19671,20729,22510,26348,27935,34820,23265,27042
611090,"Jerseys, pullovers, cardigans, waistcoats and similar articles, of textile materials, knitted ...",1,10,0,0,1,0,4,3,5,11,,15154,9276,16305,14541,11386,12662,21910,8450,6451,6811,,824,1666,3826,1562,1590,1175,2375,5697,3642,4509
842911,"Self-propelled bulldozers and angledozers, track laying",1907,0,0,1600,0,0,0,0,1267,11,,20439,10178,3781,9568,12564,3817,8999,38679,17896,6372,,17906,9245,12500,32082,18081,31358,32910,29505,39303,12402
840420,Condensers for steam or other vapour power units,52,2,14,0,23,0,0,2,6,11,,8030,4652,5493,4777,1380,738,323,2914,1055,793,,1546,1421,8122,667,4899,361,1450,1189,9978,5218
721499,"Bars and rods, of iron or non-alloy steel, only hot-rolled, only hot-drawn or only hot-extruded ...",0,3173,21,0,2920,0,0,0,0,10,,15695,12114,4974,3187,1794,2607,6213,5633,4828,6962,,22850,23721,9675,12626,11479,11874,15449,31947,15607,16118
620442,Women's or girls' dresses of cotton (excluding knitted or crocheted and petticoats),36,27,0,42,0,2,37,59,22,10,,8850,7229,5031,3911,6370,5518,4400,5210,4475,7190,,3123,1962,2201,2571,2642,3581,5456,4524,3296,6182
310290,Mineral or chemical nitrogen fertilisers (excluding urea; ammonium sulphate; ammonium nitrate; ...,24,0,0,27,0,0,0,0,44,10,,262,261,231,1718,1494,2328,1909,1988,357,1121,,1876,2306,2753,3561,1454,2049,2050,2154,3452,4083
391310,"Alginic acid, its salts and esters, in primary forms",6,0,0,54,0,129,205,29,8,10,,123,142,54,120,77,137,47,3704,17,115,,8509,9776,10688,11280,13874,19523,19311,16761,10890,13857
851010,"Shavers, electric",234,0,0,3,0,0,12,1,37,10,,16994,14682,14649,14414,56653,52382,30581,27143,17164,24509,,8240,6599,9710,8903,6769,4934,6014,7594,5771,6472
940591,"Parts of lamps and lighting fittings, illuminated signs and nameplates and the like, of glass, ...",0,0,0,0,0,0,24,29,5,10,,1152,1046,2652,2436,3085,809,1070,816,1406,886,,1865,2246,2040,2357,2056,2488,2874,1560,851,1255
284290,"Salts of inorganic acids or peroxoacids (excluding of oxometallic or peroxometallic acids, ...",6,97,418,104,0,0,1,15,0,10,,499,326,297,491,696,618,498,310,952,273,,3230,3544,8796,4945,5434,6285,7189,8879,9572,12959
30199,"Live fish (excluding ornamental fish, trout [Salmo trutta, Oncorhynchus mykiss, Oncorhynchus ...",80,30,12,7,14,17,26,13,10,10,,4466,2301,2803,1811,1411,879,997,838,736,1573,,547,135,84,159,237,1641,2851,1765,965,959
380690,"Derivatives of rosin, incl. salts of rosin adducts, and of resin acids, light and heavy resin ...""",147,106,10,108,86,8,25,7,1,10,,656,799,642,443,249,468,532,271,420,333,,15585,12561,21128,25535,18850,18637,24813,17392,11929,17533
610120,"Overcoats, car coats, capes, cloaks, anoraks, incl. ski jackets, windcheaters, wind-jackets ...",0,0,0,0,0,0,6,4,3,10,,7250,1752,5917,9478,7522,5931,6185,4857,8814,6160,,84,131,176,930,1618,1905,2016,2964,2312,3125
640340,"Footwear, incorporating a protective metal toecap, with outer soles of rubber, plastics, leather ...",44,27,12,16,0,4,6,18,2,10,,45360,45947,41235,42447,44383,39979,34943,29175,24266,9504,,528,743,511,625,806,696,816,2755,1256,658
481099,"Paper and paperboard, coated on one or both sides with kaolin """"China clay"""" or other inorganic ...""",245,68,27,118,141,66,261,206,2,10,,3556,500,592,3501,945,495,1985,494,1208,500,,28607,23462,27522,31930,33873,35106,22692,19814,13291,12830
900510,Binoculars,49,39,0,73,2,963,219,219,101,10,,6922,6587,4967,6134,17181,4393,4968,2642,4276,5477,,7556,1414,2127,1808,1230,2755,2562,3051,1681,3397
440391,"Oak """"Quercus spp."""" in the rough, whether or not stripped of bark or sapwood, or roughly ...""",0,0,0,0,0,0,0,0,0,10,,467,35,0,0,0,0,0,0,0,38,,659,3815,1330,973,800,6310,1393,1184,726,2109
320641,Ultramarine and preparations based thereon of a kind used for colouring any material or produce ...,3,47,0,0,0,2,2,4,2,10,,6790,5719,5089,3317,2106,201,550,608,299,327,,1238,1501,2119,1555,1083,1900,1688,3110,2651,2464
620433,"Women's or girls' jackets and blazers of synthetic fibres (excluding knitted or crocheted, ...",26,23,17,5,1,1,14,16,35,10,,3628,6702,8944,2540,7471,5184,7130,8167,5592,6300,,2012,2851,5730,6174,4309,7649,9132,9333,7998,9359
590699,"Rubberised textile fabrics (excluding knitted or crocheted textile fabrics, adhesive tape of ...",182,19,23,3,9,19,20,8,0,10,,8546,6798,6249,5030,2958,2742,2268,2305,2137,2225,,12414,14883,17039,16606,14573,21284,25885,35115,17988,31005
600633,"Fabrics, knitted or crocheted, of synthetic fibres, of yarns of different colours, of a width ...""",0,0,0,0,0,0,0,0,0,10,,98,86,26,0,8,0,1,14,53,146,,4541,4345,5470,4622,977,2418,5033,6772,3664,3952
540720,"Woven fabrics of strip or the like, of synthetic filament, incl. monofilament of >= 67 decitex ...",0,0,0,1,1,0,0,88,0,10,,289,214,521,162,528,1034,57,2243,508,115,,2945,3111,3912,5053,3422,5464,4414,6646,5243,14351
293719,"Polypeptide hormones, protein hormones and glycoprotein hormones, their derivatives and structural ...",0,2,0,0,6,0,412,2,0,10,,63,90,125,65,68,43,111,747,1357,675,,15351,10575,18512,11362,13604,10645,12867,10815,14097,24843
820239,"Circular saw blades, incl. slitting or slotting saw blades, and parts thereof, of base metal, ...",31,5,9,3,13,37,9,46,46,10,,4190,4725,4413,4524,5054,3640,3190,2555,2249,2407,,14628,25081,28312,31711,29374,36195,51036,61705,62849,106705
880211,Helicopters of an unladen weight <= 2.000 kg (excl. unmanned of heading 8806),0,0,0,0,0,0,0,82,0,10,,256,52606,16981,11651,15900,11718,21085,24294,11526,12168,,10021,18397,3510,41572,19486,7651,5262,13630,1629,2841
401390,"Inner tubes, of rubber (excluding those of a kind used on motor cars, incl. station wagons ...",5,30,7,1,2,2,6,4,3,10,,936,1053,652,326,414,755,1739,374,286,326,,1839,1942,3505,3848,3814,4115,3777,3546,1235,2718
843142,"Bulldozer or angledozer blades, n.e.s.",51,79,67,42,2,35,348,123,5,10,,17310,13188,22358,11620,8561,5290,5119,4079,3077,4943,,25579,14819,13458,2000,766,852,2273,435,416,241
950629,"Water-skis, surfboards and other water-sport equipment (other than sailboards)",65,85,217,86,120,13,5,3,10,10,,7259,7623,10581,8277,10499,13388,11617,10384,9749,12990,,2391,1619,1788,1768,3162,2669,2991,3209,4833,5430
841931,Dryers for agricultural products,0,0,0,7,0,0,0,0,8,9,,14715,5918,6902,315,164,214,429,1116,351,218,,8099,5244,3467,1781,3390,13635,12877,25291,2358,4728
741810,"Table, kitchen or other household articles and parts thereof, and pot scourers and scouring ...",0,0,1,0,4,6,3,0,0,9,,386,388,527,207,243,224,262,67,196,129,,0,2366,2969,2494,1794,1910,2200,1358,216,261
420500,Articles of leather or composition leather (excluding saddlery and harness bags; cases and ...,219,50,18,12,11,26,33,85,25,9,,65012,65863,41711,66241,94545,86412,84438,116788,64943,68190,,14662,15112,19035,18261,17982,19319,19569,19722,8153,3833
320210,Synthetic organic tanning substances,131,274,122,161,4,27,49,69,69,9,,12605,13392,14852,10247,9613,9303,10636,8361,7303,6861,,12125,15024,17619,15986,15744,18976,16784,14272,10581,14420
850990,"Parts of electromechanical domestic appliances, with self-contained electric motor, n.e.s. ...",14,18,3,8,0,3,9,18,16,9,,6435,13578,59220,4345,4061,6529,9094,10812,7380,6558,,2738,2437,1534,1704,1202,1441,2418,3989,7016,10580
847910,"Machinery for public works, building or the like, n.e.s.",11,0,462,1,0,1,0,674,0,9,,10048,13396,7622,14253,16254,10075,24379,16409,16246,6767,,16801,13431,15297,28254,99640,133451,136751,63023,13492,32829
853950,"Light-emitting diode """"LED"""" lamps""""",0,0,0,0,0,10,46,11,146,9,,0,0,0,0,0,0,2005,2992,4004,5215,,0,0,0,0,0,16759,27760,15320,8437,9731
392094,"Plates, sheets, film, foil and strip, of non-cellular phenolic resins, not reinforced, laminated, ...",0,0,0,0,0,0,0,3,2,9,,606,460,608,1053,1007,370,577,1015,330,269,,498,909,885,673,341,941,310,518,1416,3085
900659,Cameras for roll film of a width other than 35 mm or for film in the flat (excl. instant print ...,145,282,57,208,26,154,76,121,11,9,,62120,38673,71010,91387,53779,36589,37794,43558,37127,29555,,4908,5430,4185,4367,2328,2460,2278,45258,244,620
961519,"Combs, hair-slides and the like (excluding of hard rubber or plastics)",4,1,3,1,1,0,3,2,3,9,,703,716,1009,958,589,428,533,402,381,920,,2099,2612,2929,4227,6046,17624,20631,22883,11682,16957
670420,"Wigs, false beards, eyebrows and eyelashes, switches and the like, of human hair, and articles ...",0,0,0,0,0,0,0,2,0,9,,5,218,231,47,475,230,674,1042,219,697,,539,971,832,868,900,1353,1287,1492,733,1005
380110,"Artificial graphite (excluding retort graphite, retort carbon and goods of artificial graphite, ...",0,0,4,0,0,0,0,85,0,9,,3423,2261,1860,1677,1521,895,909,3083,1691,987,,7615,6090,6310,8603,13034,15426,26881,28773,21670,38882
370298,"Photographic film, sensitised, in rolls, unexposed, with perforations, for monochrome photography, ...",0,0,7,24,31,31,17,27,2,9,,2632,2746,1921,2206,1306,2228,710,573,441,409,,0,2657,247,305,469,869,840,840,681,982
282510,Hydrazine and hydroxylamine and their inorganic salts,395,106,126,99,158,144,403,25,0,9,,1610,869,571,588,495,625,634,624,531,970,,52599,55730,53160,43904,44440,51523,84659,94376,70401,87609
291531,Ethyl acetate,2,0,1,0,1,19,12,3,2,9,,79635,76509,80615,79673,67845,73679,89469,78429,81656,148111,,4360,1157,843,1351,1439,184,3322,536,4110,6695
900120,Sheets and plates of polarising material,1,0,0,24,9,3,12,8,3,9,,3433,1127,50284,19701,78447,101616,68904,32447,45533,13282,,132,517,1747,2565,1632,2120,2907,2814,1963,3613
847410,"Sorting, screening, separating or washing machines for solid mineral substances, incl. those ...",4514,0,0,5,56,0,9,1,0,9,,12440,6931,6707,4868,5556,15405,6628,4408,6827,5653,,75731,35849,20580,15359,16804,20591,27218,46564,27626,36444
901720,"Drawing, marking-out and mathematical calculating instruments (excluding drafting tables and ...",4,2,5,5,9,4,3,4,0,9,,1533,1001,1489,964,555,849,852,542,721,898,,2605,1303,2157,1804,1561,1789,2376,2511,1748,1381
360610,Liquid or liquefied-gas fuels in containers of a kind used for filling or refilling cigarette ...,0,0,0,0,0,0,0,0,0,9,,459,408,181,463,246,98,653,290,131,233,,23,48,82,27,53,4,143,42,71,126
310560,Mineral or chemical fertilisers containing the two fertilising elements phosphorus and potassium ...,0,135,0,0,0,0,0,0,0,9,,275,96,216,431,287,158,159,77,131,287,,12178,17026,23792,22312,26234,24533,34958,29772,47400,54775
841720,"Bakery ovens, incl. biscuit ovens, non-electric",27,0,6,0,0,0,0,0,0,9,,521,207,515,419,781,281,459,164,44,162,,6298,6428,6203,6546,4250,4903,12149,8322,6648,12602
600590,"Warp knit fabrics """"incl. those made on galloon knitting machines"""", of a width of > 30 cm ...""",77,0,0,0,0,0,17,0,17,8,,7,97,5,1052,101,9,63,9,49,103,,37812,12987,13026,9992,10149,18307,20716,23238,5308,9988
251320,"Emery; natural corundum, natural garnet and other natural abrasives, whether or not heat-treated",17,3,0,0,0,9,35,46,39,8,,1443,1127,1302,2404,1229,359,245,496,785,2141,,1394,652,926,499,542,468,433,238,630,845
170240,"Glucose in solid form and glucose syrup, not containing added flavouring or colouring matter, ...",4,0,0,0,0,0,0,0,0,8,,11,107,21,339,24,58,37,33,16,7,,895,1001,1171,857,531,422,1407,1049,253,163
540710,"Woven fabrics of high-tenacity yarn, nylon, other polyamides or polyesters, incl. monofilament ...",4,0,0,0,0,0,15,18,115,8,,6395,1634,2903,4234,3826,6925,2977,2620,2016,1330,,16213,13445,10995,10613,9914,10499,11096,14359,11501,17903
842330,Constant weight scales and scales for discharging a pre-determined weight of material into ...,3,0,0,23,0,0,0,0,0,8,,2427,2105,3249,6776,4647,2092,1029,879,1202,824,,9082,11549,10522,29476,15223,16816,20642,29348,21949,24029
292151,"O-Phenylenediamine, m-phenylenediamine, p-phenylenediamine or diaminotoluenes and their derivatives; ...",3,4,8,13,1,0,8,0,0,8,,774,1374,977,177,162,218,326,1033,413,1499,,23639,30947,35062,26103,29900,31872,47433,52113,46643,71805
90210,Green tea in immediate packings of <= 3 kg,0,0,0,0,0,9,58,4,0,8,,4903,4015,5085,6627,7290,7330,8580,10917,6743,6061,,592,498,237,195,222,286,359,301,221,265
481110,"Tarred, bituminised or asphalted paper and paperboard, in rolls or in square or rectangular ...",0,0,0,0,0,0,0,0,0,8,,141,347,2580,82,284,136,374,116,48,245,,4677,3359,2541,2306,1509,2537,2597,1702,450,312
