Product code,Product label,"Korea, Republic of's imports from Viet Nam-Value in 2012","Korea, Republic of's imports from Viet Nam-Value in 2013","Korea, Republic of's imports from Viet Nam-Value in 2014","Korea, Republic of's imports from Viet Nam-Value in 2015","Korea, Republic of's imports from Viet Nam-Value in 2016","Korea, Republic of's imports from Viet Nam-Value in 2017","Korea, Republic of's imports from Viet Nam-Value in 2018","Korea, Republic of's imports from Viet Nam-Value in 2019","Korea, Republic of's imports from Viet Nam-Value in 2020","Korea, Republic of's imports from Viet Nam-Value in 2021",Viet Nam's exports to world- ,Viet Nam's exports to world-Value in 2012,Viet Nam's exports to world-Value in 2013,Viet Nam's exports to world-Value in 2014,Viet Nam's exports to world-Value in 2015,Viet Nam's exports to world-Value in 2016,Viet Nam's exports to world-Value in 2017,Viet Nam's exports to world-Value in 2018,Viet Nam's exports to world-Value in 2019,Viet Nam's exports to world-Value in 2020,Viet Nam's exports to world-Value in 2021,"Korea, Republic of's imports from world- ","Korea, Republic of's imports from world-Value in 2012","Korea, Republic of's imports from world-Value in 2013","Korea, Republic of's imports from world-Value in 2014","Korea, Republic of's imports from world-Value in 2015","Korea, Republic of's imports from world-Value in 2016","Korea, Republic of's imports from world-Value in 2017","Korea, Republic of's imports from world-Value in 2018","Korea, Republic of's imports from world-Value in 2019","Korea, Republic of's imports from world-Value in 2020","Korea, Republic of's imports from world-Value in 2021"
720918,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, in coils, simply ...""",40,60,0,55,21,0,717,0,0,0,,142753,100458,97919,39329,34611,56289,58298,74225,31176,66992,,44461,58503,73347,55878,44233,62894,49045,38900,34929,75390
720928,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, not in coils, simply ...""",0,0,0,0,0,0,0,0,1,0,,2091,2214,1928,62,2149,467,539,1216,57,23,,307,317,198,306,66,122,129,321,77,427
721912,"Flat-rolled products of stainless steel, of a width of>= 600 mm, not further worked than hot-rolled, ...",434,425,0,0,308,0,0,1,0,0,,1060,989,723,103,126,9,8,45,24,229,,249421,279401,312911,239384,179102,215228,247029,238565,214403,175843
711411,"Articles of goldsmiths' or silversmiths' wares or parts thereof, of silver, whether or not ...",0,0,0,0,0,0,0,0,0,0,,3245,2865,4415,5265,1075,118,39,49,23,52,,311,773,708,336,278,391,1061,850,655,2617
711510,"Catalysts in the form of wire cloth or grill, of platinum",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,62,0,0,,,6312,1542,4577,1818,6917,4290,3427,2190,2135,2258
722691,"Flat-rolled products of alloy steel other than stainless, of a width of < 600 mm, not further ...",61,0,0,0,215,63,0,3,74,0,,8,2,685,2235,1188,358,390,711,502,89,,42530,36315,36370,43620,32913,30269,24536,25185,16742,22295
722840,"Bars and rods of alloy steel other than stainless, not further worked than forged (excluding ...",0,0,55,0,0,0,0,0,0,0,,0,12,8,0,0,0,1,125,0,,,20584,20385,37803,42982,31981,32349,33567,38840,31535,39784
722410,"Steel, alloy, other than stainless, in ingots or other primary forms (excluding waste and scrap ...",0,0,0,0,0,63,624,888,18,0,,1,69,254,28,151,67,15,456,6153,3419,,4817,5301,9250,7059,5092,5889,4471,3368,1264,1934
730422,"Drill pipe, seamless, of stainless steel, of a kind used in drilling for oil or gas",0,0,0,0,0,0,0,0,0,0,,123,0,48,3,11,4,0,5,1,28,,35,1774,6820,2276,68,124,173,137,690,94
730459,"Tubes, pipes and hollow profiles, seamless, of circular cross-section, of alloy steel other ...""",0,4,69,2,0,232,0,309,8,0,,234,734,35,880,1405,463,88,133,200,176,,314341,433940,255464,214930,138692,104075,105616,133748,87468,129231
730511,"Line pipe of a kind used for oil or gas pipelines, having circular cross-sections and an external ...",0,32,0,0,0,0,0,0,0,0,,11,0,0,112,298,5,6,2,0,1,,675,5438,9654,6662,418,780,91,310,61,437
730621,"Casing and tubing of a kind used in drilling for oil or gas, welded, of flat-rolled products ...",0,0,0,0,0,0,0,0,0,0,,70,0,0,5,127,907,0,0,0,1,,289,252,386,158,205,2219,115,315,275,478
701010,Glass ampoules,0,0,0,0,0,0,0,0,0,0,,8,74,53,39,46,61,82,61,81,,,1578,1504,1931,2307,3745,2054,1605,1478,1700,2288
701932,"Thin sheets """"voiles"""" of irregularly laminated glass fibres""""",0,0,0,0,0,0,0,0,0,0,,0,0,96,89,105,92,105,87,51,,,10005,9640,7812,6431,10500,12105,8706,8716,8805,6979
701939,"Webs, mattresses, boards and similar nonwoven products, of glass fibres (excluding mats and ...""",0,2,0,0,0,1,1,0,20,0,,244,593,447,137,78,214,145,426,395,646,,34678,42960,44908,51392,53738,55639,51089,41307,40345,42672
710510,"Dust and powder of diamonds, incl. synthetic diamonds",0,0,0,0,0,0,45,0,2,0,,0,0,0,0,0,0,79,1,0,,,38930,38239,39138,37017,38440,41037,41758,33703,28190,43388
700210,"Glass in balls, unworked (excluding glass microspheres <= 1 mm in diameter, glass balls of ...",0,0,0,0,0,0,0,0,0,0,,157,176,148,55,16,5,0,0,0,3,,67,109,71,62,34,59,100,374,227,57
700239,"Tubes of glass, unworked (excluding tubes of glass having a linear coefficient of expansion ...",0,0,0,0,0,0,0,0,0,0,,118,78,19,68,107,1,3,2,33,98,,29396,21540,24273,28586,16011,14754,14597,15364,16498,18661
700490,"Sheets of glass, drawn or blown, but not otherwise worked (excluding glass coloured throughout ...""",0,0,0,6,11,1094,499,0,0,0,,75,29,707,516,664,49,65,62,142,166,,1322669,850306,533048,347866,378283,251892,218033,152601,95480,160272
690410,"Building bricks (excluding those of siliceous fossil meals or similar siliceous earths, and ...",14,23,38,128,72,116,65,17,0,0,,1306,1392,916,740,486,441,7421,1048,1457,1297,,2957,944,1119,2545,11406,15118,13962,9182,7108,9447
681292,"Paper, millboard and felt of asbestos or of mixtures with a basis of asbestos or a basis of ...",0,0,0,0,0,0,0,0,0,0,,6,5,2,5,5,6,5,3,4,,,0,0,0,0,0,0,0,0,0,0
681299,Fabricated asbestos fibres; mixtures with a basis of asbestos or with a basis of asbestos and ...,0,0,0,0,0,0,0,0,0,0,,14,13,38,58,46,38,2030,2726,1483,1,,2,254,8,0,0,0,1,0,0,1
681389,"Friction material and articles thereof, e.g. sheets, rolls, strips, segments, discs, washers ...",0,0,1,0,0,0,0,0,0,0,,71,234,17,42,18,9,75,79,82,4233,,27253,31159,32718,30453,31071,33097,28968,21212,15916,20534
631010,"Used or new rags, scrap twine, cordage, rope and cables and worn-out articles thereof, of textile ...",2,21,0,0,0,0,0,0,0,0,,11233,6365,11288,5785,6424,2934,758,1212,1603,2025,,930,546,900,855,520,791,347,568,769,695
820310,"Files, rasps and similar hand tools of base metal",0,0,0,0,0,0,0,0,0,0,,21,150,44,78,127,146,500,750,128,86,,2680,1854,1971,1415,1835,1604,2007,1620,1861,2058
820530,"Planes, chisels, gouges and similar cutting tools for working wood",0,0,0,0,0,0,0,0,0,0,,203,198,133,270,320,376,422,394,512,2422,,1393,1488,1781,1784,1861,2033,1960,1703,1770,2139
810920,Unwrought zirconium; zirconium powders,3,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,50,0,3,,1978,584,1176,744,333,566,838,385,273,241
810990,"Articles of zirconium, n.e.s.",0,0,0,0,0,0,0,0,0,0,,0,0,0,32,3,3,0,0,1,,,29438,47352,38592,37590,34471,42217,35309,23927,26282,56990
820160,"Hedge shears, two-handed pruning shears and similar two-handed shears, with working parts of ...",0,0,0,0,0,0,0,0,0,0,,3036,3185,4037,5110,7002,7833,7928,11075,10390,32937,,870,1016,1407,1733,1647,1457,1376,1493,1118,1175
810600,"Bismuth and articles thereof, n.e.s.; bismuth waste and scrap (excluding ash and residues containing ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,2752,10790,15974,14292,3911,1536,39,,4630,2598,3664,2925,3390,4939,3716,4875,3978,6153
800200,"Tin waste and scrap (excluding ash and residues from the manufacture of tin of heading 2620, ...",0,4,0,0,36,0,0,19,0,0,,22,16,130,71,411,522,952,1456,1047,1889,,375,355,1779,265,1515,909,1302,604,285,108
731439,"Grill, netting and fencing, of iron or steel wire, welded at the intersection (excluding products ...",0,0,18,0,0,0,0,1,0,0,,228,494,184,153,717,812,714,1047,1523,1166,,4060,3610,4104,3031,4091,4156,4962,4602,3200,4217
731589,"Chain of iron or steel (excluding articulated link chain, skid chain, stud-link chain, welded ...",0,1,0,0,0,0,55,0,0,0,,24,18,90,60,75,25,440,157,74,3211,,34696,23962,25582,58880,20144,22841,23016,28053,32427,32403
741122,"Tubes and pipes of copper-nickel base alloys """"cupro-nickel"""" or copper-nickel-zinc base alloys ...""",0,2,70,0,0,0,0,3,16,0,,0,12,31,0,122,0,404,3012,6695,1167,,35256,53845,39373,36671,27520,18074,10893,19579,12091,10648
750400,"Powders and flakes, of nickel (excluding nickel oxide sinters)",0,0,1,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,130,0,4,,117880,130335,120019,114850,104045,151205,218047,274172,279259,458637
750511,"Bars, rods, profiles and wire, of non-alloy nickel, n.e.s. (excluding electrically insulated ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,53,0,,,309,425,1010,748,893,1923,2134,5761,1819,1316
750522,Wire of nickel alloys (excluding electrically insulated products),0,22,14,0,0,0,0,0,0,0,,0,0,0,1,0,3,7,25,22,1784,,39375,40602,35237,34342,21152,22908,28601,41668,27574,21715
760519,"Wire of non-alloy aluminium, with a maximum cross-sectional dimension of <= 7 mm (other than ...",4,0,0,0,0,0,0,0,0,0,,1648,386,75,46,152,15,26,44,82,178,,4883,6007,6523,6454,3312,4345,4984,3803,3757,3825
732394,"Table, kitchen or other household articles, and parts thereof, of iron other than cast iron ...",0,0,0,0,0,0,0,0,0,0,,45,110,483,146,5,25,38,142,1064,2258,,8101,9805,11233,10071,15717,18331,10423,12115,7869,10674
740329,"Copper alloys unwrought (excluding copper-zinc base alloys """"brass"""", copper-zinc base alloys ...""",0,0,0,0,0,0,0,0,4,0,,0,0,34,17,104,17,92,168,62,36251,,58595,21445,34788,28178,7562,19769,29123,25119,25823,28789
740500,"Master alloys of copper (excluding phosphorus-copper compounds copper phosphide"""" containing ...""",0,0,0,0,0,0,0,10,0,0,,0,0,0,0,0,45,15,0,0,,,5895,7646,8998,5517,4158,5035,6102,6336,3827,6241
840211,Watertube boilers with a steam production > 45 t/hour,0,0,0,0,0,0,0,0,0,0,,183,39,5,0,432,0,17,0,1,,,7070,65071,10837,1032,20641,164,509,1,0,361
840410,"Auxiliary plant for use with boilers of heading 8402 or 8403, e.g. economizers, superheaters, ...",0,0,0,0,0,0,0,0,255,0,,285,69,307,389,308,124,1312,0,644,905,,32779,106372,39276,15945,28069,25768,12290,18870,12743,10657
840610,Steam and other vapour turbines for marine propulsion,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,287,0,907,32,0,5,31,1927,0,1
840733,"Spark-ignition reciprocating piston engine, of a kind used for vehicles of chapter 87, of a ...",0,0,0,0,0,20,4,4,0,0,,0,0,2,0,1,2,207,6,25,61,,614,923,305,204,320,419,338,891,334,625
841440,Air compressors mounted on a wheeled chassis for towing,5,0,0,0,0,0,0,1,0,0,,246,147,138,62,205,49,357,161,496,547,,16175,14816,42794,3979,10957,13602,8665,13950,9806,24069
841320,Hand pumps for liquids (excluding those of subheading 8413.11 and 8413.19),0,0,0,0,0,0,0,1,2,0,,266,476,888,2261,2182,2683,3621,3091,4749,23497,,3422,3316,3404,3771,5049,5712,9051,32739,58021,29269
830621,"Statuettes and other ornaments, of base metal, plated with precious metal (excluding works ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,44,12,0,9,6,28,,718,198,138,141,362,128,112,591,278,232
843629,"Poultry-keeping machinery (excluding machines for sorting or grading eggs, poultry pickers ...",0,0,0,0,0,0,0,0,0,0,,2,0,43,0,0,0,43,62,289,5135,,24829,31517,50140,36436,30438,40448,36622,25247,14137,23053
843820,"Machinery for the industrial preparation or manufacture of confectionery, cocoa or chocolate ...",0,0,0,0,0,6,3,22,0,0,,0,42,75,1,32,37,85,35,10,65,,8471,14857,19221,10586,10494,12244,3620,8800,3594,8392
843920,"Machinery for making paper or paperboard (excluding dryers and other heating appliances, calenders ...",0,0,0,0,0,0,0,0,0,0,,201,615,0,0,0,0,14,0,5,,,20061,25764,19171,13879,11142,4738,8683,5556,3929,17435
843311,"Mowers for lawns, parks or sports grounds, powered, with the cutting device rotating in a horizontal ...",0,0,0,0,0,0,0,0,0,0,,114,11,19,12,3,10,31,12898,371427,160242,,9113,10620,11301,9967,14066,14234,16664,16287,17615,18637
842330,Constant weight scales and scales for discharging a pre-determined weight of material into ...,0,0,5,0,0,0,0,0,0,0,,130,339,70,42,405,150,275,444,143,166,,2706,6419,7611,8266,11680,14925,15300,13865,12500,14361
842511,"Pulley tackle and hoists, powered by electric motor (other than skip hoists or hoists of a ...",10,1,20,25,0,0,31,0,231,0,,3385,24,450,930,879,324,378,105,3003,3053,,16256,16294,22418,18833,17715,18246,17237,18728,17560,21137
842542,"Jacks and hoists, hydraulic (excluding built-in jacking systems used in garages)",8,0,20,25,1,3,3,0,0,0,,67,106,46,123,173,239,164,326,910,2386,,15979,10590,29398,10759,10358,7986,7575,7709,9237,10306
842611,Overhead travelling cranes on fixed support,0,0,0,1397,0,0,0,0,0,0,,296,168,89,1388,383,1038,652,239,58,1471,,4573,5047,9847,14900,3047,6472,11427,14766,7819,15078
842920,Self-propelled graders and levellers,0,0,0,0,0,0,0,0,0,0,,600,1745,350,196,303,592,262,313,630,81,,4771,5273,2322,1897,1964,2240,4450,2854,1475,5284
843020,"Snowploughs and snowblowers (excluding those mounted on railway wagons, motor vehicle chassis ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,21925,,2376,3971,5233,2272,1236,909,1309,626,402,730
843050,"Self-propelled earth-moving machinery, n.e.s.",0,0,0,0,0,0,0,0,0,0,,0,106,851,212,23,0,87,0,0,263,,22025,14032,5071,2310,854,649,468,2767,1065,240
851020,Hair clippers with self-contained electric motor,0,0,0,0,0,0,0,0,18,0,,0,0,0,2676,3559,3427,6889,11506,17504,23202,,4866,5046,6319,6825,9192,11878,11904,14731,14104,16577
851030,Hair-removing appliances with self-contained electric motor,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,30,32,394,1008,1459,448,,3209,4057,5436,2531,3833,5015,5512,2675,3712,3406
850690,"Parts of primary cells and primary batteries, n.e.s.",0,22,7,0,0,0,0,0,0,0,,1085,3304,6171,2229,165,369,879,1591,518,482,,8008,4748,2871,2751,8317,5576,5651,4559,4979,3986
850640,Silver oxide cells and batteries (excluding spent),0,0,0,1,0,0,0,0,0,0,,0,7,0,2,1,0,0,0,0,3,,1533,1772,1849,2250,1788,1956,1495,1279,1672,1834
853939,"Discharge lamps (excluding flourescent, hot cathode lamps, mercury or sodium vapour lamps, ...",17078,831,32,21,0,0,4,0,0,0,,22924,1762,4841,3529,214,139,281,203,64,27,,50473,18818,9756,8827,9627,12799,10490,9312,5097,5334
854071,Magnetrons,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,4,1,0,1,1,2,,5796,5927,4183,6233,5784,8381,6459,6144,6400,7730
860290,Rail locomotives (excluding those powered from an external source of electricity or by accumulators ...,0,0,0,0,0,0,0,0,0,0,,0,41,0,0,0,35,0,0,0,,,0,0,0,0,0,0,0,0,0,348
860500,"Railway or tramway passenger coaches, luggage vans, post office coaches and other special purpose ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,12,0,0,0,,,41,0,0,0,0,0,216,16,773,1450
860791,"Parts of railway or tramway locomotives, n.e.s.",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,,,14499,19799,13065,9143,11398,9343,13252,16220,25612,23363
860800,"Railway or tramway track fixtures and fittings (excluding sleepers of wood, concrete or steel, ...",0,0,0,0,0,0,0,0,0,0,,9,12,83,200,0,158,150,248,51,1914,,17574,7629,4895,2950,2187,3288,4613,2986,11943,13259
870540,Concrete-mixer lorries,0,0,0,0,0,0,0,0,0,0,,1700,0,0,301,1013,226,1025,1031,294,335,,280,1499,1371,0,58,4,0,0,13,0
870220,"Motor vehicles for the transport of >= 10 persons, incl. driver, with both diesel engine and ...",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,90
870919,"Works trucks, self-propelled, not fitted with lifting or handling equipment, of the type used ...",0,0,0,0,0,0,0,10421,0,0,,102,12,10,5,19,5,310,134,13,7705,,33449,61038,81519,20419,24916,15068,16637,48868,20764,19356
871496,"Pedals and crank-gear, and parts thereof, for bicycles, n.e.s.",0,0,0,0,7,0,0,0,0,0,,71,14,19,44,30,38,908,573,4,6681,,2531,2417,3567,5023,4704,3737,3277,3310,3920,5107
880230,Aeroplanes and other powered aircraft of an unladen weight > 2.000 kg but <= 15.000 kg (excl. ...,0,0,0,0,0,0,0,0,0,0,,5874,0,116030,0,0,13700,8400,12600,0,,,3663,2350,529,6663,71113,19397,11709,1384844,1285657,1261437
880320,"Under-carriages and parts thereof, for aircraft, n.e.s.",0,0,0,0,0,0,0,1,0,0,,0,0,20,57,1120,293,15966,370,478,7094,,79603,100234,113610,110559,117743,183561,140635,177356,136786,167172
846023,"Cylindrical grinding machines for finishing metal, numerically controlled (excl. gear finishing ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,197,7,175,,,0,0,0,0,0,12134,21420,22313,13858,24620
845610,"Machine tools for working any material by removal of material, operated by laser or other light ...",24,142,117,87,228,0,0,0,0,0,,206,499,137,506,792,2941,0,0,0,,,265539,269117,208737,210585,148356,19,0,0,0,0
845121,"Drying machines, of a dry linen capacity <= 10 kg (excluding centrifugal driers)",0,0,0,0,0,5,0,0,0,0,,16,26,11,10,2,1,0,7,3,302,,2056,1625,2607,3874,11520,17869,62808,35318,42066,40650
844811,"Doobies and jacquards; card reducing, copying, punching or assembling machines for use therewith",0,0,2,0,0,0,0,0,0,0,,0,6,8,11,1,8,1,0,39,16,,4745,5138,8145,6560,5870,4460,5544,3545,2627,2197
844513,Drawing or roving machines,0,0,0,0,0,0,0,0,0,0,,0,11,0,0,95,144,146,11,104,248,,7290,3801,616,140,2225,365,455,49,559,339
844312,"Offset printing machinery, sheet fed [office type], using sheets of a side <= 22 x 36 cm in ...",0,0,0,0,0,0,0,0,0,0,,17,1,2,6,13,68,67,2,0,66,,229,0,1000,706,18,797,2,11,1,2
844314,"Letterpress printing machinery, reel fed (excluding flexographic printing machinery)",0,0,0,0,0,0,0,0,0,0,,6,0,192,0,80,69,0,6,97,2,,834,301,674,1865,3386,2574,3788,4777,1071,532
844316,Flexographic printing machinery,0,0,0,0,75,0,0,34,0,0,,18,0,0,40,83,36,5,195,22,1488,,2982,7024,2833,9681,11179,8919,8704,10471,2873,11804
850422,"Liquid dielectric transformers, having a power handling capacity > 650 kVA but <= 10.000 kVA",25,0,0,0,0,0,0,0,0,0,,10483,9486,11399,15402,9536,12643,18655,22961,22208,21186,,6304,24790,18603,12936,4060,3994,7432,1298,1210,681
846890,"Parts of machinery and apparatus for soldering, brazing, welding or surface tempering, non-electric, ...",0,1,3,0,0,35,1,0,0,0,,81,11,19,49,27,88,27,30,46,112,,11932,12980,9400,7631,6198,4053,3620,3972,3355,3674
847030,"Calculating machines, non-electronic",0,0,0,0,0,0,0,0,0,0,,0,0,10,0,4,0,0,2,4,2,,204,330,321,100,120,399,1076,949,794,763
847751,Machinery for moulding or retreading pneumatic tyres or for moulding or otherwise forming inner ...,0,0,0,0,0,0,0,0,0,0,,0,2,0,0,0,0,0,0,0,,,20191,346,39629,3003,927,6566,1972,3023,1333,616
847971,"Passenger boarding bridges, of a kind used in airports",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,0,271,0,0,0,251,6,103,105,0
847432,Machines for mixing mineral substances with bitumen,0,0,0,0,0,0,0,0,0,0,,0,122,97,139,127,2,11,4,0,42,,609,569,1078,1437,1521,4689,494,739,1934,3596
847510,"Machines for assembling electric or electronic lamps, tubes or valves or flashbulbs, in glass ...",0,0,0,0,0,0,0,0,0,0,,304,445,300,454,9,50,3,34,28,,,754,1168,548,1066,450,444,876,92,391,94
71231,"Dried mushrooms of the genus """"Agaricus"""", whole, cut, sliced, broken or in powder, but not ...""",0,0,0,0,0,0,0,0,0,0,,0,1,0,2,1,0,9,0,20,127,,21,6,441,380,450,456,541,778,657,593
71310,"Dried, shelled peas """"Pisum sativum"""", whether or not skinned or split""""",0,0,0,0,0,0,0,0,0,0,,135,43,17,28,8,69,23,2,1,333,,2369,2428,2906,3499,2677,2160,2254,2702,3286,3651
71450,"Yautia """"Xanthosoma spp."""", fresh, chilled, frozen or dried, whether or not sliced or in the ...""",0,0,0,0,0,2,0,0,0,0,,2301,1909,3174,2473,3703,5164,4770,3787,3351,23,,0,0,0,0,0,2,0,0,0,0
60230,"Rhododendrons and azaleas, grafted or not",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,6,0,0,0,1,,82,97,90,98,62,90,70,41,62,84
70390,"Leeks and other alliaceous vegetables, fresh or chilled (excluding onions, shallots and garlic)",0,3,60,0,123,0,0,5,26,0,,427,213,222,222,352,397,1022,955,632,203,,3150,5194,1263,2392,2811,4681,4516,3666,3944,9017
70970,"Fresh or chilled spinach, New Zealand spinach and orache spinach",0,0,0,0,0,0,0,0,0,0,,26,1,2,7,35,65,62,66,16,36,,0,5,0,0,1,0,0,0,15,0
30782,"Live, fresh or chilled, even in shell, stromboid conchs """"Strombus spp.""""""""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,67,,0,0,0,0,0,0,0,0,0,0
30783,"Frozen, even in shell, abalone """"Haliotis spp.""""""""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,6,10,33,212,714
100310,Barley seed for sowing,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,4,25,12,0,0,1,1,1,1,2
100810,Buckwheat,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,49,134,67,,,1063,1267,1711,1555,2156,1326,1419,1468,1749,2769
110313,"Groats and meal of maize """"corn""""""""",0,0,0,0,0,0,0,0,0,0,,3,3,2,6,49,0,0,78,352,19,,11,18,24,19,28,580,695,1046,1660,2050
110419,Rolled or flaked grains of cereals (excluding oats),0,0,0,0,0,0,0,0,0,0,,24,44,22,110,192,341,39,47,32,33,,0,10,1,0,2,1,5,3,8,5
110423,"Hulled, pearled, sliced, kibbled or otherwise worked maize grains (excluding rolled, flaked, ...",0,0,0,0,0,0,0,0,0,0,,21,7,2,31,15,7,10,9,5,36,,10242,8848,8697,5212,6750,6730,5874,6042,6897,6946
110720,Roasted malt,0,0,0,0,0,0,0,0,0,0,,0,168,0,593,1920,2926,1689,680,392,204,,979,1253,1135,1653,1106,2130,3021,3515,3347,3511
90921,"Coriander seeds, neither crushed nor ground",20,0,0,0,0,0,0,1,0,0,,1406,1018,174,203,281,107,16,8,22,51,,611,566,763,788,566,773,629,745,648,902
90922,"Coriander seeds, crushed or ground",0,0,0,0,0,0,0,0,0,0,,1,206,542,326,182,257,381,365,379,418,,46,84,103,136,91,74,67,59,108,154
80711,Fresh watermelons,0,0,0,0,0,0,0,0,0,0,,18,104,1463,15209,106260,93291,82106,57561,36542,9638,,292,467,392,262,408,363,532,629,233,0
81020,"Fresh raspberries, blackberries, mulberries and loganberries",0,0,0,0,0,0,0,0,0,0,,0,3,13,0,1,26,12,16,18,1,,0,0,0,0,1,0,0,0,0,0
81060,Fresh durians,0,0,0,0,0,0,0,0,0,0,,553,608,2010,24681,104084,306205,269394,271222,71397,97004,,73,177,521,758,822,1371,2587,2806,3190,5079
80242,"Fresh or dried chestnuts """"Castanea spp."""", shelled""""",0,0,0,0,0,0,0,0,0,0,,8,0,0,0,0,2,0,24,0,133,,0,0,0,0,0,0,0,0,0,0
80270,"Fresh or dried kola nuts """"Cola spp."""", whether or not shelled or peeled""""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,10,,0,0,0,0,0,0,0,0,0,0
80529,Fresh or dried wilkings and similar citrus hybrids,0,0,0,0,0,16,0,0,0,0,,0,0,0,0,0,0,1,0,1,192,,0,0,0,0,0,16,0,0,0,0
30812,"Frozen sea cucumbers """"Stichopus japonicus, Holothuroidea""""""""",0,0,0,0,0,177,0,0,0,0,,0,0,0,0,0,0,30,0,0,3694,,0,0,0,0,0,2744,1673,640,110,431
40120,"Milk and cream of a fat content by weight of > 1% but <= 6%, not concentrated nor containing ...",0,0,0,0,0,0,0,0,0,0,,978,693,735,502,242,87,50,152,398,12816,,706,615,260,775,800,2503,3099,7424,7962,16431
40150,"Milk and cream of a fat content by weight of > 10%, not concentrated nor containing added sugar ...",0,0,0,0,0,0,0,0,0,0,,207,188,20,84,70,5,154,54,95,17,,32936,29515,27144,21748,50921,64631,86325,87454,90142,107617
40210,"Milk and cream in solid forms, of a fat content by weight of <= 1,5%",0,0,0,0,0,0,0,0,0,0,,8857,13196,9508,4813,577,2887,1083,6060,2598,14,,61185,76431,91074,55054,42713,53138,49340,55960,49117,42307
40490,"Products consisting of natural milk constituents, whether or not sweetened, n.e.s.",0,0,0,0,0,0,0,0,0,0,,214,24,10,213,211,175,29,0,0,195,,65014,97719,120329,65534,63358,84250,87750,97068,127984,148062
40590,"Fats and oils derived from milk, and dehydrated butter and ghee (excluding natural butter, ...",0,0,0,0,0,0,0,0,0,0,,136,1071,5,88,270,1159,938,244,2833,,,95,87,63,423,82,162,405,1123,1615,2385
40630,"Processed cheese, not grated or powdered",0,0,0,0,0,0,0,0,1,0,,3,0,0,4,12,925,3112,3236,3092,2846,,32180,38807,46352,41407,40920,38932,39181,43475,37746,44364
40690,"Cheese (excluding fresh cheese, incl. whey cheese, curd, processed cheese, blue-veined cheese ...""",0,0,0,0,0,0,0,0,0,0,,186,388,625,893,924,904,1270,1377,869,342,,120074,116611,135421,120646,98474,133542,127108,127643,147419,176639
40819,"Egg yolks, fresh, cooked by steaming or boiling in water, moulded, frozen or otherwise preserved, ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,9,19,728,1480,1091,23,,3116,2530,2782,1194,1050,8402,4187,3261,2725,6589
51000,"Ambergris, castoreum, civet and musk; cantharides; bile, whether or not dried; glands and other ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,13,3,0,0,0,0,,,21201,19153,15965,21796,26004,33073,45396,45050,51902,45163
51110,Bovine semen,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,2,0,,,3834,4198,3688,4251,2983,4054,3815,4451,3889,4311
30491,"Frozen meat, whether or not minced, of swordfish """"Xiphias gladius"""" (excluding fillets)""""",419,0,1,0,0,0,0,0,0,0,,5349,4240,2614,3678,4693,6221,3397,2772,1576,368,,1711,409,310,90,327,155,344,72,0,9
30492,"Frozen meat, whether or not minced, of toothfish """"Dissostichus spp."""" (excluding fillets)""""",301,583,657,618,895,547,392,109,0,0,,667,415,0,896,1,40,354,63,11,79,,1013,1028,921,977,1206,846,525,238,0,0
10190,Live mules and hinnies,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,221,0,0,0,0,0,0,0,1,0
10392,"Live swine, weighing >= 50 kg (excluding pure-bred for breeding)",0,0,0,0,0,0,0,0,0,0,,0,0,348,16343,116560,8672,160,0,0,41,,946,0,180,106,107,170,335,153,48,252
30633,"Crabs, whether in shell or not, live, fresh or chilled",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,7608,16637,60796,37655,,0,0,0,0,0,299721,363678,409843,410734,457049
