Product code,Product label,United States of America's imports from Viet Nam-Value in 2012,United States of America's imports from Viet Nam-Value in 2013,United States of America's imports from Viet Nam-Value in 2014,United States of America's imports from Viet Nam-Value in 2015,United States of America's imports from Viet Nam-Value in 2016,United States of America's imports from Viet Nam-Value in 2017,United States of America's imports from Viet Nam-Value in 2018,United States of America's imports from Viet Nam-Value in 2019,United States of America's imports from Viet Nam-Value in 2020,United States of America's imports from Viet Nam-Value in 2021,Viet Nam's exports to world- ,Viet Nam's exports to world-Value in 2012,Viet Nam's exports to world-Value in 2013,Viet Nam's exports to world-Value in 2014,Viet Nam's exports to world-Value in 2015,Viet Nam's exports to world-Value in 2016,Viet Nam's exports to world-Value in 2017,Viet Nam's exports to world-Value in 2018,Viet Nam's exports to world-Value in 2019,Viet Nam's exports to world-Value in 2020,Viet Nam's exports to world-Value in 2021,United States of America's imports from world- ,United States of America's imports from world-Value in 2012,United States of America's imports from world-Value in 2013,United States of America's imports from world-Value in 2014,United States of America's imports from world-Value in 2015,United States of America's imports from world-Value in 2016,United States of America's imports from world-Value in 2017,United States of America's imports from world-Value in 2018,United States of America's imports from world-Value in 2019,United States of America's imports from world-Value in 2020,United States of America's imports from world-Value in 2021
282741,Chloride oxides and chloride hydroxides of copper,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,472,,1967,1662,1724,830,1275,3768,7472,6029,7188,4118
282760,Iodides and iodide oxides (excluding inorganic or organic compounds of mercury),0,0,0,0,0,0,0,0,0,0,,1,0,1,0,0,150,83,626,507,2905,,19549,14732,15295,13040,11602,12021,16035,16684,16821,25369
283311,Disodium sulphate,0,0,0,0,0,0,0,0,0,0,,319,273,0,80,0,943,203,88,355,49,,11415,12732,9356,5129,7259,10077,9288,11923,11027,9982
283327,Sulphate of barium,0,0,0,0,0,0,0,0,0,0,,0,14,0,2,0,11,6,6,11,,,22338,23260,24071,24425,30386,29007,31896,23955,19911,24341
283510,"Phosphinates """"hypophosphites"""" and phosphonates """"phosphites""""""""",0,0,0,0,0,0,0,0,0,0,,0,0,45,27,30,0,25,7,0,24,,23641,19414,23353,17392,20086,19567,22988,16153,15023,32606
283919,"Silicates of sodium, incl. commercial silicates (excluding sodium metasilicates)",0,0,0,0,0,0,0,0,0,0,,23,62,64,118,24,3,6,145,81,1289,,12234,13493,16577,14891,13139,14182,14108,19741,19531,39315
284011,"Anhydrous disodium tetraborate """"refined borax""""""""",0,0,0,0,0,0,0,0,0,0,,47,0,0,0,0,0,0,0,0,,,930,885,673,960,1894,1800,4721,5388,2038,4136
284190,"Salts of oxometallic or peroxometallic acids (excluding chromates, dichromates, peroxochromates, ...""",0,0,0,0,0,0,0,0,0,0,,0,94,0,0,15,1,1718,5887,12018,16340,,78429,72139,69321,70432,66174,79228,127038,135352,118348,223703
284430,"Uranium depleted in U 235 and its compounds; thorium and its compounds; alloys, dispersions, ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,328,235,1080,370,1342,1239,972,231,70,439
284510,"Heavy water """"deuterium oxide"""" [Euratom]""""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,19098,16970,20294,20005,32455,16236,28019,26805,24648,31222
284610,Cerium compounds,0,0,0,0,0,0,0,0,0,0,,0,0,91,152,17,19,0,0,0,,,77321,37797,38059,46244,49040,36258,42220,41157,31509,32059
285210,"Compounds, inorganic or organic, of mercury, chemically defined (excluding amalgams)",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,2,,807,590,1212,960,1154,780,1008,1123,575,780
285310,"Cyanogen chloride """"chlorcyan""""""""",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,290,215,106,171,257
290219,"Cyclanes, cyclenes and cycloterpenes (excluding cyclohexane)",0,0,0,0,0,0,0,0,0,0,,125,24,1,0,0,0,0,391,32,29,,91240,79301,93312,90826,78683,97129,124708,91809,65004,93096
290313,"Chloroform """"trichloromethane""""""""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,7669,7992,8985,5947,679,612,41,41,653,61
290331,"Ethylene dibromide """"ISO"""" """"1,2-dibromoethane""""""""",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,211,145,255,167,0,184,46,46,42,45
290371,Chlorodifluoromethane,0,0,0,0,0,0,0,0,0,0,,0,0,4,5,0,0,0,0,1,,,40035,47783,47428,18018,13026,14910,21033,14803,5222,14446
290378,"Perhalogenated derivatives of acyclic hydrocarbons containing two or more different halogens, ...",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,6088,5858,2975,996,9198,5531,2005,452,2219,4823
290399,"Halogenated derivatives of aromatic hydrocarbons (excluding chlorobenzene, o-dichlorobenzene, ...""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,37,1,0,0,,,146014,121191,126447,126662,123659,123102,133988,134664,100940,149490
290490,"Sulphonated, nitrated or nitrosated derivatives of hydrocarbons, whether or not halogenated ...",0,0,0,0,0,0,0,0,0,0,,1,11,4,4,1,2,0,0,0,,,17843,15753,16145,13601,10671,0,0,0,0,0
290712,Cresols and their salts,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,11600,6595,7885,6129,7818,7269,7106,7239,7097,13461
290722,"Hydroquinone """"quinol"""" and its salts""""",0,0,0,0,0,0,0,0,0,0,,3,0,0,0,68,134,34,73,71,9,,2859,1317,2033,1614,2159,1447,1840,1885,1728,3761
290949,"Ether-alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives (excluding ...""",0,0,0,0,0,0,0,0,0,0,,55,1,8,53,184,33,42,69,106,50,,125508,128709,143062,127420,105319,103364,124434,109294,117718,157803
291100,"Acetals and hemiacetals, whether or not with other oxygen function, and their halogenated, ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,,,8224,9683,9223,6891,6040,6263,5909,11297,5905,10850
291260,Paraformaldehyde,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,10677,13614,11522,9629,7831,8456,7860,5461,5298,9843
291431,"Phenylacetone """"phenylpropan-2-one""""""""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,2587,2295,1307,1557,1905,2573,2925,4403,3093,2958
900890,"Parts and accessories for image projectors, photographic enlargers and reducers, n.e.s.",0,6,0,11,0,0,0,27,0,0,,0,0,61,69,98,131,49,85,48,36,,35598,27485,21056,20031,18340,18558,16874,12680,7317,7463
901180,"Optical microscopes (excluding for photomicrography, cinephotomicrography or microprojection, ...",8,127,112,3,0,2,0,0,0,0,,350,204,390,115,191,696,173,116,158,95,,84446,87156,99250,102559,101294,112461,131180,146550,147644,200771
880240,"Aeroplanes and other powered aircraft of an of an unladen weight > 15.000 kg (excl. helicopters, ...",0,0,0,0,0,0,0,0,0,0,,0,0,1382,1500,0,66650,0,0,31008,10,,5618384,9250382,11767299,12802595,9637968,9754357,7924931,10067051,10226692,9218946
890200,Fishing vessels; factory ships and other vessels for processing or preserving fishery products ...,0,0,0,0,0,0,0,0,0,0,,65626,56757,16712,24229,353,1077,11410,5494,26832,43120,,5451,6244,7119,3125,1048,1454,498,1050,1268,1213
870370,"Motor cars and other motor vehicles principally designed for the transport of <10 persons, ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,0,,,0,0,0,0,0,30028,3523,10777,3282,40170
870710,Bodies for motor cars and other motor vehicles principally designed for the transport of persons,0,0,0,0,0,0,0,0,0,0,,2,0,0,19,14,0,0,83,25,101,,31406,23554,29736,26733,26636,31524,32390,29857,32630,32715
901520,"Theodolites and tachymeters """"tacheometers""""""""",0,0,0,0,4,0,10,5,0,0,,31,1583,32,62,252,161,174,257,192,44,,80130,85359,101129,101621,84760,104664,117052,96807,86442,114807
910129,"Wrist-watches of precious metal or of metal clad with precious metal, whether or not incorporating ...",0,0,0,0,0,0,0,0,0,0,,0,3,0,2,2,8,1,0,0,2649,,188374,228574,291678,269295,237847,208522,188853,190629,123793,192979
903084,"Instruments and apparatus for measuring or checking electrical quantities, with recording device ...",0,0,0,0,0,0,6,12,9,0,,0,1,33,4,9,30,65,324,29,941,,82461,84002,80976,88135,106678,91102,111999,114430,117599,108417
903110,Machines for balancing mechanical parts,0,0,0,0,10,11,114,27,0,0,,288,380,233,229,4498,193,403,358,288,82,,32130,31573,40696,38592,37553,66974,55287,38978,35666,35340
911011,"Complete watch movements, unassembled or partly assembled movement sets",0,0,0,0,0,0,0,0,0,0,,26,27,23,18,18,10,1,19,0,,,93,144,2229,2617,896,1414,1394,936,494,669
940151,Seats of bamboo or rattan,2106,1531,1731,1930,2190,0,0,0,0,0,,7698,7495,7260,6338,4521,5031,0,0,0,12,,35677,40516,45548,52598,58407,0,0,0,0,0
960860,"Refills for ball-point pens, comprising the ball-point and ink-reservoir",58,7,36,3,6,0,0,0,0,0,,4,3,24,17,109,38,15,99,156,30,,19500,15993,16644,15176,14157,15412,13666,14767,12170,12809
410390,"Raw hides and skins, fresh, or salted, dried, limed, pickled or otherwise preserved, whether ...""",0,0,0,0,0,0,0,0,0,0,,27,0,0,598,846,15513,16289,20777,18333,23614,,1502,1739,2067,1169,864,866,1218,580,559,518
410621,"Hides and skins of goats or kids, in the wet state """"incl. wet-blue"""", tanned, without wool ...""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,0,0,0,56,,1812,2241,1340,1035,458,420,576,247,173,228
410640,"Tanned or crust hides and skins of reptiles, whether or not split (excluding further prepared)",37,92,18,1,0,0,0,0,0,0,,9,143,4,328,463,151,446,16,10,38,,2396,2043,1837,1342,875,215,117,284,81,260
401162,"Pneumatic tyres, new, of rubber, having a """"herring-bone"""" or similar tread, of a kind used ...""",0,0,0,0,0,0,0,0,0,0,,4019,4191,5311,4740,4097,3860,0,0,0,262,,126992,109435,106485,109714,100095,0,0,0,0,0
381300,Preparations and charges for fire-extinguishers; charged fire-extinguishing grenades (excluding ...,0,0,0,0,0,0,0,0,0,0,,0,0,0,4,39,25,19,173,18,3,,3246,3072,3066,3944,9985,4836,8710,9503,9343,7162
382410,Prepared binders for foundry moulds or cores,0,0,0,0,0,0,0,0,0,0,,0,0,3,2,10,103,176,853,890,2645,,21703,17689,16934,15445,10963,17099,23571,18557,13023,21763
382475,Mixtures containing carbon tetrachloride,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1,,8538,0,6,0,3,0,0,0,0,0
382476,"Mixtures containing 1,1,1-trichloroethane """"methyl chloroform""""""""",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,8,0,0,0,0,0,0,0,0,0
382569,"Wastes from chemical or allied industries (excluding wastes of metal pickling liquors, of hydraulic ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,119,81,28,0,97,,19751,5731,3240,3769,8217,6029,7325,6334,6627,5692
390140,"Ethylene-alpha-olefins copolymers, having a specific gravity of < 0,94 , in primary forms",0,0,0,0,0,0,0,0,34,0,,0,0,0,0,0,0,11730,5482,2996,19253,,0,0,0,0,0,1125075,2029626,1611280,1425050,2530938
390430,"Vinyl chloride-vinyl acetate copolymers, in primary forms",0,0,0,0,0,2,0,0,0,0,,0,0,0,0,5,0,117,6,120,3864,,51847,31995,36158,43676,39373,33410,38532,35190,29439,52835
390599,"Polymers of vinyl esters and other vinyl polymers, in primary forms (excluding those of vinyl ...""",1,0,0,0,0,0,0,0,0,0,,32,1111,662,15,22,20,1,91,231,157,,41431,36068,43731,40908,35660,38793,39607,35325,33770,37265
390610,"Poly""""methyl methacrylate"""", in primary forms""""",0,0,0,0,0,0,0,0,0,0,,2307,1557,1495,1660,1253,1418,1733,1957,2376,2165,,51118,57616,55409,58687,46950,71404,66180,69008,65302,59700
390710,"Polyacetals, in primary forms",0,0,0,0,0,0,0,0,0,0,,56,101,362,140,230,1337,3574,5487,2896,6982,,64877,60409,77667,63834,71735,85637,94173,95460,83018,126262
390940,"Phenolic resins, in primary forms",0,0,0,0,0,0,0,0,0,0,,4020,6725,2812,1504,1054,708,1963,4097,3885,5157,,129119,150873,159877,122846,106387,120694,123923,118835,88265,125567
391211,"Non-plasticised cellulose acetates, in primary forms",0,0,0,0,0,0,0,0,0,0,,0,8,0,0,0,0,10,0,0,,,768,2144,3609,5418,3940,5272,4284,2543,4118,3579
391310,"Alginic acid, its salts and esters, in primary forms",0,0,0,0,0,0,0,0,0,0,,0,88,232,117,0,0,0,184,0,,,59044,60031,64662,61573,64284,62423,59961,60763,54790,60993
482020,Exercise books of paper or paperboard,122,163,35,50,404,0,7,77,196,0,,302,1,1,11,1,0,4,4,100,2158,,7125,9638,8531,9079,10273,13908,9476,7141,10183,11976
510121,"Shorn wool, degreased, non-carbonised, neither carded nor combed",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,10875,8918,9615,7844,7041,6810,9097,10130,7917,8956
510310,Noils of wool or of fine animal hair (excluding garnetted stock),0,0,0,0,0,0,0,0,0,0,,0,0,0,0,7,0,0,0,23,47,,952,844,1228,1052,1275,1364,893,360,589,152
510330,"Waste of coarse animal hair, incl. yarn waste (excluding garnetted stock, waste of hair or ...",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,1,3,28,2,18,1,0,0,2,1
510820,Combed yarn of fine animal hair (excluding that of wool and that put up for retail sale),0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,9,11,,,3245,2445,2858,3944,2256,2793,2747,2757,2194,3037
510990,"Yarn containing predominantly, but < 85% wool or fine animal hair by weight, put up for retail ...",0,0,0,0,0,0,0,0,1,0,,11,59,249,48,3,7,95,0,1,269,,16984,15063,17165,18059,17002,16785,21734,16716,18713,21144
511000,"Yarn of coarse animal hair or of horsehair, incl. gimped horsehair yarn, whether or not put ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1,,103,37,61,36,111,52,121,99,90,40
470200,"Chemical wood pulp, dissolving grades",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,567,0,0,1008,,379409,317192,234857,179861,153124,166972,176439,189265,220242,244176
470329,"Semi-bleached or bleached non-coniferous chemical wood pulp, soda or sulphate (excluding dissolving ...",0,0,0,0,0,0,0,0,0,0,,15696,28332,15706,3260,408,1113,1408,1796,390,4689,,1127827,1485054,1466843,1404896,1329544,1410552,1706878,1516551,1034194,1572174
441850,"Shingles and shakes, of wood",0,0,0,0,0,0,0,0,0,0,,121,175,19,323,147,40,226,33,1,31,,177106,189239,197585,212434,220726,207858,166281,155080,173754,243218
441872,"Flooring panels, multilayer, assembled, of wood (excluding for mosaic floors)",63,677,5282,5770,7518,0,0,0,0,0,,26,49,507,450,266,212,0,0,0,48,,125535,121859,139661,144067,175487,0,0,0,0,0
441900,"Tableware and kitchenware, of wood (excluding interior fittings, ornaments, cooperage products, ...",6341,5734,9036,9844,9692,0,0,0,0,0,,22307,23206,30100,38659,40194,44554,0,0,0,622,,159098,181274,196614,237449,246442,0,0,0,0,0
441232,"Plywood consisting solely of sheets of wood <= 6 mm thick, with at least one outer ply of non-coniferous ...",7496,14021,14395,18316,27380,63497,126296,0,0,0,,1738,4009,1504,4236,35309,43586,0,0,0,,,1179338,1224137,1448588,1597822,1577443,1525588,1032837,0,0,0
430220,"Heads, tails, paws and other pieces or cuttings of tanned or dressed furskins, not assembled",0,0,0,0,0,0,0,0,0,0,,30,3,0,0,0,0,6,0,0,,,695,1166,874,1399,1023,1310,1542,1977,1303,1807
440122,Wood in chips or particles (excluding those of a kind used principally for dying or tanning ...,0,0,0,0,0,0,0,0,0,0,,807901,1076718,981103,1168713,982046,1047356,1309183,1620144,1468398,1979745,,4101,5140,5162,4163,5721,14069,12471,13714,8892,13986
440320,"Coniferous wood in the rough, whether or not stripped of bark or sapwood, or roughly squared ...",0,4,0,0,0,0,0,0,0,0,,49,5,172,51,24,18,0,0,0,,,61661,60521,60333,62519,57692,58475,48395,0,0,0
440341,"Dark red meranti, light red meranti and meranti bakau wood in the rough, whether or not stripped ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,25,0,0,0,0,0,0,96,0,0
270119,"Coal, whether or not pulverised, non-agglomerated (excluding anthracite and bituminous coal)",0,0,0,0,0,0,0,0,0,0,,602,1682,621,273,372,436,28,0,7,13116,,184815,181823,285955,203740,200851,119879,128452,159693,166572,156730
270120,"Briquettes, ovoids and similar solid fuels manufactured from coal",0,0,0,0,0,47,52,0,0,0,,9,0,99,0,0,0,0,0,0,79,,955,676,857,834,299,148,406,109,167,349
270740,Naphthalene containing > 50% of naphthalene (excluding chemically defined),0,0,0,0,0,0,0,0,0,0,,0,43,0,0,0,0,0,0,0,46,,18277,32744,19379,12602,14908,12666,13084,8296,7475,7745
270791,Creosote oils (excluding chemically defined),0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,50996,42937,53035,90602,100341,80953,71741,73773,77732,62697
270810,Pitch obtained from coal tar or from other mineral tars,0,0,0,0,0,0,0,0,0,0,,168,1025,59,199,46,46,424,0,0,,,73118,65492,71137,78784,70118,66339,98285,108010,83761,99202
330491,"Make-up or skin care powders, incl. baby powders, whether or not compressed (excluding medicaments)",106,0,0,17,0,0,0,0,37,0,,464,679,680,880,289,335,398,618,480,144,,216548,215585,256672,293981,364484,370335,367384,296920,200553,238634
350699,"Glues, prepared, and other prepared adhesives, n.e.s.",19,8,6,6,2,0,0,0,51,0,,3500,4622,2754,2101,2745,4375,5331,8372,10669,14101,,34478,36401,33411,34180,42189,48293,58679,57832,48314,67790
360410,Fireworks,0,394,0,0,0,367,0,0,0,0,,893,985,0,19,400,1519,820,1052,1058,131,,275729,259224,313647,403134,384162,345709,404056,387998,367565,651636
360610,Liquid or liquefied-gas fuels in containers of a kind used for filling or refilling cigarette ...,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,20,,7990,19437,22575,17585,16518,19003,19294,13758,14014,20008
370110,"Photographic plates and film in the flat, sensitised, unexposed, for X-ray (excluding of paper, ...",0,0,0,0,0,0,0,0,0,0,,78,1,36,941,937,376,660,188,50,,,87544,87369,61238,60075,46881,42775,38627,34285,23055,31912
370253,"Photographic film, sensitised, in rolls, unexposed, with perforations, for colour photography ...""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,1125,516,635,603,458,465,176,249,120,211
370294,"Photographic film, sensitised, in rolls, unexposed, with perforations, for monochrome photography, ...",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,7,0,0,0,0,0,0
370297,"Photographic film, sensitised, in rolls, unexposed, with perforations, for monochrome photography, ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,0,0,0,1247,740,1570,840,915,481,474
380300,"Tall oil, whether or not refined",0,0,0,0,0,0,0,0,0,0,,6,4,3,2,0,0,0,1,0,,,7180,13265,8667,6386,5587,4015,3893,8574,9076,7614
380861,"Goods of heading 3808, containing alpha-cypermethrin """"ISO"""", bendiocarb """"ISO"""", bifenthrin ...""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,62,210,131,533,,0,0,0,0,0,1698,1379,1792,673,34
381119,Anti-knock preparations for motor fuels (excluding those based on lead compounds),0,0,0,0,0,0,0,0,0,0,,0,0,0,0,5,0,0,5,0,,,36468,42005,5269,2208,1478,1641,1668,1707,1350,2553
293491,"Aminorex """"INN"""", brotizolam """"INN"""", clotiazepam """"INN"""", cloxazolam """"INN"""", dextromoramide ...""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,173,1389,1897,1328,1394,1530,1108,1094,1239,1301
293627,"Vitamin C and its derivatives, used primarily as vitamins",0,3,0,0,0,0,90,0,0,0,,4,16,44,147,156,304,223,513,482,147,,159913,148435,153211,157298,148602,228467,272586,153788,274131,251826
293790,"Hormones, natural or reproduced by synthesis; derivatives and structural analogues thereof, ...",0,0,0,0,0,0,0,0,0,0,,9,7,0,0,1,0,0,0,0,,,99638,104473,95672,111445,181510,189443,181650,276622,385936,314867
293971,"Cocaine, ecgonine, levometamfetamine, metamfetamine """"INN"""", metamfetamine racemate, and salts, ...""",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,1417,8,174,20,60
294110,Penicillins and their derivatives with a penicillanic acid structure; salts thereof,0,0,0,0,0,0,0,0,0,0,,152,49,10,198,81,125,1,9,0,22,,124617,105561,124912,144216,138027,109082,118165,114634,79075,75222
294190,"Antibiotics (excluding penicillins and their derivatives with a penicillanic acid structure, ...",0,0,0,0,0,0,0,0,0,0,,462,748,953,1353,1099,1078,2769,3842,6079,242,,911661,681495,472033,536054,477820,518925,654025,589808,465344,541772
300190,"Dried glands and other organs for organo-therapeutic uses, whether or not powdered; heparin ...",0,0,0,0,0,0,0,17,2,0,,0,0,0,0,1,1,3,3,0,7108,,519982,393841,378097,415255,389377,402167,418432,447296,353800,391958
300210,"Antisera and other blood fractions and immunological products, whether or not modified or obtained ...",4,0,279,223,48,0,0,0,0,0,,0,1,4,41,195,576,0,0,0,,,5936259,6341583,7117566,9063595,13516802,0,0,0,0,0
300390,Medicaments consisting of two or more constituents mixed together for therapeutic or prophylactic ...,0,0,0,0,0,0,0,0,0,0,,6308,9957,5886,7004,4051,3996,2470,1797,908,1239,,2311085,1614950,441113,468789,657155,903411,1074309,380962,463921,589091
300440,"Medicaments containing alkaloids or derivatives thereof, not containing hormones, steroids ...""",0,0,0,0,0,0,0,0,0,0,,1570,1128,597,843,895,882,0,0,0,,,1952466,1468777,2224083,2378112,1919399,0,0,0,0,0
300610,"Sterile surgical catgut, similar sterile suture materials, incl. sterile absorbable surgical ...",0,0,2,0,45,0,0,0,12,0,,281,388,533,239,118,85,172,428,255,1226,,310849,313755,344860,330543,347616,376052,466558,483218,509413,655496
300692,Waste pharmaceuticals,0,0,0,0,0,0,0,0,0,0,,3,0,0,0,0,1,0,0,0,1,,232,17315,31911,22724,13479,4533,8494,746,186,445
310221,"Ammonium sulphate (excluding that in pellet or similar forms, or in packages with a gross weight ...",0,0,0,0,0,0,0,0,0,0,,2223,3100,993,1491,787,588,531,306,1253,407,,74905,91428,128169,113426,98422,82657,81672,108533,178434,232304
310290,Mineral or chemical nitrogen fertilisers (excluding urea; ammonium sulphate; ammonium nitrate; ...,0,0,0,0,0,0,0,5,0,0,,5390,3558,3942,2210,1676,2006,3248,1324,1131,1548,,35705,54209,51423,52788,63090,67825,86015,86933,89813,153411
310540,"Ammonium dihydrogenorthophosphate """"monoammonium phosphate"""", whether or not mixed with diammonium ...""",0,0,0,0,0,0,0,0,0,0,,13213,9343,2982,2290,1309,4721,9069,8159,9809,8681,,289466,354640,479299,300203,334422,407460,770263,718003,365378,717176
310560,Mineral or chemical fertilisers containing the two fertilising elements phosphorus and potassium ...,0,0,0,0,0,0,0,0,0,0,,0,0,0,12,11,109,29,2,28,23,,5159,4952,9437,9988,9435,9692,7578,12331,10544,23572
320412,"Synthetic organic acid dyes, whether or not metallised, and synthetic organic mordant dyes; ...",0,0,0,0,0,0,0,0,0,0,,92,64,55,121,94,275,879,563,635,194,,60366,65568,70409,73169,65740,65812,69105,65299,59326,83813
320415,"Synthetic organic vat dyes, incl. those usable in that state as pigments; preparations based ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,2,0,2,1,1,,18858,18284,21951,24344,18925,18127,18403,20997,11112,21872
320650,"Inorganic products of a kind used as luminophores, whether or not chemically defined",0,0,0,0,0,0,0,0,0,0,,86,262,125,99,63,29,496,148,482,181,,25704,59684,43702,43477,28187,22321,22660,15023,10955,15025
291539,"Esters of acetic acid (excluding ethyl, vinyl, n-butyl and dinoseb [ISO] acetates)",0,0,0,0,39,51,11,31,29,0,,9,120,12,306,20,264,804,176,326,571,,86702,85470,98459,92337,86709,94984,116545,105802,112943,144797
291615,"Oleic, linoleic or linolenic acids, their salts and esters (excluding inorganic or organic ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,4117,4125,4432,5002,6602,5649,7643,7396,5086,8052
291720,"Cyclanic, cyclenic or cycloterpenic polycarboxylic acids, their anhydrides, halides, peroxides, ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,3,0,60,31,158,,42577,38457,43763,36439,29051,28314,41196,34551,27824,36858
291813,Salts and esters of tartaric acid,0,0,0,0,0,0,0,0,0,0,,0,0,0,4,25,9,0,0,6,,,4963,6380,5634,6145,6034,7485,12719,13017,17643,15286
291814,Citric acid,0,29,0,0,0,0,0,0,0,0,,29,34,35,25,22,11,11,17,48,7,,174248,174189,156760,159114,159369,185486,183773,185487,198345,331676
292011,"Parathion """"ISO"""" and parathion-methyl """"ISO"""" """"methyl-parathion""""""""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,15376,3262,4,6,0,3,35,0,0,0
292211,Monoethanolamine and its salts,0,0,0,0,0,0,0,0,0,0,,0,0,27,0,0,22,1,4,3,,,6237,9623,11490,8187,3874,3574,2222,1997,1265,9910
292250,"Amino-alcohol-phenols, amino-acid-phenols and other amino-compounds with oxygen function (excluding ...",0,0,0,0,0,0,0,0,0,0,,574,647,420,463,449,293,418,661,206,44,,625019,192318,219496,213617,273906,334996,942675,702500,459470,846698
292412,"Fluoroacetamide """"ISO"""", monocrotophos """"ISO"""" and phosphamidon """"ISO""""""""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,55,8,9,116,0,0,0,0,65,94
292429,"Cyclic amides, incl. cyclic carbamates, and their derivatives; salts thereof (excluding ureines ...""",235,0,0,0,0,0,0,0,0,0,,363,174,162,151,9,29,12,104,18,,,691933,735900,817187,716944,700021,533069,659897,749448,858537,965091
292512,"Glutethimide """"INN""""""""",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,31
292640,alpha-Phenylacetoacetonitrile,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,26,16,50,6,11
292700,"Diazo-, azo- or azoxy-compounds",0,0,0,0,0,0,0,0,0,0,,0,0,0,10,57,0,44,273,418,2688,,68582,63976,72617,63757,61481,64443,67327,58282,52014,63999
293020,Thiocarbamates and dithiocarbamates (excluding inorganic or organic compounds of mercury),0,0,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,42,,31985,30138,25903,25785,25899,23703,29093,22552,22484,29658
293070,Bis(2-hydroxyethyl)sulfide (thiodiglycol (INN)),0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,174,194,1084,1182,776
293135,"2,4,6-Tripropyl-1,3,5,2,4,6-trioxatriphosphinane 2,4,6-trioxide",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,12,36,177,146,200
293190,Separate chemically defined organo-inorganic compounds (excluding organo-sulphur compounds ...,0,0,0,0,0,0,0,0,0,0,,0,0,117,67,121,704,112,186,119,83,,797099,1167489,1029973,877336,865252,853694,923310,676815,517901,676448
293219,"Heterocyclic compounds with oxygen hetero-atom[s] only, containing an unfused furan ring, ...""",0,0,0,0,0,0,0,0,0,0,,0,4,0,0,0,0,0,0,0,,,300680,274201,196097,195426,189101,151886,70605,53461,48162,53473
293331,Pyridine and its salts,0,0,0,0,0,0,0,0,0,0,,0,3,0,0,0,0,0,4,0,,,12059,13600,24716,20994,8603,9768,10740,11277,5908,8408
293332,Piperidine and its salts,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,12,0,0,0,0,,,1661,1516,2583,1556,1092,2067,1964,1408,1206,2270
