Product code,Product label,"Korea, Republic of's imports from Saudi Arabia-Value in 2012","Korea, Republic of's imports from Saudi Arabia-Value in 2013","Korea, Republic of's imports from Saudi Arabia-Value in 2014","Korea, Republic of's imports from Saudi Arabia-Value in 2015","Korea, Republic of's imports from Saudi Arabia-Value in 2016","Korea, Republic of's imports from Saudi Arabia-Value in 2017","Korea, Republic of's imports from Saudi Arabia-Value in 2018","Korea, Republic of's imports from Saudi Arabia-Value in 2019","Korea, Republic of's imports from Saudi Arabia-Value in 2020","Korea, Republic of's imports from Saudi Arabia-Value in 2021",Saudi Arabia's exports to world- ,Saudi Arabia's exports to world-Value in 2012,Saudi Arabia's exports to world-Value in 2013,Saudi Arabia's exports to world-Value in 2014,Saudi Arabia's exports to world-Value in 2015,Saudi Arabia's exports to world-Value in 2016,Saudi Arabia's exports to world-Value in 2017,Saudi Arabia's exports to world-Value in 2018,Saudi Arabia's exports to world-Value in 2019,Saudi Arabia's exports to world-Value in 2020,Saudi Arabia's exports to world-Value in 2021,"Korea, Republic of's imports from world- ","Korea, Republic of's imports from world-Value in 2012","Korea, Republic of's imports from world-Value in 2013","Korea, Republic of's imports from world-Value in 2014","Korea, Republic of's imports from world-Value in 2015","Korea, Republic of's imports from world-Value in 2016","Korea, Republic of's imports from world-Value in 2017","Korea, Republic of's imports from world-Value in 2018","Korea, Republic of's imports from world-Value in 2019","Korea, Republic of's imports from world-Value in 2020","Korea, Republic of's imports from world-Value in 2021"
910511,"Alarm clocks, electrically operated",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,1417,1490,2652,2770,4262,5785,6764,7378,7934,11571
910812,"Watch movements, complete and assembled, electrically operated, with opto-electronic display ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,1,0,14,0,0,0,0,,105,25,54,42,2,4,22,10,5,7
910819,"Watch movements, complete and assembled, electrically operated, with combined opto-electronic ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,18,0,0,0,0,,1887,1673,2077,1137,1125,839,1572,1247,576,412
910890,"Watch movements, complete and assembled, with hand winding only",0,0,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,17,0,0,0,,1512,1367,1668,698,192,345,435,263,508,145
911410,"Springs for clocks or watches, incl. hairsprings",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,86,77,36,18,60,33,25,16,26,39
920190,Harpsichords and other keyboard stringed instruments (excluding pianos),0,0,0,0,0,0,0,0,0,0,,0,0,0,3,5,3,0,0,0,0,,984,1002,1959,2869,2649,2340,1629,1655,1222,853
920590,Wind musical instruments (excluding brass-wind instruments),0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,44167,42043,45280,46287,44373,44483,43845,47029,33539,31704
920991,"Parts and accessories for pianos, n.e.s.",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,3430,2117,2313,1734,469,433,394,408,364,352
930320,"Sporting, hunting or target-shooting shotguns, with at least one smooth barrel (excluding muzzle-loading ...",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,1028,1112,638,623,677,967,1283,417762,748,701
930591,"Parts and accessories of military weapons of heading 9301, n.e.s.",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,21002,37298,15084,21278,50771,2846,8352,19203,21086,27352
940140,"Seats, convertible into beds (excluding garden seats and camping equipment, and medical, dental ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,3,174,197,144,0,0,0,,3755,3436,4473,5753,6121,6527,7785,14932,21050,22716
940180,"Seats, n.e.s.",0,0,1,0,0,0,0,0,1,0,,169,45,113,258,286,497,832,218,235,406,,57697,65560,75023,75631,76696,86517,84719,81891,84469,100580
940410,Mattress supports for bed frames (excluding spring interiors for seats),0,0,0,0,0,0,0,0,0,0,,39,36,69,86,39,18,5,0,7,423,,1108,2857,1596,3627,6824,6755,7058,9428,9843,16717
940540,"Electric lamps and lighting fittings, n.e.s.",1,4,0,154,0,0,0,0,0,0,,7594,7026,4273,7126,4965,5389,14806,2842,5053,4866,,143031,188948,264254,208521,184176,120652,102435,110498,112756,141214
940591,"Parts of lamps and lighting fittings, illuminated signs and nameplates and the like, of glass, ...",0,0,0,0,0,0,0,0,0,0,,81,0,100,44,9,5,0,0,0,2,,9726,7134,10086,12391,10971,9743,5626,3477,2794,2457
940600,"Prefabricated buildings, whether or not complete or already assembled",0,0,0,0,0,0,0,0,0,0,,90561,43733,45741,33138,18533,32026,17637,11659,6306,6708,,28438,90003,24517,40194,164358,242,0,0,0,0
950420,Billiards of all kinds and accessories,0,0,0,0,0,0,0,0,0,0,,856,0,0,35,1,16,54,0,0,0,,3186,3393,4855,7274,13050,15506,17290,14710,15050,16383
950631,"Golf clubs, complete",1,0,0,0,0,1,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,,244823,239436,229911,213181,219039,238474,289107,295382,341786,467454
960910,"Pencils and crayons, with leads encased in a rigid sheath",0,0,0,0,0,0,0,0,0,0,,0,146,33,107,249,80,51,0,0,0,,11891,11335,13516,19998,16153,16276,15337,17186,15016,18982
961220,"Ink-pads, whether or not inked, with or without boxes",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,4,0,0,0,0,0,,607,625,382,423,640,744,614,730,894,1059
961610,"Scent sprays and similar toilet sprays, and mounts and heads therefor",0,0,0,0,0,0,0,0,0,0,,67,0,0,108,165,198,287,0,40,1,,27102,26239,21072,20883,22089,21597,22243,25421,47768,27681
961620,Powder puffs and pads for the application of cosmetics or toilet preparations,0,0,0,0,0,0,0,0,0,0,,58,29,0,3,13,33,118,0,0,0,,3817,3040,3154,4292,10582,12452,18392,17973,10248,10759
961900,"Sanitary towels (pads) and tampons, napkins and napkin liners for babies, and similar articles, ...",0,0,0,0,0,0,0,0,0,0,,188021,298916,267262,236477,205293,195981,254762,243531,239992,254740,,137755,133615,139995,156098,187954,197107,237372,226214,197301,204471
970400,"Postage or revenue stamps, stamp-postmarks, first-day covers, postal stationery, stamped paper ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,24,159,24,17,39,24,24,44,83,89
970500,"Collections and collector's pieces of zoological, botanical, mineralogical, anatomical, historical, ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,15,0,55785,0,0,0,1,,1072,3445,9563,9256,7848,1739,6617,3599,2530,2314
852352,"Cards incorporating one or more electronic integrated circuits """"smart cards""""""""",2,0,0,0,0,0,0,2,0,0,,320,1171,628,27,134,57,109,89,68,0,,73120,104684,148613,101417,107569,104306,96586,78839,80002,59133
852871,"Reception apparatus for television, whether or not incorporating radio-broadcast receivers ...",231,1,0,0,0,0,0,0,0,0,,57,2614,339,1433,810,246,10126,0,0,0,,148666,168372,157870,132456,107485,115918,129651,163845,191907,214218
853180,Electric sound or visual signalling apparatus (excluding indicator panels with liquid crystal ...,0,0,0,0,0,0,0,0,191,0,,2461,1458,34,640,613,390,1217,18,0,0,,153212,45206,60675,73903,71453,53200,68543,75176,59267,83769
853610,Fuses for a voltage <= 1.000 V,0,0,0,0,0,0,0,0,0,0,,0,182,81,10,23,9,50,765,268,0,,108952,88430,88620,82030,93611,99840,104027,106381,107389,132382
853641,Relays for a voltage <= 60 V,0,0,0,0,0,0,0,0,0,0,,0,0,116,6,0,39,39,0,0,5,,134621,127977,127342,124356,131313,159984,170602,158607,151968,207007
853910,Sealed beam lamp units,0,0,0,0,0,0,0,0,0,0,,210,79,228,46,159,611,238,306,475,435,,697,698,3005,842,981,601,674,593,392,513
853939,"Discharge lamps (excluding flourescent, hot cathode lamps, mercury or sodium vapour lamps, ...",0,0,0,0,0,0,0,0,0,0,,523,400,341,799,186,158,124,17,0,9,,50473,18818,9756,8827,9627,12799,10490,9312,5097,5334
854071,Magnetrons,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,0,0,0,,5796,5927,4183,6233,5784,8381,6459,6144,6400,7730
854150,"Semiconductor devices, n.e.s.",0,0,0,0,0,0,0,0,0,0,,127,0,0,17,131,151,23,0,0,0,,141035,167248,245126,255473,291487,300609,325047,399112,395217,418026
854190,"Parts of diodes, transistors and similar semiconductor devices; photosensitive semiconductor ...",0,0,0,0,0,0,0,0,0,0,,107,0,0,8,234,378,440,6,824,0,,72407,63193,63047,69574,62896,92696,95374,110656,177382,210825
860290,Rail locomotives (excluding those powered from an external source of electricity or by accumulators ...,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,347,63,1320,0,0,0,,0,0,0,0,0,0,0,0,0,348
860500,"Railway or tramway passenger coaches, luggage vans, post office coaches and other special purpose ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,19,0,0,0,0,,41,0,0,0,0,0,216,16,773,1450
860791,"Parts of railway or tramway locomotives, n.e.s.",0,0,0,0,0,0,0,0,0,0,,0,0,0,60,695,130,29,0,4,0,,14499,19799,13065,9143,11398,9343,13252,16220,25612,23363
860800,"Railway or tramway track fixtures and fittings (excluding sleepers of wood, concrete or steel, ...",0,0,0,0,0,0,0,0,0,0,,61,0,0,30,27,356,0,0,0,1,,17574,7629,4895,2950,2187,3288,4613,2986,11943,13259
870210,"Motor vehicles for the transport of >= 10 persons, incl. driver, with compression-ignition ...""",0,0,0,0,0,0,0,0,0,0,,971,2533,1651,526,1302,2030,8311,11,0,0,,4338,11759,21945,5718,14742,49138,48095,73525,47701,23253
870220,"Motor vehicles for the transport of >= 10 persons, incl. driver, with both diesel engine and ...",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,90
870421,"Motor vehicles for the transport of goods, with only compression-ignition internal combustion ...""",202,0,78,0,0,0,0,0,0,0,,109877,136672,202048,225318,31242,49460,59478,615,38,612,,14423,11246,5274,5687,6467,10624,24718,76101,41736,52654
870540,Concrete-mixer lorries,0,0,0,0,0,0,0,0,0,0,,2874,1534,5086,3352,1688,2231,3397,0,0,0,,280,1499,1371,0,58,4,0,0,13,0
870810,"Bumpers and parts thereof for tractors, motor vehicles for the transport of ten or more persons, ...",1,0,0,0,0,0,0,0,0,0,,1712,1061,1623,1312,1359,711,5485,322,251,133,,52492,73008,83514,91544,92243,95210,134103,123434,114490,134397
870829,"Parts and accessories of bodies for tractors, motor vehicles for the transport of ten or more ...""",0,0,2,1,0,0,0,4,1,0,,405,525,1287,1575,1826,2194,1963,10,32,163,,221603,282847,344502,376873,435182,495788,490720,460853,462207,512110
870919,"Works trucks, self-propelled, not fitted with lifting or handling equipment, of the type used ...",0,0,0,0,0,0,0,0,0,0,,364,530,136,82,179,3162,219,0,0,0,,33449,61038,81519,20419,24916,15068,16637,48868,20764,19356
871496,"Pedals and crank-gear, and parts thereof, for bicycles, n.e.s.",0,0,0,0,0,0,0,0,0,0,,0,0,0,4,39,5,0,0,0,0,,2531,2417,3567,5023,4704,3737,3277,3310,3920,5107
880230,Aeroplanes and other powered aircraft of an unladen weight > 2.000 kg but <= 15.000 kg (excl. ...,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,87,0,0,0,,3663,2350,529,6663,71113,19397,11709,1384844,1285657,1261437
880320,"Under-carriages and parts thereof, for aircraft, n.e.s.",0,0,0,0,0,0,0,0,0,0,,705,1981,3025,0,0,0,0,0,0,186,,79603,100234,113610,110559,117743,183561,140635,177356,136786,167172
880390,"Parts of aircraft and spacecraft, n.e.s.",0,0,0,0,0,0,0,0,0,0,,50786,5726,4817,36990,17,5,0,0,0,27,,47235,30371,27267,25415,41851,9628,9443,26100,6684,39883
880529,"Ground flying trainers and parts thereof, n.e.s. (excluding air combat simulators and parts ...",0,0,0,0,0,0,0,0,0,0,,68434,258014,313818,303545,137156,159530,183290,0,0,0,,65637,25582,4324,2241,14927,11006,47292,37939,27804,3535
890391,"Sailboats and yachts, with or without auxiliary motor, for pleasure or sports",0,0,0,0,0,0,0,0,0,0,,138,0,0,8,0,33,5,0,0,0,,5797,1291,3362,5115,2098,4006,3435,1555,2541,2659
890400,Tugs and pusher craft,0,0,0,0,0,0,0,0,109,0,,376753,1105537,1748575,2029308,1804976,1192646,1102154,94198,82397,118971,,5300,17177,6232,22554,11522,39101,7338,4300,1545,30287
890520,Floating or submersible drilling or production platforms,0,0,0,0,0,0,0,0,0,0,,580082,155582,5218,90875,120531,86828,92945,0,0,0,,0,135,5936,0,218,9,1,0,1,129
890710,Inflatable rafts,0,0,0,0,0,0,0,0,0,0,,0,0,38,24,36,241,655,0,5,0,,6535,7192,5946,7026,6117,5292,3870,9295,9235,5419
890800,Vessels and other floating structures for breaking up,0,0,0,0,0,0,0,0,0,0,,0,0,0,3573,0,0,0,0,0,0,,217,4112,1426,11,764,77,3106,712,1289,4545
900140,Spectacle lenses of glass,0,0,0,0,0,0,0,0,0,0,,0,78,43,23,2,54,0,0,0,3,,473,608,929,588,556,552,689,788,831,729
900390,"Parts of frames and mountings for spectacles, goggles or the like, n.e.s.",0,0,0,0,0,0,0,0,0,0,,41,0,0,6,34,19,86,0,0,0,,11951,9462,9983,11699,13980,11450,12875,14012,8665,10641
900590,"Parts and accessories, incl. mountings, for binoculars, monoculars, astronomical and other ...",0,0,0,0,0,0,0,0,0,0,,105,0,0,8,40,11,8080,172,285,0,,1786,2674,2217,1636,1581,1188,1617,2053,2066,1885
900610,Cameras of a kind used for preparing printing plates or cylinders,0,0,0,0,0,0,0,0,0,0,,0,675,55,251,9,5,0,0,0,0,,70,58,258,81,104,0,0,0,0,0
900661,Electronic discharge lamp flashlight apparatus for photographic purposes,0,0,0,0,0,0,0,0,0,0,,30,0,47,8,5,0,0,0,0,0,,8142,2987,2245,2152,2712,2622,3035,3663,2487,3529
901390,"Parts and accessories for liquid crystal devices """"LCD"""", lasers and other appliances and ...""",0,0,0,0,3,0,0,0,0,0,,0,833,0,25,4,741,15,18,0,0,,293031,342123,309325,274535,284914,308266,304753,205795,186662,213207
901490,"Parts and accessories for compasses and other navigational instruments and appliances, n.e.s.",0,0,0,0,0,0,0,0,0,0,,0,45,0,48,185,142,708,0,0,0,,25323,34573,40037,43481,53661,28397,39820,28953,30644,36553
901720,"Drawing, marking-out and mathematical calculating instruments (excluding drafting tables and ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,20,45,30,64,0,0,1,,4998,6272,6626,6264,6460,6658,6601,6544,6875,7265
901780,"Instruments for measuring length, for use in the hand, n.e.s.",0,0,4,0,0,0,0,0,2,0,,0,0,0,214,478,72,65,0,0,0,,16218,14803,20816,15865,19065,20833,20565,17531,17350,22878
901790,"Parts and accessories for drawing, marking-out or mathematical calculating instruments and ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,211,8,134,25,0,0,0,,2369,2042,1619,1387,1943,2538,2181,1861,1788,2225
950430,"Games with screens, flipper and other games, operated by coins, banknotes, bank cards, tokens ...",0,0,0,0,0,0,0,0,0,0,,420,111,172,11,601,34,19,0,0,0,,4653,19212,10380,10552,9835,23158,10351,13332,11891,5924
950611,"Skis, for winter sports",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,5260,4892,5874,4561,4424,5057,6031,4916,4892,3621
950670,"Ice skates and roller skates, incl. skating boots with skates or rollers attached",0,0,0,0,0,0,0,0,0,0,,0,78,0,0,9,0,29,0,0,0,,6089,7668,15098,12049,12208,20587,10025,8159,6546,8704
950710,Fishing rods,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,10432,11587,15891,18476,23719,29751,41419,38439,38997,52059
960330,"Artists' brushes, writing brushes and similar brushes for the application of cosmetics",0,0,0,1,0,0,0,0,0,0,,0,0,0,2,41,19,13,0,0,0,,9083,9118,9663,9623,12247,14674,15805,14527,14245,14518
960350,"Brushes constituting parts of machines, appliances or vehicles",0,0,0,0,0,0,0,0,0,0,,0,0,0,38,105,3,126,0,0,0,,8235,9566,11439,12052,11402,14594,19633,19775,21115,20485
960621,"Buttons of plastics, not covered with textile material (excluding press-fasteners, snap-fasteners, ...",0,0,0,0,0,0,0,0,0,0,,29,0,0,2,0,1,0,0,0,0,,2336,2852,2992,2406,2425,2502,3266,1966,2172,2366
960990,"Pencils, pastels, drawing charcoals, writing or drawing chalks and tailors' chalks",0,0,0,0,0,0,0,0,0,0,,599,312,168,520,33,117,75,0,0,0,,4471,5095,4689,5120,4517,4939,4526,4413,4634,5289
961390,"Parts of lighters, n.e.s.",0,0,0,0,0,0,0,0,0,0,,0,0,0,1,95,0,5,0,0,0,,2458,1723,2048,1974,1414,1490,3042,2104,2788,3004
970600,Antiques of > 100 years old,0,0,0,0,0,0,0,0,0,0,,10594,263,7354,0,43687,27,0,27256,1484,112,,17242,10889,8646,12332,16364,11080,38339,14552,8241,38939
902229,"Apparatus based on the use of alpha, beta, gamma or other ionising radiation (other than for ...",0,0,0,0,0,0,0,0,0,0,,84,0,457,1751,521,66,858,0,0,0,,15302,13854,12514,9304,10413,8015,8548,7781,8929,5034
902410,Machines and appliances for testing metals,0,0,0,0,0,0,0,0,0,0,,0,0,110,165,95,141,188,0,0,0,,33436,50246,35681,41527,35467,42893,37611,31540,36615,30556
902810,"Gas meters, incl. calibrating meters therefor",0,0,0,0,0,19,0,4,0,0,,0,0,0,5,5,25,0,0,0,0,,15526,15844,17203,10542,13207,13323,10205,9162,9841,9658
902920,"Speed indicators and tachometers, stroboscopes",0,0,1,0,0,0,0,0,2,0,,274,0,216,14,34,22,97,0,0,0,,15096,26914,61391,59642,64419,79424,67458,73837,79812,98075
902990,"Parts and accessories for revolution counters, production counters, taximeters, milometers, ...",2,0,0,0,0,0,0,0,0,0,,0,0,101,0,36,211,5,0,0,0,,28719,25389,29392,23594,24401,17105,16383,5977,5240,5253
910119,"Wrist-watches of precious metal or of metal clad with precious metal, whether or not incorporating ...",0,0,0,0,0,0,0,0,0,0,,5272,0,678,44,425,1338,0,0,0,0,,3761,4530,3358,3164,1452,2124,3270,3535,5482,5913
910400,"Instrument panel clocks and clocks of a similar type for vehicles, aircraft, vessels and other ...",0,0,0,0,0,0,0,0,0,0,,59,0,0,0,1,102,5,0,0,0,,1791,1423,1144,1639,950,838,1636,1474,1352,1255
910529,Wall clocks (excluding electrically operated),0,0,0,0,0,0,0,0,0,0,,32,0,0,33,243,106,228,0,0,0,,3275,4431,4784,5264,4059,3158,2486,2669,3014,3762
910811,"Watch movements, complete and assembled, electrically operated, with mechanical display only ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,112,20,0,0,0,0,,2458,2490,1814,1667,1612,1531,1547,1792,1320,1408
911019,Rough clock movements,0,0,0,0,0,0,0,0,0,0,,0,0,0,81,0,0,0,0,0,0,,0,0,0,0,0,28,45,70,90,56
911090,"Complete, unassembled or partly assembled clock movements """"movement sets""""; incomplete clock ...""",0,0,0,0,0,0,0,0,0,0,,0,0,0,17,0,1,39,0,0,0,,125,151,118,87,55,105,66,37,56,112
911110,"Cases for wrist-watches, pocket-watches and other watches of heading 9101 or 9102, of precious ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,39,14,5,19,58,53,55,67,37,123
911190,"Parts of cases for wrist-watches, pocket-watches and other watches of heading 9101 or 9102, ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,10,0,0,0,0,0,,386,149,182,250,371,579,941,1806,1637,1980
920790,"Accordions and musical instruments without keyboards, the sound of which is produced, or must ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,8,10,53,11,0,0,0,,21658,17854,12644,11855,12358,11865,13219,14349,17008,20205
920890,"Fairground organs, mechanical street organs, mechanical singing birds, musical saws and other ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,6,0,0,0,0,0,,1074,1210,1409,1152,1326,1232,1312,1416,2194,3195
930120,Rocket launchers; flame-throwers; grenade launchers; torpedo tubes and similar projectors,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,22094,75,19927,9622,59463,17899,4757,35865,22499,12197
930330,"Sporting, hunting and target-shooting shotguns with one or more rifled bores (other than spring, ...",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,123,164,325,199,168,314,184,497,262,97
930599,"Parts and accessories for weapons and the like of heading 9303 or 9304, n.e.s. (excluding of ...",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,432,3387,3881,7015,43972,11142,2376,901,1191,7940
930621,Cartridges for smooth-barrelled shotguns,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,4783,6779,30059,14525,59578,2766,162397,5359,14913,13708
940130,"Swivel seats with variable height adjustments (excluding medical, surgical, dental or veterinary, ...",0,0,0,0,0,0,0,0,0,0,,0,38,0,88,63,139,151,0,0,5,,7779,6999,8038,11646,11716,18546,22809,23196,29008,49635
940159,"Seats of cane, osier or similar materials (excluding of bamboo or rattan)",0,0,0,0,0,0,0,0,0,0,,0,84,0,136,1,35,15,0,0,6,,4625,4150,3221,3160,2329,1992,1552,1774,1680,1974
940290,"Operating tables, examination tables, and other medical, dental, surgical or veterinary furniture ...",0,0,0,0,0,0,0,0,0,0,,637,477,993,771,402,285,708,12,136,20,,13371,15435,13255,14196,17778,19726,19501,27273,29134,23138
940370,"Furniture of plastics (excluding medical, dental, surgical or veterinary, and seats)",0,0,0,0,0,0,0,0,0,0,,100,92,128,161,1835,3477,5513,76,77,54,,11075,11643,14526,18137,19390,19438,18771,18366,21992,28067
940382,"Furniture of bamboo (excl. seats and medical, surgical, dental or veterinary furniture)",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,3264,3846,3680,6812,8316
940490,"Articles of bedding and similar furnishing, fitted with springs or stuffed or internally filled ...""",0,0,0,0,0,0,0,0,0,0,,7329,3998,2261,3370,2429,3002,2370,378,908,807,,149646,163970,175399,213113,252605,264915,290921,288380,303727,343355
940610,"Prefabricated buildings of wood, whether or not complete or already assembled",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,3502,,0,0,0,0,0,5656,4789,4365,2434,3924
901320,Lasers (excluding laser diodes),0,0,219,0,0,0,0,0,0,0,,113,60,606,402,116,190,737,0,5,0,,336261,375534,384377,355399,451679,651105,620819,540903,603597,608517
901480,"Navigational instruments and apparatus (excluding for aeronautical or space navigation, compasses ...",0,0,0,0,0,0,0,0,0,0,,0,200,41,1104,218,75,829,0,0,0,,107864,104484,146669,157075,186283,74350,85451,78453,86380,83014
901530,Levels,0,0,0,0,0,0,0,0,0,0,,142,0,755,373,48,16,68,0,0,0,,11742,12022,14294,15647,16471,17552,17822,13552,14654,17973
901710,"Drafting tables and machines, whether or not automatic (excluding units for automatic data-processing ...",0,0,0,0,0,0,0,0,0,0,,200,0,0,50,190,26,91,0,0,0,,432,128,544,775,1475,1216,821,455,979,1581
901839,"Needles, catheters, cannulae and the like, used in medical, surgical, dental or veterinary ...",0,0,0,0,0,0,70,0,18,0,,2066,2217,3421,3883,3066,2357,3134,5160,193,668,,255787,267389,307721,323301,365492,415975,450927,482649,524506,567030
902212,Computer tomography apparatus,0,0,0,0,0,0,0,0,0,0,,697,66,371,1370,393,327,714,0,0,0,,64674,64123,53053,59856,76343,67599,80415,115165,88959,89025
852729,"Radio-broadcast receivers not capable of operating without an external source of power, of ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,13,2,21,57,0,0,0,,1553,2758,1950,1907,10441,16062,14200,10902,6686,4301
852799,"Radio-broadcast receivers, for mains operation only, not combined with sound recording or reproducing ...",0,0,0,0,0,0,0,0,0,0,,85,0,0,117,20,324,1665,0,0,0,,2944,3443,4463,4040,4504,4777,4155,5339,4176,6362
821599,"Spoons, forks, ladles, skimmers, cake-servers, fish-knives, butter-knives, sugar tongs and ...",0,0,0,0,0,0,0,0,0,0,,0,30,0,123,30,142,20,0,0,0,,10407,12581,14391,15616,17713,22181,24427,22128,27958,34358
830120,"Locks used for motor vehicles, of base metal",0,0,0,0,0,0,0,0,0,0,,0,0,0,1,7,3,9,0,0,0,,21440,25633,23399,33704,36681,33381,38776,30985,28313,31308
830150,"Clasps and frames with clasps, incorporating locks, of base metal",0,0,0,0,0,0,0,0,0,0,,0,0,0,144,21,6,280,0,0,0,,560,601,783,1296,1473,684,1070,1237,1573,1280
830241,Base metal mountings and fittings suitable for buildings (excluding locks with keys and hinges),0,0,0,0,0,0,0,0,0,0,,981,769,546,620,458,193,427,13,16,6,,22298,21519,29571,35975,33353,41663,43698,44921,44372,61130
851822,"Multiple loudspeakers, mounted in the same enclosure",0,0,0,0,0,0,0,0,0,0,,48,242,0,71,245,109,327,0,0,0,,56080,51495,65355,68461,75145,142430,109666,98760,95363,125309
852190,"Video recording or reproducing apparatus, whether or not incorporating a video tuner (excluding ...",3,1,1,1,0,1,1,0,0,0,,375,113,230,185,5820,268,132,0,0,0,,48660,38376,48333,59340,51460,49276,45550,43815,45968,53195
852560,"Transmission apparatus for radio-broadcasting or television, incorporating reception apparatus",0,0,0,0,0,0,0,0,0,0,,1170,754,1553,1758,635,765,257,0,0,0,,19759,19237,21269,29845,50042,16312,17366,10776,17688,14167
852692,Radio remote control apparatus,0,0,0,0,0,1,0,0,0,0,,541,0,230,17,0,30,85,0,0,0,,22694,25459,42976,53080,42090,53989,62964,93657,73605,75478
100710,"Grain sorghum, for sowing",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,68,0,34,53,17,28,27,10,0,0
100790,Grain sorghum (excluding for sowing),0,0,0,0,0,0,0,0,0,0,,0,0,97,12,21,0,0,0,0,0,,3502,3844,2613,2153,2073,2009,11945,2020,2853,3155
100850,"Quinoa """"Chenopodium quinoa""""""""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,54,0,0,0,0,0,,0,26,1924,1515,528,327,606,373,593,983
110220,"Maize """"corn"""" flour""""",0,0,0,0,0,0,0,0,0,0,,131,138,0,246,269,129,95,180,213,147,,3527,2509,2802,3102,3515,5438,6675,6772,8608,8602
110610,"Flour, meal and powder of peas, beans, lentils and the other dried leguminous vegetables of ...",0,0,0,0,0,0,0,0,0,0,,844,1371,695,844,263,448,379,514,794,951,,185,306,272,259,304,269,358,439,413,490
110811,Wheat starch,0,0,0,0,0,0,0,0,0,0,,0,0,0,41,7,39,0,0,5,1,,83,208,465,1354,4694,6423,8982,8673,7216,7766
120590,"High erucic rape or colza seeds """"yielding a fixed oil which has an erucic acid content of ...""",0,0,0,0,0,0,0,0,0,0,,0,0,0,76,37,31,3,0,0,0,,49,37,124,473,486,79,99,135,103,116
120721,Cotton seeds for sowing,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,1,2,1,0,0,0
120799,"Oil seeds and oleaginous fruits, whether or not broken (excluding edible nuts, olives, soya ...",0,0,0,0,0,0,0,0,0,0,,0,42,0,0,20,2,0,0,0,0,,39985,53760,53862,50717,84522,52268,39224,47950,57523,63636
120929,"Seeds of forage plants for sowing (excluding of cereals and of sugar beet, alfalfa, clover ...""",0,0,0,0,0,0,0,0,0,0,,0,0,0,17,1,73,22,9,87,124,,107527,39333,98697,38833,45431,59879,67958,40955,34238,71608
120930,"Seeds of herbaceous plants cultivated mainly for flowers, for sowing",0,0,0,0,0,0,0,0,0,0,,91,113,0,11,0,0,0,0,0,0,,7115,6025,5367,5856,5937,6379,6018,5704,6494,7175
121010,"Hop cones, fresh or dried (excluding ground, powdered or in the form of pellets)",0,0,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,0,0,0,,0,0,0,1,11,5,3,7,0,0
130232,"Mucilages and thickeners, derived from locust beans, locust bean seeds or guar seeds, whether ...",0,0,0,0,0,0,0,0,0,0,,47,509,0,56,967,1650,999,0,0,0,,11707,9229,6893,5683,5161,5287,9099,9633,12602,13069
