Product code,Product label,United States of America's imports from Russian Federation-Value in 2012,United States of America's imports from Russian Federation-Value in 2013,United States of America's imports from Russian Federation-Value in 2014,United States of America's imports from Russian Federation-Value in 2015,United States of America's imports from Russian Federation-Value in 2016,United States of America's imports from Russian Federation-Value in 2017,United States of America's imports from Russian Federation-Value in 2018,United States of America's imports from Russian Federation-Value in 2019,United States of America's imports from Russian Federation-Value in 2020,United States of America's imports from Russian Federation-Value in 2021,Russian Federation's exports to world- ,Russian Federation's exports to world-Value in 2012,Russian Federation's exports to world-Value in 2013,Russian Federation's exports to world-Value in 2014,Russian Federation's exports to world-Value in 2015,Russian Federation's exports to world-Value in 2016,Russian Federation's exports to world-Value in 2017,Russian Federation's exports to world-Value in 2018,Russian Federation's exports to world-Value in 2019,Russian Federation's exports to world-Value in 2020,Russian Federation's exports to world-Value in 2021,United States of America's imports from world- ,United States of America's imports from world-Value in 2012,United States of America's imports from world-Value in 2013,United States of America's imports from world-Value in 2014,United States of America's imports from world-Value in 2015,United States of America's imports from world-Value in 2016,United States of America's imports from world-Value in 2017,United States of America's imports from world-Value in 2018,United States of America's imports from world-Value in 2019,United States of America's imports from world-Value in 2020,United States of America's imports from world-Value in 2021
843410,Milking machines,0,0,0,0,0,0,0,0,0,0,,1242,450,590,1026,274,1997,1803,2633,2681,1739,,15332,11299,18769,10245,12966,13201,12262,15565,12922,9405
843420,"Dairy machinery (excluding refrigerating or heat treatment equipment, cream separators, clarifying ...",11,8,13,6,0,0,0,0,0,0,,3481,3507,2302,3462,1835,14721,5660,6978,6494,6629,,12263,35077,16182,21619,24070,26352,25398,18886,29976,17858
843621,Poultry incubators and brooders,0,0,0,0,0,0,0,0,0,0,,598,944,549,492,444,572,407,665,647,1787,,4335,3810,7170,11446,8268,9023,9316,18647,10812,15053
844090,"Parts of bookbinding machinery, n.e.s.",0,0,0,0,0,0,0,0,0,0,,5,15,15,8,9,10,7,14,10,31,,33892,36550,35299,32899,33607,36327,43062,66890,51585,54771
844180,"Machinery for making up paper pulp, paper or paperboard, n.e.s.",0,0,0,0,0,0,93,0,0,0,,93,247,1647,864,949,683,661,789,247,1374,,158252,104202,142981,158925,203776,188593,261015,272055,213461,304562
844230,"Machinery, apparatus and equipment for preparing or making printing blocks, plates, cylinders ...",0,9,0,0,0,0,0,0,0,0,,497,81,416,123,325,445,818,406,204,237,,63607,52362,57025,54545,52690,41896,44584,40392,28923,34127
844315,Letterpress printing machinery (excluding flexographic printing and reel fed machinery),0,0,0,0,0,0,0,0,0,0,,138,567,161,0,262,0,65,18,13,0,,1511,1773,1383,1150,2312,843,1563,2356,2061,1872
844319,"Printing machinery used for printing by means of plates, cylinders and other printing components ...",0,0,0,0,0,0,0,60,0,0,,607,548,893,1084,574,1560,1050,1743,498,1108,,199129,208265,239354,243708,293176,301614,275407,289084,215872,261430
844331,"Machines which perform two or more of the functions of printing, copying or facsimile transmission, ...",0,0,0,0,7,0,0,0,0,0,,2708,8407,5232,3125,2490,4288,5545,11840,15217,21060,,4879185,4781578,4773948,4961981,4567098,4560375,4537779,4055266,2768940,2837182
844511,Carding machines for preparing textile fibres,0,0,0,0,0,0,0,0,0,0,,725,211,268,25,443,38,98,96,160,67,,4006,12990,23806,27956,5382,9837,10858,9515,12316,14719
844540,"Textile winding, incl. weft-winding, or reeling machines",0,0,0,0,0,0,0,0,0,0,,671,540,7,45,37,20,182,156,104,19,,16912,25990,33388,44345,24237,20208,38197,39300,19430,17991
844629,"Hand looms for weaving fabrics of a width > 30 cm, shuttle type",0,0,0,0,0,0,0,0,0,0,,35,0,0,0,0,1,0,365,90,0,,1092,1865,970,1135,1935,1482,1359,1994,1337,3179
844720,Flat knitting machines; stitch-bonding machines,0,0,0,0,0,0,0,0,0,0,,484,412,996,135,258,257,272,136,293,186,,15853,16186,15094,15160,15871,19459,28468,21463,12348,19613
844831,Card clothing for machines for preparing textile fibres,0,0,0,0,0,0,0,0,0,0,,641,410,330,278,183,139,180,206,201,151,,5085,4849,7126,5407,7814,7585,8029,6681,6483,8406
845129,"Drying machines for textile yarns, fabrics or made-up textile articles (excluding machines ...",0,0,0,0,0,0,0,0,0,0,,538,438,575,315,436,508,564,625,505,567,,789159,971501,970095,1065037,1062263,1115312,1007108,1063540,1307534,1633549
845140,"Machines for washing, bleaching or dyeing textile yarns, fabrics or made-up textile articles ...",0,0,0,0,0,0,0,0,0,0,,733,871,42,644,2,2,10,35,12,107,,9661,14385,15684,13909,11330,24083,15482,15951,13145,17979
620422,"Women's or girls' ensembles of cotton (excluding knitted or crocheted, ski overalls and swimwear)",0,0,0,0,0,0,0,0,0,0,,13,32,27,36,26,41,46,52,46,40,,10734,11035,8398,7055,8948,10450,10999,10100,5437,9241
611710,"Shawls, scarves, mufflers, mantillas, veils and the like, knitted or crocheted",1,1,1,2,0,3,2,3,0,0,,516,1763,1186,1195,987,1271,1505,1576,1436,1205,,206959,212227,261629,254194,190521,160813,156180,151121,117422,118443
611239,"Men's or boys' swimwear of textile materials, knitted or crocheted (excluding synthetic fibres)",0,0,0,0,0,0,0,0,0,0,,0,4,4,22,4,4,2,5,3,8,,301,182,245,249,301,467,376,554,381,876
611090,"Jerseys, pullovers, cardigans, waistcoats and similar articles, of textile materials, knitted ...",6,0,2,0,0,0,0,0,0,0,,330,1278,1967,876,1623,848,490,494,593,789,,421743,389011,414788,370709,326441,285239,257899,231792,174618,152743
610721,"Men's or boys' nightshirts and pyjamas of cotton, knitted or crocheted (excluding vests and ...",0,0,0,0,0,0,0,0,0,0,,17,68,165,128,264,656,599,599,586,981,,81595,84765,108809,117125,116742,131189,140641,145214,155809,254718
610459,"Women's or girls' skirts and divided skirts of textile materials, knitted or crocheted (excluding ...",0,2,2,0,2,0,0,1,0,0,,78,165,176,194,236,347,328,372,378,327,,90670,101069,154141,147837,110633,75148,74539,56378,29657,36521
580131,"Uncut weft pile fabrics, of man-made fibres (excluding terry towelling and similar woven terry ...",0,0,0,0,0,0,0,0,0,0,,25,32,3,0,0,2,9,3,5,14,,1818,1790,1105,1887,1485,2273,3113,2633,2443,3023
580136,"Chenille fabrics, of man-made fibres (excluding terry towelling and similar woven terry fabrics, ...",0,0,0,0,3,0,0,0,0,0,,1902,1817,1196,636,366,366,411,393,351,516,,104103,108991,110224,113896,100306,102022,105820,115720,129296,161317
580890,"Ornamental trimmings of textile materials, in the piece, not embroidered, other than knitted ...",0,0,0,0,0,1,1,0,0,0,,635,721,404,413,675,741,712,778,750,852,,27243,29310,30781,35564,31838,29563,32559,27381,21651,25094
482020,Exercise books of paper or paperboard,0,0,0,0,0,0,0,0,0,0,,7383,7320,10974,8608,9799,12877,11783,13391,10871,12257,,7125,9638,8531,9079,10273,13908,9476,7141,10183,11976
482050,"Albums for samples or collections, of paper or paperboard",0,2,0,0,0,0,0,0,0,0,,160,70,127,83,102,191,115,135,128,162,,44823,34644,22323,21306,14548,13990,14399,13451,10840,11074
482361,"Trays, dishes, plates, cups and the like, of bamboo paper or bamboo paperboard",0,0,0,0,6,0,0,0,0,0,,10,18,29,30,45,85,228,479,487,420,,14735,10010,5689,4164,4029,4167,5745,6053,12320,15682
590691,"Knitted or crocheted textile fabrics, rubberised, n.e.s.",0,0,0,0,0,0,0,0,0,0,,25,28,57,12,5,37,62,22,54,328,,14462,13748,14118,15601,13407,13557,13408,11883,8250,11777
590800,"Textile wicks, woven, plaited or knitted, for lamps, stoves, lighters, candles or the like; ...",0,0,0,0,0,0,0,0,0,0,,6,18,7,4,2,3,13,14,21,23,,7437,6691,8033,8167,6070,5004,4594,7310,7555,12267
590900,"Textile hosepiping and similar textile tubing, whether or not impregnated or coated, with or ...",0,0,0,0,0,0,0,0,0,0,,3283,2879,3561,2260,1695,2323,4449,3934,2396,4434,,38250,48261,55520,44810,46915,56147,62284,45735,39534,52182
600532,"Dyed warp knit fabrics of synthetic fibres """"incl. those made on galloon knitting machines"""", ...""",0,0,0,0,0,0,0,0,0,0,,336,548,806,182,126,0,0,0,0,0,,99754,113503,111610,113862,109842,0,0,0,0,0
600542,"Dyed warp knit fabrics of artificial fibres """"incl. those made on galloon knitting machines"""", ...""",0,0,0,0,0,0,0,0,0,0,,0,11,0,0,3,1,0,16,1,8,,2072,2046,2328,1639,1681,2995,1663,839,926,1230
600590,"Warp knit fabrics """"incl. those made on galloon knitting machines"""", of a width of > 30 cm ...""",0,0,0,0,0,0,0,0,0,0,,4,3,0,1,16,145,31,163,207,25,,63183,48838,91041,91065,112651,100430,114288,111375,123784,131645
600641,"Unbleached or bleached fabrics, knitted or crocheted, of artificial fibres, of a width of ...""",0,0,0,0,0,0,0,0,0,0,,0,0,14,8,28,28,19,69,28,21,,3886,4264,3261,4297,3337,3159,2198,2353,2763,3558
610290,"Women's or girls' overcoats, car coats, capes, cloaks, anoraks, incl. ski jackets, windcheaters, ...",0,0,0,0,0,0,0,0,0,0,,34,4,17,24,21,34,42,22,29,84,,4916,3499,7470,7101,9315,5600,4728,4499,3407,4574
420321,"Specially designed gloves for use in sport, of leather or composition leather",0,0,0,0,0,0,0,2,0,0,,37,62,103,76,74,101,143,168,182,464,,236128,238168,220086,248069,200499,209801,215597,235033,180917,234479
430220,"Heads, tails, paws and other pieces or cuttings of tanned or dressed furskins, not assembled",1,0,0,0,0,0,0,0,0,0,,349,5251,186,199,198,450,181,210,158,246,,695,1166,874,1399,1023,1310,1542,1977,1303,1807
440122,Wood in chips or particles (excluding those of a kind used principally for dying or tanning ...,0,0,3,0,0,0,0,0,0,0,,18045,21691,17808,14287,12974,17563,19382,27747,33689,38615,,4101,5140,5162,4163,5721,14069,12471,13714,8892,13986
440320,"Coniferous wood in the rough, whether or not stripped of bark or sapwood, or roughly squared ...",0,0,0,0,0,0,0,0,0,0,,1190038,1184659,1288485,912795,953359,892,0,0,0,0,,61661,60521,60333,62519,57692,58475,48395,0,0,0
440341,"Dark red meranti, light red meranti and meranti bakau wood in the rough, whether or not stripped ...",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,25,0,0,0,0,0,0,96,0,0
480810,"Corrugated paper and paperboard """"with or without glued flat surface sheets"""", whether or ...""",0,6,0,0,0,0,0,0,0,0,,10306,20885,22616,14450,16572,24830,27781,26354,22592,28641,,16243,27358,32010,36672,31022,35076,38872,37132,27544,38077
481022,"Lightweight coated paper used for writing, printing or other graphic purposes, total weight ...",0,0,0,0,0,0,0,0,0,0,,133,164,657,1488,1963,2881,2851,2657,1918,2736,,551218,555077,454770,498974,487441,440719,615043,585562,359905,357252
481141,"Self-adhesive paper and paperboard, surface-coloured, surface-decorated or printed, in rolls ...",0,0,0,0,0,0,0,0,0,0,,1187,3505,4715,6706,7417,8250,6950,6297,9916,10446,,248462,246908,239947,232373,265382,252666,227044,240120,253518,257435
481720,"Letter cards, plain postcards and correspondence cards, of paper or paperboard (excluding those ...",14,8,13,6,0,0,57,0,10,0,,4,10,0,0,0,2,1,8,16,25,,24929,18120,28065,21392,18575,18842,17752,16012,12575,14830
560391,"Nonwovens, whether or not impregnated, coated, covered or laminated, n.e.s., weighing <= 25 ...",0,0,0,0,0,0,0,0,0,0,,23,28,30,100,124,300,448,481,564,1057,,24720,20557,22452,17607,22767,22559,23794,11826,23837,18645
560410,Textile-covered rubber thread and cord,0,0,0,0,0,0,0,0,0,0,,276,304,304,234,478,512,466,512,988,830,,9154,9428,9956,10017,8845,10178,9784,10390,15025,14424
560490,"Textile yarn, strip and the like of heading 5404 and 5405, impregnated, coated, covered or ...",0,0,0,0,0,0,0,0,0,0,,747,1495,1022,613,281,397,460,442,421,604,,21713,18375,20080,19109,15883,10672,12321,16420,16088,25349
560500,"Metallised yarn, whether or not gimped, being textile yarn, or strip or the like of heading ...",0,0,0,0,0,0,0,0,0,0,,28,122,64,24,10,21,56,65,52,67,,17250,15133,11499,11348,10061,9327,10110,9144,8966,14957
560790,"Twine, cordage, ropes and cables, whether or not plaited or braided and whether or not impregnated, ...",0,0,0,0,0,0,0,0,0,0,,1432,1014,1575,883,763,1306,1250,1476,1361,1541,,38463,37821,43884,47904,42109,44960,44870,42033,34479,41568
560819,"Knotted netting of twine, cordage, ropes or cables, by the piece or metre; made-up nets, of ...",0,0,0,0,0,0,0,0,0,0,,442,1266,697,797,1346,1294,2271,1873,2155,4040,,26190,33736,29854,32372,26873,38517,47111,53087,44952,42872
570239,"Carpets and other floor coverings, of vegetable textile materials or coarse animal hair, woven, ...""",0,0,0,0,0,0,0,0,0,0,,0,0,3,0,0,0,29,38,0,0,,2998,2642,3792,3207,4281,8627,13048,17079,10788,23261
570241,"Carpets and other floor coverings, of wool or fine animal hair, woven, not tufted or flocked, ...",0,0,0,0,0,0,0,0,0,0,,165,14,126,8,6,43,47,12,38,24,,51184,63538,72097,77428,75474,76432,72427,77995,71869,82572
580110,"Woven pile fabrics and chenille fabrics, of wool or fine animal hair (excluding terry towelling ...",0,0,0,0,0,0,0,0,0,0,,6,3,44,118,118,144,21,94,67,36,,14513,16466,17463,13668,12553,13016,14491,14942,10085,15352
540782,"Woven fabrics of yarn containing predominantly, but < 85% synthetic filament by weight, incl. ...",0,0,0,0,0,0,0,0,0,0,,265,1499,1784,754,447,1985,1679,1472,1517,1059,,7748,6284,6846,7022,7012,5659,7183,5858,5304,4012
550130,"Filament tow as specified in Note 1 to chapter 55, acrylic or modacrylic",0,0,0,0,0,0,0,0,0,0,,0,37,95,549,86,284,139,194,112,0,,97351,83779,106380,120012,80843,76076,79618,91438,82571,77659
550190,"Synthetic filament tow as specified in Note 1 to chapter 55 (excluding that of acrylic, modacrylic, ...",0,0,0,0,0,0,0,0,0,0,,1,1,0,3,2,2,226,0,0,0,,1034,804,671,1229,7394,8778,12529,11518,6013,8607
550210,"Artificial filament tow as specified in Note 1 to chapter 55, of acetate",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,283,31372,25395,23565,18419,15158,,0,0,0,0,0,4065,824,1233,2109,1163
550319,"Staple fibres of nylon or other polyamides, not carded, combed or otherwise processed for spinning ...",0,0,0,0,0,0,0,0,0,0,,2676,3002,3311,1490,1824,737,132,41,25,44,,35820,19484,10370,9216,10386,11949,13886,11020,5778,7255
550410,"Staple fibres of viscose rayon, not carded, combed or otherwise processed for spinning",0,0,0,0,0,0,0,0,0,0,,0,6,6,5,37,10,29,146,276,1137,,196607,174016,188067,188993,200582,200913,195406,199738,214072,242464
550690,"Synthetic staple fibres carded, combed or otherwise processed for spinning (excluding acrylic, ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,4,0,1,7,0,8,0,,273,14,30,41,11,81,21,31,28,487
550810,"Sewing thread of synthetic staple fibres, whether or not put up for retail sale",0,0,0,0,0,0,0,0,0,0,,402,371,477,296,385,512,333,521,509,613,,12438,11951,12813,12094,10524,11156,13061,10003,10361,10250
550922,"Multiple """"folded"""" or cabled yarn containing >= 85% polyester staple fibres by weight (excluding ...""",0,0,0,0,0,0,0,0,0,0,,6,0,0,9,7,11,42,1,2,4,,32756,32682,31983,36216,27681,31628,31495,30024,21083,32727
550999,"Yarn containing predominantly, but < 85% synthetic staple fibres by weight, other than that ...",0,0,0,0,0,0,0,0,0,0,,27,116,0,0,0,13,0,0,139,46,,2067,1744,4339,4965,4027,4957,4949,3957,4086,4603
551229,"Woven fabrics containing >= 85% acrylic or modacrylic staple fibres by weight, dyed, made of ...",0,0,0,0,0,0,0,0,0,0,,3,6,1,11,2,10,11,5,6,1,,18433,19957,25367,31477,30855,30366,33802,34138,27847,50162
551339,"Woven fabrics containing predominantly, but < 85% synthetic staple fibres by weight, mixed ...",0,0,0,0,0,0,0,0,0,0,,1,0,1,1,10,4,28,27,5,8,,669,294,358,288,473,491,375,232,182,121
551511,"Woven fabrics containing predominantly, but < 85% polyester staple fibres by weight, mixed ...",0,0,0,0,1,0,0,0,0,0,,9607,7181,6897,5608,4677,4247,3741,3319,3593,4827,,8075,6682,7369,7194,6527,6032,6957,6777,4142,5501
551521,"Woven fabrics containing predominantly, but < 85% acrylic or modacrylic staple fibres by weight, ...",0,0,0,0,0,0,0,0,0,0,,0,21,191,4,1,14,22,27,2,107,,4210,3698,4872,4808,4115,3631,3738,4788,4037,6620
551529,"Woven fabrics containing predominantly, but < 85% acrylic or modacrylic staple fibres by weight, ...",0,0,0,0,0,0,0,0,0,0,,133,36,145,83,12,2,60,20,18,37,,1384,1658,2067,2663,1765,2023,2412,3390,2625,6573
551591,"Woven fabrics containing predominantly, but < 85% synthetic staple fibres, mixed principally ...",0,0,0,0,0,0,0,0,0,0,,13,0,0,71,32,31,12,49,207,455,,2101,1792,2021,2348,2067,2596,2370,2295,2478,2851
551612,"Woven fabrics containing >= 85% artificial staple fibres by weight, dyed",0,0,0,0,0,0,0,0,0,0,,90,58,97,47,66,172,202,158,269,363,,9931,8702,10940,13264,9252,14918,9075,6254,4240,5367
551632,"Woven fabrics containing predominantly, but < 85% artificial staple fibres by weight, mixed ...",0,0,0,0,0,0,0,0,0,0,,0,52,65,69,56,67,16,1,23,23,,585,1086,1596,683,518,213,334,438,126,519
551633,"Woven fabrics containing predominantly, but < 85% artificial staple fibres by weight, mixed ...",0,0,0,0,0,0,0,0,0,0,,267,934,973,437,331,199,149,181,45,25,,552,494,444,484,567,501,499,506,276,355
551691,"Woven fabrics containing predominantly, but < 85% artificial staple fibres by weight, other ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,9,1,0,2,,390,934,416,427,703,866,663,713,429,705
551694,"Woven fabrics containing predominantly, but < 85% artificial staple fibres by weight, other ...",0,0,0,0,0,0,0,0,0,0,,0,0,57,51,0,1,1,1,0,0,,928,624,656,689,882,810,1187,1599,1205,1180
560129,Wadding of textile materials and articles thereof (excluding of cotton or man-made fibres; ...,0,0,0,0,0,0,0,0,0,0,,125,88,90,55,63,65,94,90,172,259,,258,531,1257,1485,986,696,1084,967,1997,2248
630710,"Floorcloths, dishcloths, dusters and similar cleaning cloths, of all types of textile materials",2,3,0,1,0,1,0,0,0,0,,2344,3149,3319,2344,3019,4445,5979,8651,13574,15549,,492119,506081,513460,565118,544377,595737,653663,637291,649778,696932
631090,"Used or new rags, scrap twine, cordage, rope and cables and worn-out articles thereof, of textile ...",0,0,0,0,0,0,0,0,0,0,,134,92,59,71,52,121,57,77,112,428,,29132,25358,29805,27681,25718,28291,31463,29808,27060,39199
640110,"Waterproof footwear incorporating a protective metal toecap, with outer soles and uppers of ...",0,0,0,0,0,0,0,0,0,0,,335,150,216,230,298,364,243,439,629,462,,25479,25886,22534,21376,19012,19696,20505,25062,16643,16899
640620,"Outer soles and heels, of rubber or plastics",0,0,0,0,0,0,0,0,0,0,,7398,6980,5790,2491,2909,3531,3081,2229,1976,2891,,87636,84563,68914,60776,50892,47012,39316,41059,27946,41511
650700,"Headbands, linings, covers, hat foundations, hat frames, peaks and chinstraps, for headgear ...",0,0,0,2,0,0,0,0,0,0,,6,34,15,21,16,29,54,55,68,49,,60627,53508,61531,64680,51515,50703,53763,51686,54056,68843
660320,"Umbrella frames, incl. frames mounted on shafts """"sticks"""", for umbrellas and sun umbrellas ...""",0,0,0,0,0,0,0,0,0,0,,0,1,0,0,0,2,7,0,2,2,,9374,11676,12077,11920,11672,11790,11213,13464,11220,18953
670210,"Artificial flowers, foliage and fruit and parts thereof, and articles made of artificial flowers, ...",0,0,0,0,0,0,0,0,0,0,,28,169,288,382,554,549,877,928,903,1351,,184446,192887,216928,236605,260272,328345,437183,503364,471059,728588
670290,"Artificial flowers, foliage and fruit and parts thereof, and articles made of artificial flowers, ...",0,0,0,0,0,0,0,0,0,0,,133,497,695,469,237,288,328,522,1097,1242,,384320,372020,364010,428515,390854,437607,501815,534269,415053,586513
621020,"Garments of the type described in heading 6201, rubberised or impregnated, coated, covered ...",0,0,0,0,0,1,0,0,0,0,,111,163,116,100,83,141,168,155,135,125,,41273,30596,35480,36480,35948,27986,38027,44669,46664,28663
620620,"Women's or girls' blouses, shirts and shirt-blouses of wool or fine animal hair (excluding ...",0,5,2,24,4,3,1,0,2,0,,7,29,21,73,38,22,26,11,8,6,,3113,4849,6319,6087,6757,6504,6941,6137,4589,4993
681181,"Corrugated sheets of cellulose fibre-cement or the like, not containing asbestos",0,0,0,0,0,0,0,0,0,0,,250,578,76,148,83,11,0,0,866,594,,178,247,68,65,205,36,564,681,396,215
681490,"Worked mica and articles of mica (excluding electrical insulators, insulating fittings, resistors ...",0,0,0,0,0,0,0,0,0,0,,46,68,96,38,77,164,94,256,173,124,,3304,3933,4707,6198,6023,5160,5248,10766,9252,16085
690722,"Ceramic flags and paving, hearth or wall tiles, of a water absorption coefficient by weight ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,146,11396,10397,10960,11148,8287,,0,0,0,0,0,307346,321287,337739,306660,335994
700330,"Profiles of glass, whether or not having an absorbent, reflecting or non-reflecting layer, ...",0,0,0,0,12,0,13,0,0,0,,0,0,8,0,0,0,0,5,1,6,,2585,572,3529,2811,1505,529,2509,703,1177,3841
700420,"Sheets of glass, drawn or blown, coloured throughout the mass """"body tinted"""" opacified, flashed ...""",0,0,0,0,0,9,46,0,0,0,,366,303,255,34,40,215,50,31,23,17,,6326,6040,9269,6917,7168,7017,6972,7048,7832,7945
700991,"Glass mirrors, unframed (excluding rear-view mirrors for vehicles, optical mirrors, optically ...",0,0,0,36,0,0,0,0,0,0,,10987,15744,18476,11459,14745,18407,17048,18785,19454,36514,,50551,64301,71912,78726,89279,103555,125988,112600,108914,124014
701120,"Glass envelopes, incl. bulbs and tubes, open, and glass parts thereof, without fittings, for ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,3042,1750,1606,1561,1983,1796,1774,1835,1251,571
701510,"Glasses for corrective spectacles, curved, bent, hollowed or the like, but not optically worked ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,,812,442,374,233,280,416,405,492,108,72
701912,Rovings of glass fibres,24,127,138,0,0,0,0,12,0,0,,6960,7009,10604,8523,8052,9304,9694,8156,10260,11855,,240556,230800,249681,230185,229935,271705,337607,250990,219985,308466
710900,"Base metals or silver, clad with gold, not further worked than semi-manufactured",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,111,5,0,1,8,4,,470,4207,3921,6112,6780,5228,5072,4465,3632,3294
711230,Ash containing precious metal or precious-metal compounds,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,43381,38280,68527,59621,30949,16558,11643,5139,28584,13166
711292,"Waste and scrap of platinum, incl. metal clad with platinum, and other waste and scrap containing ...",0,0,0,0,0,0,0,0,0,0,,2930,8352,5281,4614,10033,2755,931,662,323,336,,977556,948718,1098020,901833,823398,1061415,1073590,1107659,1518949,2382439
711610,"Articles of natural or cultured pearls, n.e.s.",5,0,0,0,0,0,0,0,0,0,,10,21,55,13,11,11,17,17,60,33,,36763,37164,34265,33507,23742,20822,21834,19996,13012,24772
721730,"Wire of iron or non-alloy steel, in coils, plated or coated with base metals (excluding plated ...",0,0,0,0,0,0,60,58,0,0,,1151,2007,928,804,1052,963,933,1145,1175,3357,,29497,32598,51856,72109,45499,38029,48254,51636,43071,58776
721921,"Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than hot-rolled, ...",0,0,0,0,0,0,0,0,0,0,,7421,10523,6756,6281,5013,5624,6237,9344,11068,7744,,207643,212429,169725,128195,103263,113916,141281,101404,100312,124483
721933,"Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than ...""",0,0,0,0,0,0,0,0,0,0,,3332,3330,2205,2011,1958,4543,4880,4320,4741,8006,,269793,185187,299640,253997,192550,193677,149101,82637,62595,282656
721934,"Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than ...""",0,0,0,0,0,0,0,0,0,0,,1733,2419,1990,1426,1601,3138,4262,4511,3922,7738,,321137,270130,378875,350196,257582,305553,248391,188842,145416,268954
722090,"Flat-rolled products of stainless steel, of a width of < 600 mm, hot-rolled or cold-rolled ...""",0,0,0,0,0,0,0,0,0,0,,185,130,154,60,157,270,246,210,188,258,,20878,17222,16372,15761,17749,17416,13669,16306,17153,22361
721320,"Bars and rods, hot-rolled, in irregularly wound coils, of non-alloy free-cutting steel (excluding ...",0,0,0,0,0,0,0,60,0,0,,33,20,9,15,2,3,0,6,0,0,,73174,79272,86804,109472,76203,103778,100925,63098,43009,95498
710110,"Pearls, natural, whether or not worked or graded, but not strung, mounted or set, natural pearls, ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,2,,30346,29208,20773,21537,32606,19324,11390,4506,1248,2069
710122,"Cultured pearls, worked, whether or not graded, but not strung, mounted or set, worked cultured ...",0,0,0,0,0,0,0,0,0,0,,0,5,64,2,2,14,55,41,44,43,,159445,148583,138717,103687,106047,87444,76911,62608,42755,51998
720450,Remelting scrap ingots of iron or steel (excluding products whose chemical composition conforms ...,0,0,0,0,0,0,0,0,0,0,,163,9,145,108,156,1385,408,6738,8655,70342,,286,58,83,161,87,682,1515,930,949,2636
721049,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, hot-rolled or cold-rolled ...""",0,0,0,1806,11318,74993,63746,0,794,0,,215572,285727,259545,215929,171510,399068,510607,472900,377707,893967,,1343031,1346466,2156672,1943140,1594175,2038715,1829184,1358289,1048913,2433531
721050,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, hot-rolled or cold-rolled ...""",0,0,0,0,0,0,0,0,0,0,,85,129,55,1,7,114,365,693,465,874,,149538,185080,199870,174721,196074,223017,223812,288560,316899,378564
721123,"Flat-rolled products of iron or non-alloy steel, of a width of < 600 mm, simply cold-rolled ...""",0,0,8,0,0,1950,0,0,0,0,,139147,117053,87068,66956,27168,31198,32333,18974,16466,33236,,26832,41574,19473,26928,24135,31871,25414,16654,14141,21552
721230,"Flat-rolled products of iron or non-alloy steel, of a width of < 600 mm, hot-rolled or cold-rolled ...""",0,0,0,0,0,0,0,0,0,0,,3164,9205,9620,3440,2912,3798,8932,8094,8977,15842,,41697,47607,65951,64666,64809,95744,83119,65681,58459,148659
732211,"Radiators for central heating, non-electrically heated, and parts thereof, of iron or steel ...",0,0,0,0,0,0,0,0,0,0,,1138,944,4491,3460,2700,2759,2930,5102,4230,3075,,6897,7113,7036,8475,7359,5957,7303,4096,3059,3034
732429,Baths of steel sheet,0,0,0,0,0,0,0,0,0,0,,4283,4753,4560,3718,3366,4430,4648,5197,5421,6623,,6424,4871,4220,6598,6583,9987,15719,19046,17493,17236
731511,Roller chain of iron or steel,0,0,0,0,8,0,0,0,0,0,,9344,7398,6530,4360,3815,6037,4958,6258,5954,8727,,268342,253745,260793,246903,225253,218683,244747,220742,205871,263327
731813,"Screw hooks and screw rings, of iron or steel",0,0,0,0,0,0,0,0,0,0,,279,780,778,566,626,355,606,508,485,1297,,16810,14128,14557,17251,15413,16220,17274,14144,19607,20772
731414,"Woven cloth, incl. endless bands, of stainless steel wire (excluding woven products of metal ...",0,0,0,0,0,0,0,0,0,0,,1372,1547,1021,697,665,800,890,840,539,1087,,79577,74459,74616,67836,56053,71000,95348,80717,77994,88514
731420,"Grill, netting and fencing, welded at the intersection, having a mesh size of >= 100 cm©÷, of ...",0,0,0,0,0,0,0,0,0,0,,2284,2717,3009,1453,1715,2559,5137,6136,6148,10922,,10548,12453,16876,18794,26179,33016,38148,33453,22959,29429
722990,"Wire of alloy steel other than stainless, in coils (excluding bars and rods and wire of silico-manganese ...",10,38,0,0,0,0,0,0,0,0,,2406,2296,1947,1066,1246,15072,4063,4122,62365,135371,,199373,165057,161846,163231,153163,136463,130288,144399,136211,210663
