Product code,Product label,United States of America's imports from Germany-Value in 2012,United States of America's imports from Germany-Value in 2013,United States of America's imports from Germany-Value in 2014,United States of America's imports from Germany-Value in 2015,United States of America's imports from Germany-Value in 2016,United States of America's imports from Germany-Value in 2017,United States of America's imports from Germany-Value in 2018,United States of America's imports from Germany-Value in 2019,United States of America's imports from Germany-Value in 2020,United States of America's imports from Germany-Value in 2021,Germany's exports to world- ,Germany's exports to world-Value in 2012,Germany's exports to world-Value in 2013,Germany's exports to world-Value in 2014,Germany's exports to world-Value in 2015,Germany's exports to world-Value in 2016,Germany's exports to world-Value in 2017,Germany's exports to world-Value in 2018,Germany's exports to world-Value in 2019,Germany's exports to world-Value in 2020,Germany's exports to world-Value in 2021,United States of America's imports from world- ,United States of America's imports from world-Value in 2012,United States of America's imports from world-Value in 2013,United States of America's imports from world-Value in 2014,United States of America's imports from world-Value in 2015,United States of America's imports from world-Value in 2016,United States of America's imports from world-Value in 2017,United States of America's imports from world-Value in 2018,United States of America's imports from world-Value in 2019,United States of America's imports from world-Value in 2020,United States of America's imports from world-Value in 2021
852341,"Optical media for the recording of sound or of other phenomena, unrecorded (excluding goods ...",903,741,1094,262,303,312,399,610,646,761,,187131,141832,105587,75553,55724,53087,46014,37209,29518,30945,,483522,367148,268397,219581,182003,121816,121420,85108,57015,65495
200860,"Cherries, prepared or preserved, whether or not containing added sugar or other sweetening ...",973,1652,1066,921,926,901,812,861,1421,761,,31422,38839,35928,27576,25516,25936,27634,20338,23933,23399,,11700,12279,14541,17166,20403,21081,23914,29394,22630,42076
81400,"Peel of citrus fruit or melons, incl. watermelons, fresh, frozen, dried or provisionally preserved ...",256,331,283,356,387,621,837,557,803,761,,3218,3264,3589,3221,3249,3941,4599,4757,5385,6297,,2892,3101,4344,3645,3074,4050,7140,7118,5632,7392
520921,"Plain woven fabrics of cotton, containing >= 85% cotton by weight and weighing > 200 g/m©÷, ...",784,688,623,1027,1097,1331,1503,1164,773,760,,7087,7393,7160,6974,6849,6577,6737,6381,5513,6350,,3935,4750,5197,3772,4360,5578,5731,3817,2247,2537
722870,"Angles, shapes and sections of alloy steel other than stainless, n.e.s.",895,303,280,512,266,480,229,396,344,758,,57056,69615,89224,57504,64976,67634,78050,67181,57055,68754,,102626,74129,89928,79622,50662,76045,54676,56173,28711,56242
680790,"Articles of asphalt or of similar materials, e.g. petroleum bitumen or coal tar pitch (excluding ...",4,0,5,394,5,4,7,69,256,758,,31171,36757,39543,33321,35204,37433,44342,22862,21942,23399,,154287,159148,139949,116682,135645,125385,124135,133763,163929,158231
701911,"Glass fibre threads """"chopped strands"""", cut into lengths <= 50 mm""""",657,871,1479,927,1046,696,437,582,75,752,,11232,8940,11792,10190,11681,10453,12460,10148,9810,22032,,88101,89279,119241,110460,128775,123245,126523,96667,87270,103019
610443,"Women's or girls' dresses of synthetic fibres, knitted or crocheted (excluding petticoats)",52,74,138,157,473,536,1022,871,558,752,,175513,184351,180722,144052,158290,293772,365804,412986,326812,251104,,1184493,1167600,1280879,1338321,1295004,1253737,1235852,1114628,603012,721507
50690,"Bones and horn-cores and their powder and waste, unworked, defatted, degelatinised or simply ...",308,107,238,270,133,467,827,1622,628,750,,51351,72301,61617,61739,59247,54693,38533,36960,39842,43408,,12471,13380,20755,20476,16628,14377,12428,16280,13386,24226
611020,"Jerseys, pullovers, cardigans, waistcoats and similar articles, of cotton, knitted or crocheted ...",231,284,440,641,442,449,594,801,708,750,,816621,896330,940871,750789,763587,1016517,1167450,1225294,1244528,1519346,,8327039,8652973,8432287,8115475,7097366,7088824,7638966,7895411,6332274,8705141
620462,"Women's or girls' trousers, bib and brace overalls, breeches and shorts of cotton (excluding ...",849,651,608,632,582,495,539,571,343,748,,847576,957224,934099,756541,764077,886837,1033607,980381,975237,1141550,,5466803,5746153,4882186,4891427,4793551,4756964,4934968,4641016,3616619,4398499
120510,"Low erucic acid rape or colza seeds """"yielding a fixed oil which has an erucic acid content ...""",217,477,430,652,407,428,370,245,424,748,,181634,170137,199161,132670,137788,166883,164903,126597,127478,186781,,264287,285224,448502,220563,214822,240723,255928,228472,236953,250046
880529,"Ground flying trainers and parts thereof, n.e.s. (excluding air combat simulators and parts ...",72,1254,578,1489,2304,2879,950,469,949,743,,6059,14785,11424,25510,13613,15187,21195,16364,19527,34715,,187139,178771,205878,192544,271220,255247,254419,323207,458570,343599
100390,Barley (excluding seed for sowing),0,0,0,12,82,211,176,400,895,739,,441755,829008,222462,560055,495742,420293,374227,302474,472806,723236,,160511,126689,152517,133853,77232,51780,37185,33875,37063,59640
701951,"Woven fabrics, incl. narrow fabrics, of glass, of a width of <= 30 cm (excluding rovings)",556,193,353,658,689,1082,1713,1096,761,737,,10876,11313,12515,11624,12033,13426,15089,14076,15874,20499,,13279,13539,12645,11428,13580,9347,11948,12097,10989,11215
720825,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, in coils, simply ...",16,321,3174,1191,990,1994,2275,874,89,737,,52190,54254,55880,43374,42081,66064,72809,59977,65089,118740,,42148,38701,54933,45039,52187,42657,68908,43890,28816,59635
441891,"Builders' joinery and carpentry, of bamboo (excl. windows, French windows and their frames, ...",0,0,0,0,0,487,710,407,332,736,,0,0,0,0,0,61,51,62,34,652,,0,0,0,0,0,249680,193428,93759,54310,54525
721499,"Bars and rods, of iron or non-alloy steel, only hot-rolled, only hot-drawn or only hot-extruded ...",188,750,4803,3612,1221,1644,619,368,525,734,,250759,236472,274504,194094,173470,204093,207950,171317,137686,240562,,201394,183555,264987,210726,126160,154899,118416,98357,69237,143718
250700,"Kaolin and other kaolinic clays, whether or not calcined",837,1876,1035,1934,2906,4392,7058,6391,2101,732,,61565,70034,71121,57178,60139,63511,79551,77627,64897,76988,,57051,62115,61580,49296,44954,44796,38500,42627,30353,28037
660390,"Parts, trimmings and accessories for umbrellas and sun umbrellas of heading 6601 or for walking ...""",773,779,575,1182,1071,1332,801,868,511,729,,9564,10900,11395,11053,11946,12882,13872,13308,13454,16778,,47704,48344,52440,59539,61720,67119,67095,70229,69747,102704
401700,"Hard rubber, e.g. ebonite, in all forms, incl. waste and scrap; articles of hard rubber, n.e.s.",737,886,1785,1024,1145,978,1116,934,915,724,,10353,8383,8710,6231,6197,6508,7703,5395,5475,5207,,11973,11839,14634,18271,23991,24833,21337,25015,21697,22113
841420,Hand-operated or foot-operated air pumps,1402,1264,1073,961,801,788,728,619,455,724,,21894,24383,23765,20543,21677,20130,21860,19264,24503,27388,,51769,49090,57364,51241,47880,52204,52082,46380,57022,70235
842389,Weighing machinery of a maximum weighing capacity > 5.000 kg,534,880,1321,1807,1310,1066,871,652,1046,724,,20042,12965,15326,14528,12826,14184,13495,12890,13068,13939,,17474,15338,17036,17223,18421,15154,13449,14529,11829,13699
711419,"Articles of goldsmiths' or silversmiths' wares or parts thereof, of precious metal other than ...",581,498,762,617,681,1352,745,494,1121,723,,10618,23820,8764,6100,5980,8882,9426,5937,6911,8588,,4217,7721,3780,3791,3618,9051,4976,3650,3895,4685
551229,"Woven fabrics containing >= 85% acrylic or modacrylic staple fibres by weight, dyed, made of ...",336,247,592,257,631,350,223,228,241,721,,12093,4992,6561,6516,5995,5449,5638,5577,4582,9557,,18433,19957,25367,31477,30855,30366,33802,34138,27847,50162
901060,Projection screens,489,678,545,693,708,880,488,418,1065,716,,17461,16740,13860,9757,10850,10632,11951,9921,10809,15156,,41178,36629,38779,42323,42916,45141,42820,36607,36932,37851
283330,Alums,137,41,76,155,114,75,152,256,472,716,,1192,1103,1177,977,1049,1053,1141,1027,1263,3745,,3669,4283,3888,4699,3719,4103,4090,4598,6326,6011
382479,"Mixtures containing halogenated derivatives of methane, ethane or propane (excluding those ...",76,240,0,0,381,885,95,493,359,715,,5540,4846,2826,2294,2408,2157,1543,1584,2311,2497,,491,563,485,1141,2929,5854,4045,1702,1236,3186
550210,"Artificial filament tow as specified in Note 1 to chapter 55, of acetate",0,0,0,0,0,551,748,385,560,710,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,4065,824,1233,2109,1163
701020,"Stoppers, lids and other closures, of glass",1151,1080,1148,2271,870,633,710,807,504,710,,6466,5188,3690,3229,4178,4447,4877,5096,5109,6251,,20230,27194,25068,38148,27684,27528,33883,28755,22893,31016
847690,"Parts of automatic goods-vending machines, incl. money changing machines, n.e.s.",3749,3617,2110,1368,1962,1431,1134,1304,915,707,,43771,49239,37388,31719,21532,20883,17564,17135,14033,12003,,119004,113452,84539,102389,90521,113918,104179,112061,74500,98049
283311,Disodium sulphate,28,41,56,192,63,169,196,510,410,706,,9292,0,0,0,0,0,0,0,0,0,,11415,12732,9356,5129,7259,10077,9288,11923,11027,9982
750511,"Bars, rods, profiles and wire, of non-alloy nickel, n.e.s. (excluding electrically insulated ...",583,369,891,1209,554,1039,980,1963,897,703,,2515,3215,3572,4177,3645,4911,6931,6261,4241,6851,,8412,1387,2401,1793,1416,1957,2232,2957,4118,1740
121299,"Fruit stones and kernels and other vegetable products, incl. unroasted chicory roots of the ...",518,888,1460,1639,2348,1129,774,1212,496,702,,21923,26152,29898,32453,34566,34258,35813,37786,35924,40384,,61598,89024,142462,120653,97711,68736,92111,80281,91515,105808
560749,"Twine, cordage, ropes and cables of polyethylene or polypropylene, whether or not plaited or ...",436,227,267,345,421,814,1004,1150,450,698,,27698,35005,37076,32905,35530,35695,40134,36867,37902,47596,,82604,81622,85918,91277,81574,87495,101225,89677,84400,102742
620442,Women's or girls' dresses of cotton (excluding knitted or crocheted and petticoats),349,339,287,260,409,347,303,382,383,694,,149374,120785,110817,84499,93709,137988,169321,181110,189321,218185,,607887,544762,509765,578370,562694,542309,552859,564967,479078,703264
870821,Safety seat belts for motor vehicles,16974,16498,15852,5629,858,581,475,1609,1830,694,,289203,291989,313942,281961,349160,413118,449617,400378,366249,385608,,137867,83500,88846,96763,101114,85990,119946,135857,295599,308114
911320,"Watch straps, watch bands and watch bracelets, and parts thereof, of base metal, whether or ...",693,1011,866,779,754,806,598,260,704,693,,7583,8545,7467,9278,8033,7374,10945,11754,7155,8708,,24095,25185,27560,25534,30642,25374,25156,33698,29081,42986
845110,Dry-cleaning machines for made-up textile articles,712,351,407,619,150,128,1130,612,958,693,,7711,8262,7243,9080,5384,7315,7803,5943,5551,3310,,19026,25882,21849,25283,24770,20558,24009,16918,10230,7908
270300,"Peat, incl. peat litter, whether or not agglomerated",214,336,368,818,810,828,781,3086,2868,692,,200783,215400,206683,188584,203234,209099,208871,175124,191812,224882,,256732,264320,285402,337744,341178,365770,380061,375635,455640,590832
821490,"Hair clippers, butchers' or kitchen cleavers and other articles of cutlery of base metal, n.e.s.",1187,1527,1208,1286,1372,867,586,608,641,691,,13991,15465,15381,14825,16003,18994,16015,10967,13459,15640,,20915,18540,19462,20804,25168,20415,22372,23450,30043,39033
284700,"Hydrogen peroxide, whether or not solidified with urea",489,602,558,696,573,719,503,674,605,689,,51558,47089,49362,43527,46359,50741,57124,55336,55814,55907,,83957,60194,73045,69039,50630,45100,47681,51110,41210,45296
580790,"Labels, badges and similar articles, of textile materials, in the piece, in strips or cut to ...",38,116,141,168,167,335,738,1054,702,689,,7472,8220,7181,5673,6481,6281,7600,7078,5726,6320,,8246,10221,8583,7009,4853,4344,4972,5525,3266,4017
730629,"Casing and tubing of a kind used in drilling for oil or gas, welded, of flat-rolled products ...",6736,4903,4080,7052,871,18685,3317,2849,6,689,,10173,8146,4363,6961,1897,20353,5089,2933,39,2589,,1931581,1594666,1942875,923112,284701,1289984,952027,904872,369355,749277
900699,"Parts and accessories for photographic flashlights and flashlight apparatus, n.e.s.",1083,1230,994,1364,1104,999,671,1053,857,679,,15981,17516,16046,11428,11569,10516,9802,8491,9208,8914,,27357,32579,35285,33245,35530,39024,43873,49236,55914,63421
380690,"Derivatives of rosin, incl. salts of rosin adducts, and of resin acids, light and heavy resin ...""",472,582,1612,623,584,157,280,300,309,677,,13530,10401,9945,6742,6435,7121,6538,4503,4318,4871,,36278,23337,19930,16974,14763,15899,13964,12890,12255,20265
310510,"Mineral or chemical fertilisers of animal or vegetable origin, in tablets or similar forms, ...",191,580,140,149,152,210,263,318,423,676,,42001,43699,44427,43705,41815,42981,46009,48966,61774,71287,,17204,24415,29958,35345,30309,31924,27422,32849,47865,55034
700991,"Glass mirrors, unframed (excluding rear-view mirrors for vehicles, optical mirrors, optically ...",1271,1795,1960,1752,1599,1218,1147,719,457,675,,97553,70324,99251,55770,67528,51614,55774,41729,40341,44649,,50551,64301,71912,78726,89279,103555,125988,112600,108914,124014
220830,Whiskies,166,137,645,117,346,59,309,230,147,673,,315923,351765,388283,318246,313245,329572,327066,297414,191353,285395,,1758761,2031753,2022688,2036443,2132837,2214017,2405652,2570652,1734348,1723987
480269,"Uncoated paper and paperboard, of a kind used for writing, printing or other graphic purposes, ...",472,599,769,617,820,1065,1015,462,587,671,,15926,17239,17809,16226,12965,10414,10793,8945,7146,6800,,19288,20394,41214,16670,24959,22125,20129,19899,17782,22502
710420,"Precious and semi-precious stones, synthetic or reconstructed, unworked or simply sawn or roughly ...",7,15,0,16,37,83,284,647,503,670,,6171,2697,5531,3936,2005,2701,5061,5651,3614,5326,,21706,4190,2839,1806,1970,2709,5690,4319,3760,12542
741021,"Refined copper foil, backed, of a thickness """"excluding any backing"""" of <= 0,15 mm (excluding ...""",1202,946,1168,738,628,447,1798,982,1708,670,,48228,53131,60257,41995,41883,59217,53363,35838,33744,47066,,42440,52047,52054,55449,54088,53345,51950,42346,47464,40024
521142,"Denim, containing predominantly, but < 85% cotton by weight, mixed principally or solely with ...",502,443,491,576,42,656,511,416,414,664,,8194,9410,8775,7839,7380,8195,8098,8178,6850,8991,,31243,35530,22649,27120,26679,17890,25728,15084,9663,9199
871500,"Baby carriages and parts thereof, n.e.s.",355,696,92,83,51,64,102,666,712,662,,70013,64107,58118,59245,80286,94253,107733,115991,130753,158603,,303750,301436,312685,315432,297675,310015,323290,313387,246357,349934
810294,"Unwrought molybdenum, incl. bars and rods obtained simply by sintering",1104,629,0,0,16,109,691,3026,274,660,,0,0,0,0,6971,7145,6339,18101,9212,7547,,21959,22221,32885,16105,16213,21274,21123,19075,11982,14596
560229,"Felt, not impregnated, coated, covered or laminated (excluding that of wool or fine animal ...",245,244,215,340,109,236,206,554,486,659,,4836,4446,4479,4407,3866,4008,4084,4519,4111,5538,,5092,7847,5398,5233,5241,6323,11234,18258,18592,21279
820590,Anvils; portable forges; hand- or pedal-operated grinding wheels with frameworks; sets of articles ...,572,663,273,385,586,844,1042,1227,892,659,,33278,29483,25707,19520,17415,19276,20461,19385,14740,17653,,7462,7143,5026,5129,4388,5615,6016,6834,6703,7574
440729,"Tropical wood, sawn or chipped lengthwise, sliced or peeled, whether or not planed, sanded ...""",603,461,587,675,145,397,695,1481,138,656,,31528,28537,30817,27912,24477,30600,34859,27568,30937,47553,,168231,160783,179122,182068,158592,164281,177405,208514,176702,222687
520832,"Plain woven fabrics of cotton, containing >= 85% cotton by weight and weighing > 100 g to 200 ...",1304,781,1354,1226,1672,1422,1318,1059,434,655,,41230,42031,44481,33454,31964,35298,33575,31038,25991,23419,,29719,33521,33633,35973,32373,35738,35706,32359,58783,29332
851210,Electric lighting or visual signalling equipment of a kind used for bicycles (other than lamps ...,566,648,615,574,711,602,525,448,541,652,,29575,29821,30528,28493,27197,28128,34839,40954,49152,63631,,34942,31742,40310,37829,40684,40273,39978,38218,42189,54906
930390,Firearms and similar devices which operate by the firing of an explosive charge (excluding ...,5459,3712,6838,7981,7233,6857,5984,2138,828,650,,6217,9183,10251,6234,6367,6465,6288,5455,10933,7890,,19482,10722,16067,13479,13006,9413,10127,7726,8943,11636
890790,"Rafts, tanks, coffer-dams, landing stages, buoys, beacons and other floating structures (excluding ...",5342,112,60,77,86,182,41,70,155,649,,80720,83649,49150,11409,17953,20829,5511,10461,17473,9195,,87124,96437,64355,96423,91754,75447,92298,95256,72929,78723
731813,"Screw hooks and screw rings, of iron or steel",1248,799,754,802,733,843,564,351,198,646,,23439,25547,27589,25320,26418,34085,43447,46775,43205,53939,,16810,14128,14557,17251,15413,16220,17274,14144,19607,20772
271500,"Bituminous mastics, cut-backs and other bituminous mixtures based on natural asphalt, on natural ...",12,6,746,287,10,10,426,928,624,645,,120469,106520,98303,74189,71204,72556,82813,73264,71244,83019,,41712,49671,60395,54549,54172,88908,104168,115491,88389,128252
853910,Sealed beam lamp units,520,419,350,205,229,413,333,333,295,644,,5452,4919,4146,2905,3027,4169,4833,3862,2053,2100,,30902,25802,44259,37652,18487,32448,46890,31526,21789,21895
330710,"Shaving preparations, incl. pre-shave and aftershave products",9279,7739,3813,4078,1941,1214,673,1161,2243,643,,190989,186630,163525,123763,113337,104439,115285,102086,90314,92036,,52694,63703,61920,53644,58334,58254,56117,65384,58489,64544
290339,"Fluorinated, brominated or iodinated derivatives of acyclic hydrocarbons (excluding ethylene ...",3597,1352,10740,2806,7855,22756,24540,11859,5847,643,,81201,70458,70138,69524,77216,110408,149429,108137,77607,93843,,299102,290808,277674,396578,399145,459157,515549,450362,305960,517446
382460,Sorbitol (excluding D-glucitol [sorbitol]),6,15,40,10,19,83,176,233,369,643,,18200,17568,17695,13117,12381,11576,10443,11361,13930,12222,,46,237,304,288,485,331,575,417,695,795
842691,Cranes designed for mounting on road vehicles,8579,1564,1702,3081,4554,7314,6356,5534,1128,642,,87887,62210,69498,62613,59298,59937,62773,61827,50287,63504,,103591,100596,115917,131477,109472,134770,151343,151629,114317,129170
482370,"Moulded or pressed articles of paper pulp, n.e.s.",611,393,577,817,1162,612,336,524,815,642,,83466,84175,72764,68349,62161,57001,57471,64889,76607,103322,,126714,141476,144182,172505,178513,202865,266874,350952,349736,390484
570242,"Carpets and other floor coverings, of man-made textile materials, woven, not tufted or flocked, ...",35,99,2978,56,184,565,621,706,539,641,,43836,46454,46206,38296,48498,47122,51358,71450,79071,99406,,351455,383761,463450,478073,584359,718647,848307,903557,1087405,1497109
681091,"Prefabricated structural components for building or civil engineering of cement, concrete or ...",1498,194,239,683,909,156,77,349,124,638,,237203,323343,384799,329681,369674,400302,421803,386306,412172,438008,,65657,69644,81265,101731,96145,101096,97119,74001,72240,75411
540769,Woven fabrics of yarn containing >= 85% by weight of mixtures of textured and non-textured ...,308,219,392,336,490,897,1873,1651,1314,637,,23192,23408,26042,23677,23825,27906,29238,26208,22393,21202,,41379,44650,43754,45120,40548,38360,42762,33145,25896,31193
290723,"4,4'-Isopropylidenediphenol """"bisphenol A, diphenylolpropane"""" and its salts""""",0,0,0,139,0,0,0,0,0,634,,0,0,0,0,0,0,0,0,0,0,,26586,23346,45587,43039,43037,41017,44477,48281,25497,61544
681490,"Worked mica and articles of mica (excluding electrical insulators, insulating fittings, resistors ...",144,81,49,584,111,99,222,429,505,633,,3162,3569,5010,6182,7996,8021,8451,9947,9099,15056,,3304,3933,4707,6198,6023,5160,5248,10766,9252,16085
540761,"Woven fabrics of yarn containing >= 85% by weight of non-textured polyester filaments, incl. ...",1764,1221,731,921,699,562,912,825,750,628,,90543,100207,102562,85752,74806,80218,83614,75385,56382,60847,,144575,143083,136230,128461,117944,106194,108599,85099,58250,73193
283660,Barium carbonate,305,307,1055,623,456,429,755,695,580,626,,0,0,0,0,0,0,0,0,0,0,,9400,4887,4302,1983,2269,2756,2968,3016,2007,3271
291260,Paraformaldehyde,747,926,615,522,275,400,122,122,133,626,,0,0,0,0,0,0,0,10333,10221,18412,,10677,13614,11522,9629,7831,8456,7860,5461,5298,9843
282890,"Hypochlorites, chlorites and hypobromites (excluding calcium hypochlorites)",19,42,67,182,18,32,475,234,488,624,,15848,18650,36424,19019,19269,24159,29913,30879,35995,40288,,24875,24583,31372,31296,31731,40325,48876,35815,31892,35255
701010,Glass ampoules,724,540,934,438,314,613,340,1010,460,620,,22246,27610,27197,22542,18857,20170,16623,14113,16686,14199,,4504,4611,4536,4687,4372,5658,5476,6510,6219,6231
854071,Magnetrons,133,358,171,241,335,429,492,472,249,620,,10258,10324,10371,10380,10703,10282,12257,12201,9859,11696,,39454,33635,32940,37173,32694,31939,39721,38865,34358,38669
570310,"Carpets and other floor coverings, of wool or fine animal hair, tufted """"needle punched"""", ...""",457,341,195,97,117,923,535,848,646,616,,15832,15637,13895,9591,12083,13503,13020,13930,10817,9223,,209978,217152,257809,249327,240178,216478,216885,193763,149807,199459
760529,"Wire, of aluminium alloys, having a maximum cross-sectional dimension of <= 7 mm (other than ...",256,191,287,203,558,778,757,645,511,615,,24206,25383,27676,24000,21940,25092,24854,23085,21174,27253,,24925,16839,21336,23851,22743,24277,30292,29288,20054,27045
841311,"Pumps fitted or designed to be fitted with a measuring device, for dispensing fuel or lubricants, ...",271,739,660,727,757,504,619,8906,2080,615,,100400,117898,109883,87156,99169,107155,112550,111250,134004,147688,,16594,17531,18908,16769,15040,17718,24458,35951,31675,52143
961000,"Slates and boards, with writing or drawing surfaces, whether or not framed",168,390,437,773,755,569,602,392,380,615,,19161,24187,26361,21763,23570,25576,29780,29944,30337,31320,,108641,120962,133267,155084,142013,145412,161656,161354,164613,195572
230690,"Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting ...",0,76,9,278,485,1206,1452,985,548,614,,387,938,2076,2337,3195,5314,5659,7055,3553,4865,,8461,10589,9883,19190,10872,14777,15652,14719,10497,12410
852871,"Reception apparatus for television, whether or not incorporating radio-broadcast receivers ...",3816,1564,1891,4795,7355,5878,4429,1203,474,614,,377329,354064,363526,372600,445090,525158,321727,219540,169214,177546,,6029797,5153655,3641960,2896671,2184387,2333725,2242375,2067113,927991,412489
843311,"Mowers for lawns, parks or sports grounds, powered, with the cutting device rotating in a horizontal ...",127,49,14,105,177,324,169,119,50,613,,289994,298069,217949,208435,337105,346746,406919,386829,385672,484781,,207005,226366,243344,279324,346032,387450,453279,613697,759769,941578
810530,Cobalt waste and scrap (excluding ash and residues containing cobalt),1186,85,919,365,410,548,598,553,41,611,,5079,4794,5388,5487,4080,11555,16018,9049,6037,6821,,12998,11135,17446,12309,14067,23653,41675,29366,15578,20253
401034,"Endless transmission belts of trapezoidal cross-section """"V-belts"""", of vulcanised rubber, ...""",804,913,1130,1068,1060,1450,1507,705,497,611,,25878,23101,24719,20326,20229,23164,24730,21294,20765,22899,,28258,26228,27185,20871,15263,14782,15174,15785,12620,14177
190219,"Uncooked pasta, not stuffed or otherwise prepared, not containing eggs",563,453,210,319,602,309,2370,1109,803,608,,43006,43192,42693,37325,37382,42262,48234,45594,57257,63822,,568285,589683,631592,641065,605944,571788,598147,601624,799168,689693
761100,"Reservoirs, tanks, vats and similar containers, of aluminium, for any material (other than ...",782,370,2191,173,518,4122,1944,714,2515,608,,22518,25290,23334,22681,31988,40815,22628,30420,35489,33090,,3960,8290,8165,13472,10057,15598,20621,10833,17941,11057
330491,"Make-up or skin care powders, incl. baby powders, whether or not compressed (excluding medicaments)",1402,821,1030,1286,2319,1956,2395,2457,979,608,,81486,83617,94273,83354,107017,114004,109750,99474,77525,107096,,216548,215585,256672,293981,364484,370335,367384,296920,200553,238634
540751,"Woven fabrics of yarn containing >= 85% by weight of textured polyester filaments, incl. monofilament ...",154,1144,2729,3185,3459,2204,1305,1034,506,606,,8035,11372,8898,9809,8582,13741,11204,17719,8201,11440,,12776,13346,15467,21742,21154,20320,15272,14238,13376,17051
270750,"Aromatic hydrocarbon mixtures of which >= 65% by volume, incl. losses, distils at 250¡ÆC by ...",355,122,268,893,978,16885,10158,287,205,606,,987371,1087984,1026875,570966,378033,525532,618371,551550,385294,760121,,242144,147599,217634,122520,96424,139813,131888,88572,69826,254722
320620,Pigments and preparations of a kind used for colouring any material or used as ingredients ...,773,947,200,292,430,452,320,257,200,605,,29137,24922,23272,6484,7971,8171,9736,10141,8682,10607,,11752,10061,8785,7998,8266,8778,9004,16147,16240,19581
830629,"Statuettes and other ornaments, of base metal, not plated with precious metal (excluding works ...",842,1097,1023,1409,1714,1402,576,637,626,605,,58243,58282,61343,55347,57017,61396,69743,77998,65722,71833,,568423,604384,610594,698756,656200,679859,765476,753344,710666,1078925
731439,"Grill, netting and fencing, of iron or steel wire, welded at the intersection (excluding products ...",318,275,285,220,155,1023,619,815,2481,604,,33717,29875,29770,27476,26851,29064,35398,30562,30419,35174,,29560,29664,32509,28706,27963,27752,43957,53006,52847,65210
370243,"Photographic film """"incl. instant print film"""", sensitised, in rolls, unexposed, without perforations, ...""",92,0,13,5,144,108,213,99,1368,603,,3798,5402,5852,4080,5441,5193,4136,3273,2259,2151,,9960,7870,8482,7158,5099,5768,4767,3844,3230,3589
890190,Vessels for the transport of goods and vessels for the transport of both persons and goods ...,0,6,19,4,7,7,0,0,24,603,,838270,862162,1936744,1493715,1940094,2389256,4718737,1718224,1778895,2122533,,13137,10885,10134,1345,1575,2136,846,646,324,1038
847920,Machinery for the extraction or preparation of animal or fixed vegetable or microbial fats ...,9361,1820,15807,2849,1912,1812,3311,2168,906,600,,82727,57776,31541,43451,29911,33906,28359,38951,52675,31161,,21748,10035,28842,15253,17690,32672,27846,18655,11691,20790
960840,Propelling or sliding pencils,414,534,465,617,431,480,380,546,471,599,,32682,29914,25114,18365,20266,19995,22433,20308,22288,30231,,89352,88634,95491,96363,99331,84582,80815,79109,58235,66658
721070,"Flat products of iron or non-alloy steel, of a width of >= 600 mm, hot-rolled or cold-rolled ...""",16,6,143,5,331,204,187,35,27,597,,369929,338745,320391,269629,263083,311514,319102,303523,295994,438590,,427141,363503,535044,557062,402738,509806,498078,509062,621767,1228342
230240,"Bran, sharps and other residues of cereals, whether or not in the form of pellets, derived ...",0,0,0,0,3,0,0,0,5,597,,12060,14789,17772,27375,31013,27235,37578,35804,40381,44698,,12272,13218,22423,41984,25316,22339,22597,11141,14126,13291
870390,"Motor cars and other vehicles principally designed for the transport of persons, incl. station ...""",34341,8503,181452,187737,152404,1608,967,29,245,596,,32071,94464,1005183,1305907,1294202,419,1113,4312,5297,16631,,506380,372429,853847,699553,617880,456895,124089,93291,24343,87329
340311,Textile lubricant preparations and preparations of a kind used for the oil or grease treatment ...,440,474,320,288,622,270,528,541,463,591,,75571,82372,86821,73723,85574,95508,104928,102313,79514,99113,,3239,3250,3069,2805,3840,3590,3283,6337,4845,6379
270720,"Toluol """"toluene"""" containing > 50% of toluene (excluding chemically defined)""""",0,0,0,5,0,0,0,0,0,589,,18600,25881,52219,59017,43526,27549,43855,37834,59680,116654,,7353,11933,9859,21889,41,2665,18675,13533,5931,21027
401190,"New pneumatic tyres, of rubber (excl. of a kind used on agricultural, forestry, construction, ...",0,0,0,0,0,64,346,187,206,588,,0,0,0,0,0,49252,65577,47978,45384,46238,,0,0,0,0,0,875524,953878,850818,967514,1264588
120929,"Seeds of forage plants for sowing (excluding of cereals and of sugar beet, alfalfa, clover ...""",227,475,793,630,1688,1428,1514,966,1338,588,,42643,48978,56436,44731,47452,46027,50335,49572,59661,61168,,30873,29904,29168,29115,36179,30780,29380,28239,33195,36476
30489,"Frozen fish fillets, n.e.s.",0,0,41,139,0,0,0,0,174,588,,55325,71248,85113,71571,70238,69558,66726,57064,40767,41578,,611938,421824,487282,527968,525498,576898,581550,496483,458538,631730
400122,"Technically specified natural rubber """"TSNR""""""""",222,511,338,220,390,509,559,345,499,587,,151247,113286,214153,225242,141904,122637,96102,74542,66656,112106,,2998594,2275600,1791653,1401403,1218407,1613944,1439415,1463044,1145026,1729329
940169,"Seats, with wooden frames (excluding upholstered)",646,623,1607,1463,1459,1371,1279,1751,1050,587,,40427,39321,52442,57484,64507,69365,69699,75789,77470,90353,,573633,582103,618820,660929,612081,652012,685661,684500,689394,940228
