Product code,Product label,United States of America's imports from Australia-Value in 2012,United States of America's imports from Australia-Value in 2013,United States of America's imports from Australia-Value in 2014,United States of America's imports from Australia-Value in 2015,United States of America's imports from Australia-Value in 2016,United States of America's imports from Australia-Value in 2017,United States of America's imports from Australia-Value in 2018,United States of America's imports from Australia-Value in 2019,United States of America's imports from Australia-Value in 2020,United States of America's imports from Australia-Value in 2021,Australia's exports to world- ,Australia's exports to world-Value in 2012,Australia's exports to world-Value in 2013,Australia's exports to world-Value in 2014,Australia's exports to world-Value in 2015,Australia's exports to world-Value in 2016,Australia's exports to world-Value in 2017,Australia's exports to world-Value in 2018,Australia's exports to world-Value in 2019,Australia's exports to world-Value in 2020,Australia's exports to world-Value in 2021,United States of America's imports from world- ,United States of America's imports from world-Value in 2012,United States of America's imports from world-Value in 2013,United States of America's imports from world-Value in 2014,United States of America's imports from world-Value in 2015,United States of America's imports from world-Value in 2016,United States of America's imports from world-Value in 2017,United States of America's imports from world-Value in 2018,United States of America's imports from world-Value in 2019,United States of America's imports from world-Value in 2020,United States of America's imports from world-Value in 2021
90922,"Coriander seeds, crushed or ground",0,0,0,0,0,0,0,0,0,0,,35,135,205,272,37,382,84,96,63,70,,1620,1694,2384,2974,3192,3556,3658,3305,4756,5899
91020,Saffron,0,0,0,0,0,0,9,0,0,0,,159,148,118,195,104,118,119,53,89,123,,14715,12553,13733,13434,14944,16417,16558,15770,14846,17222
100310,Barley seed for sowing,0,0,0,0,0,0,0,0,0,0,,5770,3604,6015,1136,68,4878,4609,93,201,48352,,3804,3533,3336,2868,3043,1835,1847,2119,1788,2580
100810,Buckwheat,0,0,0,0,0,0,0,11,0,0,,477,232,194,469,240,229,207,76,51,208,,5984,3663,6424,7378,7721,7163,4983,5016,6970,5000
110313,"Groats and meal of maize """"corn""""""""",0,0,0,0,0,0,0,0,0,0,,992,1441,2843,2643,1215,1654,1856,1574,1132,1310,,18286,22526,24697,22160,17293,24707,16509,19190,22495,14474
110419,Rolled or flaked grains of cereals (excluding oats),69,0,0,0,0,0,4,0,0,0,,759,546,625,660,1053,1175,518,458,384,438,,7002,8064,7052,6205,7066,7849,9700,10562,11192,13034
110423,"Hulled, pearled, sliced, kibbled or otherwise worked maize grains (excluding rolled, flaked, ...",0,0,0,0,0,0,0,0,0,0,,13192,6152,6003,1783,2014,2839,950,314,231,354,,3302,5290,8617,11679,8765,6984,84847,100119,53450,65757
110720,Roasted malt,0,0,6,9,0,0,0,0,0,0,,5028,4026,5263,4570,4341,4696,4719,4956,5151,3868,,16416,19053,23722,25954,21452,21737,21451,19136,15126,19220
80711,Fresh watermelons,0,0,0,0,0,0,0,0,0,0,,2598,3462,4145,4747,5497,7366,7909,10413,5342,5700,,262296,324273,330642,360846,376257,348990,359025,410122,379316,417838
81020,"Fresh raspberries, blackberries, mulberries and loganberries",0,0,0,0,0,0,0,0,0,0,,14,202,128,33,116,52,60,91,217,259,,404536,456747,619761,822099,871228,994228,1138525,1355699,1527545,1663295
81060,Fresh durians,0,0,0,0,0,0,0,0,0,0,,3,0,0,77,1,0,0,1,163,2,,3263,3213,2631,3254,3860,5155,8123,8983,10337,15028
71430,"Yams """"Dioscorea spp."""", fresh, chilled, frozen or dried, whether or not sliced or in the ...""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,2,0,0,399,,54291,62686,62736,69462,69416,69166,78903,78922,85835,86990
71440,"Taro """"Colocasia spp."""", fresh, chilled, frozen or dried, whether or not sliced or in the ...""",0,0,0,0,0,0,0,0,0,0,,0,31,35,0,0,0,0,2,0,0,,2021,1824,1833,2213,7998,44922,57356,69661,64948,64674
71450,"Yautia """"Xanthosoma spp."""", fresh, chilled, frozen or dried, whether or not sliced or in the ...""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,2352,10529,6513,7573,10447,11434,12966,11021,7394,10112
80119,"Fresh coconuts, whether or not shelled or peeled (excluding in the inner shell """"endocarp"""")""""",0,0,0,0,0,0,0,0,0,0,,67,17,35,25,27,67,187,89,322,701,,40750,46373,39270,44949,47083,45213,50687,48198,39712,52085
80242,"Fresh or dried chestnuts """"Castanea spp."""", shelled""""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,7,2,6,2,1,3,,2893,2997,3069,3296,2881,1222,495,281,247,442
80270,"Fresh or dried kola nuts """"Cola spp."""", whether or not shelled or peeled""""",0,0,0,0,0,0,0,0,0,0,,285,5,1,0,5,0,0,0,13,17,,3837,3758,7653,4842,5131,6405,7192,9082,5595,3462
660320,"Umbrella frames, incl. frames mounted on shafts """"sticks"""", for umbrellas and sun umbrellas ...""",8,0,1,13,7,2,27,0,1,0,,84,38,41,13,50,57,14,1,17,28,,9374,11676,12077,11920,11672,11790,11213,13464,11220,18953
631090,"Used or new rags, scrap twine, cordage, rope and cables and worn-out articles thereof, of textile ...",4,0,0,0,0,0,0,0,0,0,,1442,1068,772,545,429,161,64,55,17,124,,29132,25358,29805,27681,25718,28291,31463,29808,27060,39199
700330,"Profiles of glass, whether or not having an absorbent, reflecting or non-reflecting layer, ...",0,0,0,0,0,7,0,0,0,0,,2,0,180,165,3,19,0,2,22,0,,2585,572,3529,2811,1505,529,2509,703,1177,3841
700420,"Sheets of glass, drawn or blown, coloured throughout the mass """"body tinted"""" opacified, flashed ...""",0,0,0,0,37,29,0,0,0,0,,0,13,431,87,36,98,162,44,9,3,,6326,6040,9269,6917,7168,7017,6972,7048,7832,7945
680790,"Articles of asphalt or of similar materials, e.g. petroleum bitumen or coal tar pitch (excluding ...",0,0,0,0,0,0,0,0,0,0,,30,43,0,48,174,22,120,121,0,110,,154287,159148,139949,116682,135645,125385,124135,133763,163929,158231
681181,"Corrugated sheets of cellulose fibre-cement or the like, not containing asbestos",0,0,0,0,0,0,0,0,0,0,,4,74,41,5,150,96,65,14,177,97,,178,247,68,65,205,36,564,681,396,215
681490,"Worked mica and articles of mica (excluding electrical insulators, insulating fittings, resistors ...",10,0,24,0,0,6,0,0,0,0,,9,2,22,6,0,44,15,4,10,16,,3304,3933,4707,6198,6023,5160,5248,10766,9252,16085
701120,"Glass envelopes, incl. bulbs and tubes, open, and glass parts thereof, without fittings, for ...",0,0,0,0,4,0,0,0,0,0,,3,1,3,0,8,3,0,2,95,150,,3042,1750,1606,1561,1983,1796,1774,1835,1251,571
701510,"Glasses for corrective spectacles, curved, bent, hollowed or the like, but not optically worked ...",0,0,0,0,0,0,0,0,0,0,,250,132,125,157,40,43,76,36,76,26,,812,442,374,233,280,416,405,492,108,72
701940,Woven fabrics of glass fibres made from rovings,19,29,25,3,0,3,0,4,10,0,,560,224,335,236,235,463,296,141,66,95,,25401,22789,22812,26250,21064,22489,27155,22498,15396,19372
710900,"Base metals or silver, clad with gold, not further worked than semi-manufactured",0,0,2,0,0,0,10,23,0,0,,559,14,5,32,123,0,2,36,29,52,,470,4207,3921,6112,6780,5228,5072,4465,3632,3294
720110,"Non-alloy pig iron in pigs, blocks or other primary forms, containing, by weight, <= 0,5% of ...",0,0,0,0,0,0,0,0,0,0,,29,83,17,227,39,0,74,6,12,125,,1976917,1687499,1913596,1367563,1008849,1855557,2493279,1830313,1565198,3416632
720429,"Waste and scrap of alloy steel (excluding stainless steel, and waste and scrap, radioactive, ...",0,0,0,0,0,0,0,0,8,0,,366626,401736,411030,176008,36680,45382,48154,56717,38408,69266,,313914,193254,189659,159666,141107,175313,225776,148523,143142,323508
720450,Remelting scrap ingots of iron or steel (excluding products whose chemical composition conforms ...,0,0,0,0,0,0,0,0,0,0,,2857,1437,1341,1025,99,1579,139,6,711,1781,,286,58,83,161,87,682,1515,930,949,2636
720890,"Flat-rolled products of iron or steel, of a width >= 600 mm, hot-rolled and further worked, ...",0,0,0,0,0,0,0,0,0,0,,5457,5592,1708,452,993,770,672,1922,2040,2905,,5403,5072,5045,22594,3729,2494,1126,680,663,1446
620920,"Babies' garments and clothing accessories of cotton (excluding knitted or crocheted and hats, ...",11,0,4,10,1,7,6,5,10,0,,303,251,154,475,621,398,183,1187,2220,1067,,412091,407335,417243,416030,359526,348357,314994,299594,237841,269394
620199,"Men's or boys' anoraks, incl. ski jackets, windcheaters, wind-jackets and similar articles ...",0,0,0,5,0,2,1,0,2,0,,181,290,27,105,267,869,375,198,259,3571,,6733,8098,8848,7916,6498,6953,9560,8175,7098,9594
620422,"Women's or girls' ensembles of cotton (excluding knitted or crocheted, ski overalls and swimwear)",0,0,0,0,0,0,0,0,23,0,,82,11,77,44,22,63,48,72,66,207,,10734,11035,8398,7055,8948,10450,10999,10100,5437,9241
600532,"Dyed warp knit fabrics of synthetic fibres """"incl. those made on galloon knitting machines"""", ...""",272,182,178,109,79,0,0,0,0,0,,1219,824,228,92,21,0,0,0,0,0,,99754,113503,111610,113862,109842,0,0,0,0,0
560500,"Metallised yarn, whether or not gimped, being textile yarn, or strip or the like of heading ...",32,39,0,0,0,0,0,0,0,0,,6,23,11,0,7,0,1,15,3,0,,17250,15133,11499,11348,10061,9327,10110,9144,8966,14957
600641,"Unbleached or bleached fabrics, knitted or crocheted, of artificial fibres, of a width of ...""",0,0,0,0,0,0,0,0,0,0,,0,0,0,2,0,0,2,0,0,0,,3886,4264,3261,4297,3337,3159,2198,2353,2763,3558
610721,"Men's or boys' nightshirts and pyjamas of cotton, knitted or crocheted (excluding vests and ...",0,0,2,1,1,0,0,0,1,0,,22,48,47,24,256,1851,2013,1108,105,35,,81595,84765,108809,117125,116742,131189,140641,145214,155809,254718
551529,"Woven fabrics containing predominantly, but < 85% acrylic or modacrylic staple fibres by weight, ...",2,0,0,0,0,0,0,0,0,0,,5,85,6,3,8,12,29,59,9,2,,1384,1658,2067,2663,1765,2023,2412,3390,2625,6573
551591,"Woven fabrics containing predominantly, but < 85% synthetic staple fibres, mixed principally ...",0,0,0,0,0,0,0,0,0,0,,114,81,75,4,74,31,8,26,1,20,,2101,1792,2021,2348,2067,2596,2370,2295,2478,2851
551612,"Woven fabrics containing >= 85% artificial staple fibres by weight, dyed",0,0,5,0,0,0,0,0,0,0,,82,68,14,27,15,9,8,8,309,577,,9931,8702,10940,13264,9252,14918,9075,6254,4240,5367
551632,"Woven fabrics containing predominantly, but < 85% artificial staple fibres by weight, mixed ...",11,0,0,0,0,0,0,0,0,0,,23,14,50,51,0,2,37,0,3,5,,585,1086,1596,683,518,213,334,438,126,519
551633,"Woven fabrics containing predominantly, but < 85% artificial staple fibres by weight, mixed ...",0,0,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,210,352,13,0,,552,494,444,484,567,501,499,506,276,355
551691,"Woven fabrics containing predominantly, but < 85% artificial staple fibres by weight, other ...",0,0,0,0,0,0,0,0,0,0,,4,5,30,0,35,0,0,156,2,3,,390,934,416,427,703,866,663,713,429,705
551694,"Woven fabrics containing predominantly, but < 85% artificial staple fibres by weight, other ...",0,0,0,0,0,0,3,0,0,0,,293,116,0,17,2,22,0,0,5,0,,928,624,656,689,882,810,1187,1599,1205,1180
560129,Wadding of textile materials and articles thereof (excluding of cotton or man-made fibres; ...,39,34,40,0,50,0,0,59,0,0,,109,61,45,26,1,48,32,46,23,7,,258,531,1257,1485,986,696,1084,967,1997,2248
482361,"Trays, dishes, plates, cups and the like, of bamboo paper or bamboo paperboard",0,0,0,0,0,0,0,0,0,0,,27,433,620,568,183,25,124,111,42,118,,14735,10010,5689,4164,4029,4167,5745,6053,12320,15682
491000,"Calendars of any kinds, printed, incl. calendars blocks",23,4,18,2,17,2,41,0,0,0,,2078,1939,1481,1222,1200,1230,1515,773,848,796,,147327,150751,148697,151870,148214,146893,156689,171720,157558,167608
510310,Noils of wool or of fine animal hair (excluding garnetted stock),0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,0,0,,952,844,1228,1052,1275,1364,893,360,589,152
510330,"Waste of coarse animal hair, incl. yarn waste (excluding garnetted stock, waste of hair or ...",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,1,3,28,2,18,1,0,0,2,1
510710,Yarn of combed wool containing >= 85% wool by weight (excluding that put up for retail sale),5,5,0,0,3,0,0,22,55,0,,26,0,16,32,26,3,5,6,5,114,,46648,32843,39252,46301,34187,32580,36133,37897,31254,48325
510820,Combed yarn of fine animal hair (excluding that of wool and that put up for retail sale),0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,3,0,6,,3245,2445,2858,3944,2256,2793,2747,2757,2194,3037
560819,"Knotted netting of twine, cordage, ropes or cables, by the piece or metre; made-up nets, of ...",38,10,0,19,0,32,180,143,4,0,,588,299,541,572,687,718,525,360,355,475,,26190,33736,29854,32372,26873,38517,47111,53087,44952,42872
570239,"Carpets and other floor coverings, of vegetable textile materials or coarse animal hair, woven, ...""",0,0,0,0,0,0,0,0,6,0,,219,17,103,191,50,10,126,138,256,224,,2998,2642,3792,3207,4281,8627,13048,17079,10788,23261
570241,"Carpets and other floor coverings, of wool or fine animal hair, woven, not tufted or flocked, ...",0,0,5,50,11,116,44,0,9,0,,104,53,196,425,438,493,211,265,244,75,,51184,63538,72097,77428,75474,76432,72427,77995,71869,82572
580110,"Woven pile fabrics and chenille fabrics, of wool or fine animal hair (excluding terry towelling ...",0,0,0,0,0,0,0,0,0,0,,93,69,4,124,14,180,210,63,103,114,,14513,16466,17463,13668,12553,13016,14491,14942,10085,15352
580127,"Warp pile fabrics, of cotton (excluding terry towelling and similar woven terry fabrics, tufted ...",0,0,0,0,0,0,0,0,0,0,,19,1,0,0,2,3,0,20,4,8,,7467,7190,7461,7241,7382,7096,8631,8002,6298,10027
580131,"Uncut weft pile fabrics, of man-made fibres (excluding terry towelling and similar woven terry ...",0,0,0,0,0,0,0,0,0,0,,10,0,0,0,0,0,3,3,9,1,,1818,1790,1105,1887,1485,2273,3113,2633,2443,3023
580136,"Chenille fabrics, of man-made fibres (excluding terry towelling and similar woven terry fabrics, ...",10,4,0,4,10,0,0,0,0,0,,262,195,164,177,96,114,149,216,243,288,,104103,108991,110224,113896,100306,102022,105820,115720,129296,161317
580890,"Ornamental trimmings of textile materials, in the piece, not embroidered, other than knitted ...",7,0,0,0,0,0,0,0,0,0,,317,70,48,11,27,22,21,42,35,32,,27243,29310,30781,35564,31838,29563,32559,27381,21651,25094
581010,"Embroidery on a textile fabric ground without visible ground, in the piece, in strips or in ...",0,2,3,0,3,0,4,0,0,0,,0,6,3,0,18,2,8,14,21,9,,4210,4429,4916,5527,4577,4947,4424,4670,2692,3693
590691,"Knitted or crocheted textile fabrics, rubberised, n.e.s.",0,0,0,0,0,0,0,0,0,0,,116,30,41,64,139,0,9,26,1,13,,14462,13748,14118,15601,13407,13557,13408,11883,8250,11777
590800,"Textile wicks, woven, plaited or knitted, for lamps, stoves, lighters, candles or the like; ...",0,0,0,1,0,2,0,0,0,0,,311,353,360,105,64,239,175,57,29,37,,7437,6691,8033,8167,6070,5004,4594,7310,7555,12267
560391,"Nonwovens, whether or not impregnated, coated, covered or laminated, n.e.s., weighing <= 25 ...",5080,0,1,1,0,0,0,0,0,0,,6418,199,107,66,95,0,24,27,13,31,,24720,20557,22452,17607,22767,22559,23794,11826,23837,18645
551339,"Woven fabrics containing predominantly, but < 85% synthetic staple fibres by weight, mixed ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,4,0,1,0,0,0,29,,669,294,358,288,473,491,375,232,182,121
551511,"Woven fabrics containing predominantly, but < 85% polyester staple fibres by weight, mixed ...",13,9,0,3,5,0,12,0,0,0,,1426,762,575,460,524,284,282,105,214,351,,8075,6682,7369,7194,6527,6032,6957,6777,4142,5501
511000,"Yarn of coarse animal hair or of horsehair, incl. gimped horsehair yarn, whether or not put ...",0,0,0,0,16,0,0,0,0,0,,1,0,0,0,0,10,8,19,14,20,,103,37,61,36,111,52,121,99,90,40
520521,"Single cotton yarn, of combed fibres, containing >= 85% cotton by weight and with a linear ...""",0,0,1,0,0,0,0,0,0,0,,50,4,0,0,0,0,0,0,0,0,,2650,859,1004,591,650,574,913,441,347,537
520524,"Single cotton yarn, of combed fibres, containing >= 85% cotton by weight and with a linear ...""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,40,5,0,0,,7069,9817,9292,8283,5473,5191,5644,4270,4337,6685
520544,"Multiple """"folded"""" or cabled cotton yarn, of combed fibres, containing >= 85% cotton by weight ...""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,0,0,,1515,1742,1395,1304,1303,968,1022,581,744,738
520621,"Single cotton yarn containing predominantly, but < 85% cotton by weight, of combed fibres ...""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,252,156,72,9,32,10,143,545,551,1
520624,"Single cotton yarn containing predominantly, but < 85% cotton by weight, of combed fibres ...""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,5653,6535,7918,5277,2511,2950,596,747,347,622
520812,"Plain woven fabrics of cotton, containing >= 85% cotton by weight and weighing > 100 g to 200 ...",0,0,0,0,0,0,0,0,0,0,,0,0,4,0,40,0,47,177,11,20,,30435,24727,25048,27905,23723,19445,21214,17416,17619,15042
520839,"Woven fabrics of cotton, containing >= 85% cotton by weight and weighing <= 200 g/m©÷, dyed ...",1,0,0,0,0,0,0,0,3,0,,1047,1752,1354,1440,847,559,399,569,233,498,,13184,14042,13279,11952,10231,15758,17450,10625,11297,12928
520851,"Plain woven fabrics of cotton, containing >= 85% cotton by weight and weighing <= 100 g/m©÷, ...",1,0,0,0,0,0,2,0,0,0,,203,66,108,44,103,93,25,86,106,208,,7512,8424,7513,4568,4022,4154,3467,3118,2346,3367
520943,"Woven fabrics of cotton, containing >= 85% cotton by weight and weighing > 200 g/m©÷, in three-thread ...",0,0,0,0,0,0,0,0,0,0,,66,0,21,78,1,7,7,2,9,0,,2794,2646,3196,2714,3436,3794,3456,3753,3925,3384
521021,"Plain woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, mixed ...",0,0,0,0,0,0,0,0,0,0,,0,1,84,28,8,4,4,14,7,20,,13809,17238,11889,10882,8613,7935,9540,5334,3491,4029
521032,"Woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, mixed principally ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,3,0,,472,564,117,160,88,214,266,347,154,190
521049,"Woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, mixed principally ...",0,0,14,0,0,0,0,0,0,0,,19,5,18,56,29,2,10,9,35,5,,1995,2535,2259,2015,1509,1727,1899,1593,863,699
521141,"Plain woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, mixed ...",0,0,0,0,0,0,0,0,0,0,,46,567,41,2,2,4,5,4,19,8,,1588,1641,1207,1585,2034,2287,2203,2438,2332,2561
521213,"Woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, other than those ...",0,0,0,0,0,0,0,0,0,0,,0,101,103,26,50,20,29,2,23,2,,2109,2403,3005,2199,1960,1907,1605,721,831,1253
530310,"Jute and other textile bast fibres, raw or retted (excluding flax, true hemp and ramie)",0,0,0,0,0,0,0,0,1,0,,6,3,0,7,9,11,3,0,20,0,,1147,1157,1073,1454,1095,1205,821,1360,1117,2090
530820,Hemp yarn,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,1,,539,519,963,1575,1959,2840,1334,1453,1885,2149
530890,"Yarn of vegetable textile fibres (excluding flax yarn, yarn of jute or of other textile bast ...""",0,0,0,0,0,0,0,1,0,0,,3,0,2,1,2,1,27,49,73,86,,1216,4129,2780,1847,1336,1716,1416,1666,1633,2355
540211,High-tenacity filament yarn of aramids (excluding sewing thread and yarn put up for retail ...,0,0,0,0,0,0,0,0,0,0,,23,6,0,0,0,0,7,0,6,6,,165131,128010,107480,106706,96043,125661,137350,147135,117246,137357
540220,High-tenacity filament yarn of polyesters (excluding that put up for retail sale),0,0,0,0,0,0,0,0,0,0,,486,20,113,62,108,42,165,28,23,2,,204311,211703,249931,261045,241711,287207,386646,279314,200445,288365
540349,"Multiple """"folded"""" or cabled artificial filament yarn, incl. artificial monofilament of < ...""",0,0,0,0,8,1707,0,0,0,0,,480,337,387,186,232,165,156,126,23,8,,459,218,414,370,166,2004,148,340,46,153
540782,"Woven fabrics of yarn containing predominantly, but < 85% synthetic filament by weight, incl. ...",20,0,0,0,0,0,2,0,0,0,,325,1183,773,713,1566,929,391,254,123,289,,7748,6284,6846,7022,7012,5659,7183,5858,5304,4012
550130,"Filament tow as specified in Note 1 to chapter 55, acrylic or modacrylic",0,0,0,0,4,0,2,0,0,0,,5,0,0,0,28,4,6,1,11,0,,97351,83779,106380,120012,80843,76076,79618,91438,82571,77659
550190,"Synthetic filament tow as specified in Note 1 to chapter 55 (excluding that of acrylic, modacrylic, ...",0,0,0,0,0,0,0,0,0,0,,79,124,112,101,73,81,19,25,40,0,,1034,804,671,1229,7394,8778,12529,11518,6013,8607
550210,"Artificial filament tow as specified in Note 1 to chapter 55, of acetate",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,3,,0,0,0,0,0,4065,824,1233,2109,1163
550319,"Staple fibres of nylon or other polyamides, not carded, combed or otherwise processed for spinning ...",0,0,0,0,0,0,0,0,0,0,,61,1,5,134,3,5,0,0,0,1,,35820,19484,10370,9216,10386,11949,13886,11020,5778,7255
550410,"Staple fibres of viscose rayon, not carded, combed or otherwise processed for spinning",0,0,0,4,0,0,0,0,0,0,,148,0,40,17,10,0,0,7,0,0,,196607,174016,188067,188993,200582,200913,195406,199738,214072,242464
550690,"Synthetic staple fibres carded, combed or otherwise processed for spinning (excluding acrylic, ...",3,0,0,0,0,0,0,0,0,0,,348,23,200,1,0,0,69,2,0,28,,273,14,30,41,11,81,21,31,28,487
550810,"Sewing thread of synthetic staple fibres, whether or not put up for retail sale",0,0,0,0,0,0,0,0,0,0,,167,119,98,70,50,11,0,8,18,16,,12438,11951,12813,12094,10524,11156,13061,10003,10361,10250
550922,"Multiple """"folded"""" or cabled yarn containing >= 85% polyester staple fibres by weight (excluding ...""",0,0,0,0,0,0,1071,2605,927,0,,0,0,13,0,0,0,0,0,0,50,,32756,32682,31983,36216,27681,31628,31495,30024,21083,32727
550999,"Yarn containing predominantly, but < 85% synthetic staple fibres by weight, other than that ...",0,0,0,0,0,0,0,0,3,0,,0,491,502,0,10,0,8,0,8,5,,2067,1744,4339,4965,4027,4957,4949,3957,4086,4603
731414,"Woven cloth, incl. endless bands, of stainless steel wire (excluding woven products of metal ...",0,0,0,0,7,0,77,0,0,0,,426,760,440,229,574,105,232,273,187,261,,79577,74459,74616,67836,56053,71000,95348,80717,77994,88514
721050,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, hot-rolled or cold-rolled ...""",0,0,21,0,0,0,0,0,0,0,,1268,797,73,0,13,0,3,0,0,0,,149538,185080,199870,174721,196074,223017,223812,288560,316899,378564
721123,"Flat-rolled products of iron or non-alloy steel, of a width of < 600 mm, simply cold-rolled ...""",0,0,0,0,0,4,0,0,0,0,,0,58,6,0,3,2,0,30,0,0,,26832,41574,19473,26928,24135,31871,25414,16654,14141,21552
731813,"Screw hooks and screw rings, of iron or steel",0,0,0,0,0,4,9,3,0,0,,1096,1223,768,190,249,140,327,281,334,434,,16810,14128,14557,17251,15413,16220,17274,14144,19607,20772
740729,"Bars, rods and profiles of copper alloys, n.e.s. (excluding such articles of copper-zinc base ...""",0,0,0,0,0,0,0,0,0,0,,2616,3967,4695,4177,5169,4286,1200,1315,1493,1750,,156002,114764,116372,92731,71526,91005,117509,113953,93836,117777
732181,"Stoves, heaters, grates, fires, wash boilers, braziers and similar appliances, of iron or steel, ...",0,0,0,0,0,0,0,3,11,0,,834,963,239,374,987,1400,1495,551,534,593,,157414,172388,201763,233946,252750,236907,260530,301864,318309,592711
732211,"Radiators for central heating, non-electrically heated, and parts thereof, of iron or steel ...",21,0,0,19,0,0,0,0,0,0,,192,46,49,53,73,108,77,81,50,193,,6897,7113,7036,8475,7359,5957,7303,4096,3059,3034
732391,"Table, kitchen or other household articles, and parts thereof, of cast iron, not enamelled ...",228,0,0,28,67,7,0,0,0,0,,445,86,136,133,78,107,146,228,200,176,,30026,33787,33505,44408,47690,61559,60625,60888,76490,109981
721240,"Flat-rolled products of iron or non-alloy steel, of a width of < 600 mm, hot-rolled or cold-rolled ...""",0,0,0,0,0,0,0,0,0,0,,0,236,8950,7950,7548,7954,2358,521,418,2994,,53604,40151,50925,56832,58653,65466,64491,46145,71081,104513
721320,"Bars and rods, hot-rolled, in irregularly wound coils, of non-alloy free-cutting steel (excluding ...",0,0,0,0,0,0,0,0,0,0,,192,85,10,84,54,169,60,804,33,7,,73174,79272,86804,109472,76203,103778,100925,63098,43009,95498
721391,"Bars and rods, hot-rolled, in irregularly wound coils, of iron or non-alloy steel, of circular ...",0,0,0,0,0,0,19544,10142,0,0,,2815,4486,1047,2489,2686,0,290,5,105,56,,732162,515470,711159,713269,614060,706793,614690,516939,325619,745982
721499,"Bars and rods, of iron or non-alloy steel, only hot-rolled, only hot-drawn or only hot-extruded ...",0,0,0,0,0,0,0,0,0,0,,2441,1301,181,224,708,500,396,255,241,209,,201394,183555,264987,210726,126160,154899,118416,98357,69237,143718
721730,"Wire of iron or non-alloy steel, in coils, plated or coated with base metals (excluding plated ...",0,0,0,0,0,0,0,0,0,0,,133,28,144,107,29,115,92,119,31,19,,29497,32598,51856,72109,45499,38029,48254,51636,43071,58776
721921,"Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than hot-rolled, ...",0,0,0,0,0,0,0,0,0,0,,227,83,412,90,76,95,81,108,109,22,,207643,212429,169725,128195,103263,113916,141281,101404,100312,124483
721933,"Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than ...""",0,0,0,0,0,0,0,0,0,0,,83,18,83,97,86,172,351,150,125,101,,269793,185187,299640,253997,192550,193677,149101,82637,62595,282656
721934,"Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than ...""",0,0,0,0,0,0,0,0,0,0,,81,22,11,3,0,44,34,30,170,741,,321137,270130,378875,350196,257582,305553,248391,188842,145416,268954
722090,"Flat-rolled products of stainless steel, of a width of < 600 mm, hot-rolled or cold-rolled ...""",0,0,0,4,0,34,0,3,0,0,,334,156,131,920,212,176,279,455,210,219,,20878,17222,16372,15761,17749,17416,13669,16306,17153,22361
722511,"Flat-rolled products of silicon-electrical steel, of a width of >= 600 mm, grain-oriented",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,2,0,43,2,0,,36781,28428,18263,31751,46355,63480,81429,37801,29893,36052
722860,"Bars and rods of alloy steel other than stainless, cold-formed or cold-finished and further ...",0,0,0,0,0,0,31,0,0,0,,1491,1056,1072,1116,1073,1019,776,867,866,1575,,35736,16467,31808,35236,19350,22156,15756,7144,4994,15611
722990,"Wire of alloy steel other than stainless, in coils (excluding bars and rods and wire of silico-manganese ...",0,0,0,0,0,0,0,0,0,0,,5989,2167,1799,1113,145,302,9124,10027,11531,11037,,199373,165057,161846,163231,153163,136463,130288,144399,136211,210663
730210,"Rails of iron or steel, for railway or tramway track (excluding check-rails)",0,59,22,88,0,0,0,0,0,0,,1798,1887,1592,587,1039,664,1291,2151,1476,1257,,364761,381158,356791,312537,269151,215302,149153,133769,52897,57877
730240,"Fish-plates and sole plates of iron or steel, for railways or tramways",57,35,0,136,51,0,3,0,0,0,,227,540,83,53,190,24,151,504,225,81,,4942,9049,8254,13059,10588,6973,10992,12043,8767,6721
730424,"Casing and tubing, seamless, of a kind used for drilling for oil or gas, of stainless steel",0,0,9,202,0,7,0,0,0,0,,3491,2565,574,2114,226,223,1387,261,246,10,,183549,144264,210738,205170,121672,86218,162140,188673,189495,120702
